Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10198390,10093,37748,NORMAL,REGULAR,Round 7,LEAGUE,323697,GD Fontinhas,Local,ALL,08/05/2022,7,2,,,,,,2,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198390,10093,37748,NORMAL,REGULAR,Round 7,LEAGUE,323697,GD Fontinhas,Local,1ST,08/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198390,10093,37748,NORMAL,REGULAR,Round 7,LEAGUE,323697,GD Fontinhas,Local,2ND,08/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198390,10093,37748,NORMAL,REGULAR,Round 7,LEAGUE,370446,C.F. Os Belenenses,Visita,ALL,08/05/2022,7,1,,,,,,10,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198390,10093,37748,NORMAL,REGULAR,Round 7,LEAGUE,370446,C.F. Os Belenenses,Visita,1ST,08/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198390,10093,37748,NORMAL,REGULAR,Round 7,LEAGUE,370446,C.F. Os Belenenses,Visita,2ND,08/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198413,10093,37748,NORMAL,REGULAR,Round 8,LEAGUE,370446,C.F. Os Belenenses,Local,ALL,15/05/2022,8,3,,,,,,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198413,10093,37748,NORMAL,REGULAR,Round 8,LEAGUE,370446,C.F. Os Belenenses,Local,1ST,15/05/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198413,10093,37748,NORMAL,REGULAR,Round 8,LEAGUE,370446,C.F. Os Belenenses,Local,2ND,15/05/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198413,10093,37748,NORMAL,REGULAR,Round 8,LEAGUE,21832,Sertanense,Visita,ALL,15/05/2022,8,3,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198413,10093,37748,NORMAL,REGULAR,Round 8,LEAGUE,21832,Sertanense,Visita,1ST,15/05/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198413,10093,37748,NORMAL,REGULAR,Round 8,LEAGUE,21832,Sertanense,Visita,2ND,15/05/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198415,10093,37748,NORMAL,REGULAR,Round 9,LEAGUE,57851,CA Pêro Pinheiro,Local,ALL,22/05/2022,9,0,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198415,10093,37748,NORMAL,REGULAR,Round 9,LEAGUE,57851,CA Pêro Pinheiro,Local,1ST,22/05/2022,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198415,10093,37748,NORMAL,REGULAR,Round 9,LEAGUE,57851,CA Pêro Pinheiro,Local,2ND,22/05/2022,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198415,10093,37748,NORMAL,REGULAR,Round 9,LEAGUE,370446,C.F. Os Belenenses,Visita,ALL,22/05/2022,9,3,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198415,10093,37748,NORMAL,REGULAR,Round 9,LEAGUE,370446,C.F. Os Belenenses,Visita,1ST,22/05/2022,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198415,10093,37748,NORMAL,REGULAR,Round 9,LEAGUE,370446,C.F. Os Belenenses,Visita,2ND,22/05/2022,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198421,10093,37748,NORMAL,REGULAR,Round 10,LEAGUE,370446,C.F. Os Belenenses,Local,ALL,29/05/2022,10,0,,,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198421,10093,37748,NORMAL,REGULAR,Round 10,LEAGUE,370446,C.F. Os Belenenses,Local,1ST,29/05/2022,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198421,10093,37748,NORMAL,REGULAR,Round 10,LEAGUE,370446,C.F. Os Belenenses,Local,2ND,29/05/2022,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198421,10093,37748,NORMAL,REGULAR,Round 10,LEAGUE,263710,LGC Moncarapachense,Visita,ALL,29/05/2022,10,1,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198421,10093,37748,NORMAL,REGULAR,Round 10,LEAGUE,263710,LGC Moncarapachense,Visita,1ST,29/05/2022,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10198421,10093,37748,NORMAL,REGULAR,Round 10,LEAGUE,263710,LGC Moncarapachense,Visita,2ND,29/05/2022,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10519354,17101,44488,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,370446,C.F. Os Belenenses,Local,ALL,06/11/2022,8,1,,,,,,1,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10519354,17101,44488,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,370446,C.F. Os Belenenses,Local,1ST,06/11/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10519354,17101,44488,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,370446,C.F. Os Belenenses,Local,2ND,06/11/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10519354,17101,44488,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,44881,Caldas SC,Visita,ALL,06/11/2022,8,1,,,,,,5,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10519354,17101,44488,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,44881,Caldas SC,Visita,1ST,06/11/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10519354,17101,44488,NORMAL,GROUP,"Liga 3, Group B",LEAGUE,44881,Caldas SC,Visita,2ND,06/11/2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
