Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9565183,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,4494,KV Oostende,Local,ALL,24/07/2021,1,0,54%,0.00,0,11,3,9,13,453,16,8,3,,3,1,6,2,7,4,,0,,,1,1,346,21,99,,38/70 (54%),5/22 (23%),41%,8,27/60 (45%),11/32 (34%),3/8 (38%),56%,16,9,,8,,3,,,,,5
9565183,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,4494,KV Oostende,Local,1ST,24/07/2021,1,0,50%,0.00,0,5,1,5,,229,10,6,0,,1,1,3,1,4,1,,0,,,1,0,173,14,51,,18/36 (50%),2/11 (18%),42%,6,17/37 (46%),5/15 (33%),1/4 (25%),70%,10,5,,4,,1,,,,,2
9565183,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,4494,KV Oostende,Local,2ND,24/07/2021,1,0,59%,0.00,0,6,2,4,,224,6,2,3,,2,0,3,1,3,3,,0,,,0,1,173,7,48,,20/34 (59%),3/11 (27%),40%,2,10/23 (43%),6/17 (35%),2/4 (50%),33%,6,4,,4,,2,,,,,3
9565183,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,2898,RC Sporting Charleroi,Visita,ALL,24/07/2021,1,3,46%,0.00,2,10,3,2,9,394,13,13,1,,6,0,4,0,8,2,,2,,,1,4,294,25,44,,44/74 (59%),2/7 (29%),59%,8,33/60 (55%),21/32 (66%),10/18 (56%),77%,13,14,,19,,3,,,,,13
9565183,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,2898,RC Sporting Charleroi,Visita,1ST,24/07/2021,1,1,50%,0.00,1,3,1,1,,235,9,5,0,,2,0,1,0,3,0,,1,,,0,1,187,8,24,,27/37 (73%),2/5 (40%),58%,4,20/37 (54%),10/15 (67%),7/13 (54%),78%,9,7,,10,,1,,,,,6
9565183,38,36894,NORMAL,REGULAR,Round 1,LEAGUE,2898,RC Sporting Charleroi,Visita,2ND,24/07/2021,1,2,41%,0.00,1,7,2,1,,159,4,8,1,,4,0,3,0,5,2,,1,,,1,3,107,17,20,,17/37 (46%),0/2 (0%),60%,4,13/23 (57%),11/17 (65%),3/5 (60%),75%,4,7,,9,,2,,,,,7
9565089,38,36894,NORMAL,REGULAR,Round 2,LEAGUE,2890,KRC Genk,Local,ALL,30/07/2021,2,3,67%,0.00,3,24,3,9,2,597,31,10,0,,10,0,8,6,19,5,2,1,2,,1,1,481,30,77,,27/56 (48%),8/24 (33%),58%,17,65/105 (62%),18/37 (49%),24/32 (75%),81%,31,16,,14,,3,,,,,9
9565089,38,36894,NORMAL,REGULAR,Round 2,LEAGUE,2890,KRC Genk,Local,1ST,30/07/2021,2,2,65%,0.00,2,7,2,5,,268,12,4,0,,4,0,1,2,5,2,2,0,2,,1,1,214,15,30,,12/25 (48%),1/10 (10%),52%,12,27/50 (54%),4/10 (40%),11/16 (69%),92%,12,9,,6,,2,,,,,6
9565089,38,36894,NORMAL,REGULAR,Round 2,LEAGUE,2890,KRC Genk,Local,2ND,30/07/2021,2,1,69%,0.00,1,17,1,4,,329,19,6,0,,6,0,7,4,14,3,0,1,0,,0,0,267,15,47,,15/31 (48%),7/14 (50%),63%,5,38/55 (69%),14/27 (52%),13/16 (81%),74%,19,7,,8,,1,,,,,3
9565089,38,36894,NORMAL,REGULAR,Round 2,LEAGUE,4494,KV Oostende,Visita,ALL,30/07/2021,2,4,33%,0.00,2,18,7,5,12,291,25,2,1,,7,0,8,3,10,8,2,0,0,,0,1,186,28,60,,21/53 (40%),4/14 (29%),42%,21,40/105 (38%),19/37 (51%),13/23 (57%),84%,25,19,,27,,7,,,,,11
