Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9555044,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,4872,Vejle,Local,ALL,18/07/2021,1,0,54%,0.00,0,10,5,3,10,454,15,17,1,,1,0,4,5,5,5,0,0,0,,3,0,356,23,64,,31/64 (48%),2/24 (8%),51%,11,47/93 (51%),20/39 (51%),16/28 (57%),53%,15,17,,19,,5,,,,,10
9555044,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,4872,Vejle,Local,1ST,18/07/2021,1,0,49%,0.00,0,6,1,1,,219,8,6,0,,1,0,3,2,2,4,0,0,0,,0,0,164,9,32,,11/33 (33%),1/9 (11%),58%,3,22/37 (59%),14/25 (56%),8/15 (53%),63%,8,9,,13,,1,,,,,6
9555044,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,4872,Vejle,Local,2ND,18/07/2021,1,0,60%,0.00,0,4,4,2,,235,7,11,1,,0,0,1,3,3,1,0,0,0,,3,0,192,14,32,,20/31 (65%),1/15 (7%),44%,8,25/56 (45%),6/14 (43%),8/13 (62%),43%,7,8,,6,,4,,,,,4
9555044,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1301,Randers FC,Visita,ALL,18/07/2021,1,2,46%,0.00,5,13,1,7,19,384,23,10,2,,6,0,6,1,10,3,2,3,1,,5,1,290,23,48,,34/77 (44%),7/27 (26%),49%,6,46/93 (49%),19/39 (49%),13/22 (59%),74%,23,17,,18,,1,,,,,10
9555044,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1301,Randers FC,Visita,1ST,18/07/2021,1,2,51%,0.00,2,6,1,4,,222,10,0,0,,3,0,3,0,6,0,2,0,0,,0,1,171,12,21,,19/42 (45%),6/18 (33%),42%,1,15/37 (41%),11/25 (44%),5/12 (42%),60%,10,9,,9,,1,,,,,7
9555044,39,36834,NORMAL,REGULAR,Round 1,LEAGUE,1301,Randers FC,Visita,2ND,18/07/2021,1,0,40%,0.00,3,7,0,3,,162,13,10,2,,3,0,3,1,4,3,0,3,1,,5,0,119,11,27,,15/35 (43%),1/9 (11%),56%,5,31/56 (55%),8/14 (57%),8/10 (80%),85%,13,8,,9,,0,,,,,3
9555056,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1295,Sønderjyske Fodbold,Local,ALL,26/07/2021,2,1,46%,0.00,2,12,2,4,11,408,14,16,0,,5,0,4,3,6,6,,2,0,,3,1,315,21,49,,29/67 (43%),4/14 (29%),52%,6,32/62 (52%),20/38 (53%),4/10 (40%),71%,14,11,,23,,2,,,,,14
9555056,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1295,Sønderjyske Fodbold,Local,1ST,26/07/2021,2,0,46%,0.00,1,6,0,3,,238,8,11,0,,3,0,2,1,4,2,,1,0,,2,0,196,8,27,,15/29 (52%),4/10 (40%),55%,2,19/33 (58%),9/18 (50%),1/4 (25%),63%,8,3,,13,,0,,,,,6
9555056,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,1295,Sønderjyske Fodbold,Local,2ND,26/07/2021,2,1,47%,0.00,1,6,2,1,,170,6,5,0,,2,0,2,2,2,4,,1,0,,1,1,119,13,22,,14/38 (37%),0/4 (0%),49%,4,13/29 (45%),11/20 (55%),3/6 (50%),83%,6,8,,10,,2,,,,,8
9555056,39,36834,NORMAL,REGULAR,Round 2,LEAGUE,4872,Vejle,Visita,ALL,26/07/2021,2,0,54%,0.00,0,15,4,8,16,461,12,11,3,,2,1,10,3,10,5,,0,1,,2,1,377,32,49,,41/63 (65%),10/27 (37%),48%,5,30/62 (48%),18/38 (47%),8/17 (47%),83%,12,14,,16,,4,,,,,9
