Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
16490422,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,4952,Sarıyer,Local,ALL,09/08/2026,1,2,52%,0.96,1,7,1,5,9,457,15,16,1,,3,0,2,2,4,3,1,,0,20,1,2,399,4,55,71/99 (72%),30/58 (52%),9/25 (36%),52%,3,39/70 (56%),9/23 (39%),8/17 (47%),93%,15,19,46,22,,1,,,1,,12
16490422,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,4952,Sarıyer,Local,1ST,09/08/2026,1,1,53%,0.00,1,5,1,4,4,205,7,9,0,,2,0,1,2,3,2,1,,0,,1,2,176,0,32,,15/25 (60%),8/17 (47%),63%,2,22/34 (65%),5/9 (56%),6/9 (67%),100%,7,8,23,7,,1,,,,,4
16490422,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,4952,Sarıyer,Local,2ND,09/08/2026,1,1,51%,0.00,0,2,0,1,5,252,8,7,1,,1,0,1,0,1,1,0,,0,,0,0,223,4,23,,15/33 (45%),1/8 (13%),42%,1,17/36 (47%),4/14 (29%),2/8 (25%),88%,8,11,23,15,,0,,,,,8
16490422,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,7034,Muğlaspor,Visita,ALL,09/08/2026,1,0,48%,0.67,0,11,1,3,17,430,12,9,3,,1,0,4,6,7,4,0,,1,21,2,1,366,18,68,109/150 (73%),28/48 (58%),5/21 (24%),48%,9,31/70 (44%),14/23 (61%),10/16 (63%),75%,12,6,45,22,,1,,,0,,2
16490422,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,7034,Muğlaspor,Visita,1ST,09/08/2026,1,0,47%,0.00,0,5,1,1,10,189,5,4,2,,1,0,1,3,2,3,0,,1,,1,0,163,7,29,,15/27 (56%),2/7 (29%),37%,4,12/34 (35%),4/9 (44%),3/6 (50%),60%,5,3,21,11,,1,,,,,1
16490422,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,7034,Muğlaspor,Visita,2ND,09/08/2026,1,0,49%,0.00,0,6,0,2,7,241,7,5,1,,0,0,3,3,5,1,0,,0,,1,1,203,11,39,,13/21 (62%),3/14 (21%),58%,5,19/36 (53%),10/14 (71%),7/10 (70%),86%,7,3,24,11,,0,,,,,1
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,262480,Esenler Erokspor,Local,ALL,14/08/2026,2,1,60%,1.56,0,15,2,4,17,532,19,8,4,,3,0,8,4,9,6,0,0,,31,2,0,461,19,85,143/183 (78%),24/42 (57%),2/18 (11%),50%,9,32/65 (49%),12/23 (52%),6/13 (46%),74%,19,5,51,19,,2,,,,1,4
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,262480,Esenler Erokspor,Local,1ST,14/08/2026,2,0,65%,0.00,0,6,1,0,8,301,10,2,1,,0,0,4,2,5,1,0,0,,,0,0,263,13,45,,12/20 (60%),0/5 (0%),49%,6,13/29 (45%),5/8 (63%),1/3 (33%),70%,10,1,25,10,,1,,,,,4
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,262480,Esenler Erokspor,Local,2ND,14/08/2026,2,1,55%,0.00,0,9,1,4,9,231,9,6,3,,3,0,4,2,4,5,0,0,,,2,0,198,6,40,,12/22 (55%),2/13 (15%),51%,3,19/36 (53%),7/15 (47%),5/10 (50%),78%,9,4,26,9,,1,,,,,0
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,4952,Sarıyer,Visita,ALL,14/08/2026,2,1,40%,0.88,2,5,2,3,8,359,16,17,2,,3,0,1,1,3,2,1,1,,15,3,3,279,24,32,28/58 (48%),22/50 (44%),2/9 (22%),50%,9,33/65 (51%),11/23 (48%),3/13 (23%),81%,16,12,46,26,,2,,,,0,10
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,4952,Sarıyer,Visita,1ST,14/08/2026,2,0,35%,0.00,0,2,0,1,2,163,8,8,1,,1,0,1,0,1,1,0,0,,,1,0,126,11,17,,12/23 (52%),1/4 (25%),51%,6,16/29 (55%),3/8 (38%),1/5 (20%),88%,8,7,26,9,,0,,,,,5
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,4952,Sarıyer,Visita,2ND,14/08/2026,2,1,45%,0.00,2,3,2,2,6,196,8,9,1,,2,0,0,1,2,1,1,1,,,2,3,153,13,15,,10/27 (37%),1/5 (20%),49%,3,17/36 (47%),8/15 (53%),2/8 (25%),75%,8,5,20,17,,2,,,,,5
