Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9643484,52,37466,NORMAL,REGULAR,Round 6,LEAGUE,3056,Antalyaspor,Visita,ALL,21/09/2021,6,0,34%,0.00,3,12,5,3,16,314,13,11,2,,5,0,5,2,9,3,,3,3,,0,3,234,16,43,,17/45 (38%),4/18 (22%),41%,9,32/73 (44%),9/27 (33%),8/14 (57%),69%,13,18,,13,,5,,,,,11
9643484,52,37466,NORMAL,REGULAR,Round 6,LEAGUE,3056,Antalyaspor,Visita,1ST,21/09/2021,6,0,34%,0.00,1,2,4,0,,167,4,7,1,,0,0,2,0,1,1,,1,0,,0,2,129,8,16,,7/20 (35%),2/6 (33%),41%,3,14/28 (50%),2/11 (18%),3/4 (75%),75%,4,10,,6,,4,,,,,7
9643484,52,37466,NORMAL,REGULAR,Round 6,LEAGUE,3056,Antalyaspor,Visita,2ND,21/09/2021,6,,34%,0.00,2,10,1,3,,147,9,4,1,,5,0,3,2,8,2,,2,3,,0,1,105,8,27,,10/25 (40%),2/12 (17%),41%,6,18/45 (40%),7/16 (44%),5/10 (50%),67%,9,8,,7,,1,,,,,4
9643484,52,37466,NORMAL,REGULAR,Round 6,LEAGUE,4954,Fatih Karagümrük,Local,ALL,21/09/2021,6,0,66%,0.00,6,16,5,4,12,647,15,14,4,,5,0,9,2,12,4,,6,1,,1,0,548,20,53,,33/51 (65%),5/10 (50%),59%,11,41/73 (56%),18/27 (67%),12/14 (86%),73%,15,9,,13,,5,,,,,11
9643484,52,37466,NORMAL,REGULAR,Round 6,LEAGUE,4954,Fatih Karagümrük,Local,1ST,21/09/2021,6,0,66%,0.00,3,9,0,3,,337,4,5,2,,4,0,4,1,7,2,,3,1,,0,0,296,10,23,,18/26 (69%),4/7 (57%),59%,3,14/28 (50%),9/11 (82%),5/6 (83%),50%,4,4,,3,,0,,,,,6
9643484,52,37466,NORMAL,REGULAR,Round 6,LEAGUE,4954,Fatih Karagümrük,Local,2ND,21/09/2021,6,,66%,0.00,3,7,5,1,,310,11,9,2,,1,0,5,1,5,2,,3,0,,1,0,252,10,30,,15/25 (60%),1/3 (33%),59%,8,27/45 (60%),9/16 (56%),7/8 (88%),82%,11,5,,10,,5,,,,,5
9643485,52,37466,NORMAL,REGULAR,Round 20,LEAGUE,4954,Fatih Karagümrük,Visita,ALL,08/01/2022,20,1,66%,0.00,2,15,2,4,8,557,14,21,3,,4,0,7,4,11,4,1,1,0,,7,3,482,16,51,,36/55 (65%),7/19 (37%),60%,7,48/84 (57%),17/24 (71%),13/23 (57%),64%,14,6,,16,,2,,,,,6
9643485,52,37466,NORMAL,REGULAR,Round 20,LEAGUE,4954,Fatih Karagümrük,Visita,1ST,08/01/2022,20,0,69%,0.00,0,5,1,1,,320,7,9,2,,0,0,4,1,4,1,0,0,0,,2,2,278,8,24,,19/30 (63%),4/8 (50%),66%,2,21/32 (66%),8/12 (67%),5/8 (63%),57%,7,3,,3,,1,,,,,4
9643485,52,37466,NORMAL,REGULAR,Round 20,LEAGUE,4954,Fatih Karagümrük,Visita,2ND,08/01/2022,20,,62%,0.00,2,10,1,3,,237,7,12,1,,4,0,3,3,7,3,1,1,0,,5,1,204,8,27,,17/25 (68%),3/11 (27%),56%,5,27/52 (52%),9/12 (75%),8/15 (53%),71%,7,3,,13,,1,,,,,2
9643485,52,37466,NORMAL,REGULAR,Round 20,LEAGUE,5138,Gaziantep FK,Local,ALL,08/01/2022,20,3,34%,0.00,3,13,3,5,22,282,17,8,1,,5,1,5,3,11,2,1,2,1,,2,2,209,12,49,,23/60 (38%),6/18 (33%),40%,7,36/84 (43%),7/24 (29%),11/18 (61%),59%,17,8,,16,,3,,,,,9
