Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9764107,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,3245,Olympiacos FC,Local,ALL,12/09/2021,1,0,64%,,,21,2,9,13,,,17,1,0,6,,10,5,,,,,,,,1,,20,,,,,,,,,,,,,,,,2,,,,,2
9764107,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,3245,Olympiacos FC,Local,1ST,12/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9764107,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,3245,Olympiacos FC,Local,2ND,12/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9764107,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,5062,APS Atromitos Athinon,Visita,ALL,12/09/2021,1,0,36%,,,3,4,0,16,,,14,6,0,2,,1,0,,,,,,,,1,,25,,,,,,,,,,,,,,,,4,,,,,14
9764107,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,5062,APS Atromitos Athinon,Visita,1ST,12/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9764107,185,37707,NORMAL,REGULAR,Round 1,LEAGUE,5062,APS Atromitos Athinon,Visita,2ND,12/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790034,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,5062,APS Atromitos Athinon,Local,ALL,19/09/2021,2,1,54%,,,11,5,4,20,,,20,2,0,4,,5,2,,,,,,,,2,,19,,,,,,,,,,,,,,,,5,,,,,9
9790034,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,5062,APS Atromitos Athinon,Local,1ST,19/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790034,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,5062,APS Atromitos Athinon,Local,2ND,19/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790034,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,7004,GFS Panetolikos,Visita,ALL,19/09/2021,2,2,46%,,,15,2,8,19,,,22,1,0,9,,5,1,,,,,,,,1,,13,,,,,,,,,,,,,,,,2,,,,,8
9790034,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,7004,GFS Panetolikos,Visita,1ST,19/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790034,185,37707,NORMAL,REGULAR,Round 2,LEAGUE,7004,GFS Panetolikos,Visita,2ND,19/09/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712377,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,267459,NPS Volos,Local,ALL,23/09/2021,3,3,54%,,,16,0,8,17,,,17,3,0,4,,7,5,,,,,,,,2,,25,,,,,,,,,,,,,,,,0,,,,,7
9712377,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,267459,NPS Volos,Local,1ST,23/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712377,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,267459,NPS Volos,Local,2ND,23/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712377,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,5062,APS Atromitos Athinon,Visita,ALL,23/09/2021,3,0,46%,,,6,1,2,16,,,18,2,0,0,,4,2,,,,,,,,1,,16,,,,,,,,,,,,,,,,1,,,,,10
9712377,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,5062,APS Atromitos Athinon,Visita,1ST,23/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712377,185,37707,NORMAL,REGULAR,Round 3,LEAGUE,5062,APS Atromitos Athinon,Visita,2ND,23/09/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712582,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,5062,APS Atromitos Athinon,Local,ALL,27/09/2021,4,1,61%,,,12,0,7,17,,,17,3,0,4,,6,2,,,,,,,,0,,26,,,,,,,,,,,,,,,,0,,,,,4
9712582,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,5062,APS Atromitos Athinon,Local,1ST,27/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712582,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,5062,APS Atromitos Athinon,Local,2ND,27/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712582,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,3252,Aris Thessaloniki,Visita,ALL,27/09/2021,4,3,39%,,,5,3,4,13,,,17,1,0,3,,2,0,,,,,,,,4,,18,,,,,,,,,,,,,,,,3,,,,,9
9712582,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,3252,Aris Thessaloniki,Visita,1ST,27/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712582,185,37707,NORMAL,REGULAR,Round 4,LEAGUE,3252,Aris Thessaloniki,Visita,2ND,27/09/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712427,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,5062,APS Atromitos Athinon,Local,ALL,03/10/2021,5,1,52%,,,9,2,4,17,,,24,0,0,2,,5,2,,,,,,,,1,,21,,,,,,,,,,,,,,,,2,,,,,7
9712427,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,5062,APS Atromitos Athinon,Local,1ST,03/10/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712427,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,5062,APS Atromitos Athinon,Local,2ND,03/10/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712427,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,6349,PAS Giannina,Visita,ALL,03/10/2021,5,1,48%,,,5,1,5,21,,,18,3,0,3,,2,0,,,,,,,,3,,23,,,,,,,,,,,,,,,,1,,,,,9
9712427,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,6349,PAS Giannina,Visita,1ST,03/10/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712427,185,37707,NORMAL,REGULAR,Round 5,LEAGUE,6349,PAS Giannina,Visita,2ND,03/10/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712671,185,37707,NORMAL,REGULAR,Round 6,LEAGUE,3250,AEK Athens,Local,ALL,17/10/2021,6,3,57%,,,11,3,3,14,,,6,2,0,4,,6,1,,,,,,,,1,,22,,,,,,,,,,,,,,,,3,,,,,9
9712671,185,37707,NORMAL,REGULAR,Round 6,LEAGUE,3250,AEK Athens,Local,1ST,17/10/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712671,185,37707,NORMAL,REGULAR,Round 6,LEAGUE,3250,AEK Athens,Local,2ND,17/10/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712671,185,37707,NORMAL,REGULAR,Round 6,LEAGUE,5062,APS Atromitos Athinon,Visita,ALL,17/10/2021,6,0,43%,,,9,1,8,5,,,15,1,0,3,,6,0,,,,,,,,1,,21,,,,,,,,,,,,,,,,1,,,,,11
9712671,185,37707,NORMAL,REGULAR,Round 6,LEAGUE,5062,APS Atromitos Athinon,Visita,1ST,17/10/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712671,185,37707,NORMAL,REGULAR,Round 6,LEAGUE,5062,APS Atromitos Athinon,Visita,2ND,17/10/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712184,185,37707,NORMAL,REGULAR,Round 7,LEAGUE,5062,APS Atromitos Athinon,Local,ALL,23/10/2021,7,0,58%,,,16,2,9,11,,,19,1,0,4,,7,5,,,,,,,,1,,31,,,,,,,,,,,,,,,,2,,,,,4
9712184,185,37707,NORMAL,REGULAR,Round 7,LEAGUE,5062,APS Atromitos Athinon,Local,1ST,23/10/2021,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712184,185,37707,NORMAL,REGULAR,Round 7,LEAGUE,5062,APS Atromitos Athinon,Local,2ND,23/10/2021,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712184,185,37707,NORMAL,REGULAR,Round 7,LEAGUE,3249,AO Ionikos Nikeas,Visita,ALL,23/10/2021,7,2,42%,,,6,2,2,17,,,12,3,0,4,,2,0,,,,,,,,2,,21,,,,,,,,,,,,,,,,2,,,,,11
9712184,185,37707,NORMAL,REGULAR,Round 7,LEAGUE,3249,AO Ionikos Nikeas,Visita,1ST,23/10/2021,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712184,185,37707,NORMAL,REGULAR,Round 7,LEAGUE,3249,AO Ionikos Nikeas,Visita,2ND,23/10/2021,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712171,185,37707,NORMAL,REGULAR,Round 8,LEAGUE,120154,PAS Lamia 1964,Local,ALL,31/10/2021,8,2,61%,,,9,3,7,13,,,23,0,0,3,,4,2,,,,,,,,1,,35,,,,,,,,,,,,,,,,3,,,,,7
9712171,185,37707,NORMAL,REGULAR,Round 8,LEAGUE,120154,PAS Lamia 1964,Local,1ST,31/10/2021,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712171,185,37707,NORMAL,REGULAR,Round 8,LEAGUE,120154,PAS Lamia 1964,Local,2ND,31/10/2021,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712171,185,37707,NORMAL,REGULAR,Round 8,LEAGUE,5062,APS Atromitos Athinon,Visita,ALL,31/10/2021,8,2,39%,,,9,2,4,23,,,13,2,0,5,,4,0,,,,,,,,0,,23,,,,,,,,,,,,,,,,2,,,,,9
9712171,185,37707,NORMAL,REGULAR,Round 8,LEAGUE,5062,APS Atromitos Athinon,Visita,1ST,31/10/2021,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712171,185,37707,NORMAL,REGULAR,Round 8,LEAGUE,5062,APS Atromitos Athinon,Visita,2ND,31/10/2021,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712677,185,37707,NORMAL,REGULAR,Round 9,LEAGUE,3241,OFI Crete,Local,ALL,06/11/2021,9,2,54%,,,13,5,1,20,,,19,3,0,6,,5,2,,,,,,,,3,,17,,,,,,,,,,,,,,,,5,,,,,8
9712677,185,37707,NORMAL,REGULAR,Round 9,LEAGUE,3241,OFI Crete,Local,1ST,06/11/2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712677,185,37707,NORMAL,REGULAR,Round 9,LEAGUE,3241,OFI Crete,Local,2ND,06/11/2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712677,185,37707,NORMAL,REGULAR,Round 9,LEAGUE,5062,APS Atromitos Athinon,Visita,ALL,06/11/2021,9,0,46%,,,12,3,2,15,,,23,1,0,6,,5,1,,,,,,,,5,,19,,,,,,,,,,,,,,,,3,,,,,12
9712677,185,37707,NORMAL,REGULAR,Round 9,LEAGUE,5062,APS Atromitos Athinon,Visita,1ST,06/11/2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712677,185,37707,NORMAL,REGULAR,Round 9,LEAGUE,5062,APS Atromitos Athinon,Visita,2ND,06/11/2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712403,185,37707,NORMAL,REGULAR,Round 10,LEAGUE,5062,APS Atromitos Athinon,Local,ALL,21/11/2021,10,2,30%,0.00,,7,3,4,19,,,16,3,0,3,0,3,1,0,0,,,,,,1,,16,,,,,,,,,,,,,,,,3,,,,,13
9712403,185,37707,NORMAL,REGULAR,Round 10,LEAGUE,5062,APS Atromitos Athinon,Local,1ST,21/11/2021,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712403,185,37707,NORMAL,REGULAR,Round 10,LEAGUE,5062,APS Atromitos Athinon,Local,2ND,21/11/2021,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712403,185,37707,NORMAL,REGULAR,Round 10,LEAGUE,3251,PAOK,Visita,ALL,21/11/2021,10,0,70%,0.00,,15,1,9,15,,,20,2,0,4,0,7,4,0,0,,,,,,1,,23,,,,,,,,,,,,,,,,1,,,,,5
9712403,185,37707,NORMAL,REGULAR,Round 10,LEAGUE,3251,PAOK,Visita,1ST,21/11/2021,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712403,185,37707,NORMAL,REGULAR,Round 10,LEAGUE,3251,PAOK,Visita,2ND,21/11/2021,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712455,185,37707,NORMAL,REGULAR,Round 11,LEAGUE,6342,Asteras Aktor,Local,ALL,27/11/2021,11,6,55%,,,12,3,2,15,,,15,0,0,7,,3,2,,,,,,,,1,,17,,,,,,,,,,,,,,,,3,,,,,2
9712455,185,37707,NORMAL,REGULAR,Round 11,LEAGUE,6342,Asteras Aktor,Local,1ST,27/11/2021,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712455,185,37707,NORMAL,REGULAR,Round 11,LEAGUE,6342,Asteras Aktor,Local,2ND,27/11/2021,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712455,185,37707,NORMAL,REGULAR,Round 11,LEAGUE,5062,APS Atromitos Athinon,Visita,ALL,27/11/2021,11,2,45%,,,7,1,0,13,,,16,4,0,5,,2,0,,,,,,,,2,,22,,,,,,,,,,,,,,,,1,,,,,5
9712455,185,37707,NORMAL,REGULAR,Round 11,LEAGUE,5062,APS Atromitos Athinon,Visita,1ST,27/11/2021,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712455,185,37707,NORMAL,REGULAR,Round 11,LEAGUE,5062,APS Atromitos Athinon,Visita,2ND,27/11/2021,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712219,185,37707,NORMAL,REGULAR,Round 12,LEAGUE,5062,APS Atromitos Athinon,Local,ALL,04/12/2021,12,4,55%,0.00,,16,2,4,15,,,21,3,0,8,0,7,1,0,0,,,,,,0,,20,,,,,,,,,,,,,,,,2,,,,,8
9712219,185,37707,NORMAL,REGULAR,Round 12,LEAGUE,5062,APS Atromitos Athinon,Local,1ST,04/12/2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712219,185,37707,NORMAL,REGULAR,Round 12,LEAGUE,5062,APS Atromitos Athinon,Local,2ND,04/12/2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712219,185,37707,NORMAL,REGULAR,Round 12,LEAGUE,6988,GS Apollon Smyrnis,Visita,ALL,04/12/2021,12,1,45%,0.00,,6,4,1,21,,,14,4,1,3,0,3,0,0,0,,,,,,0,,17,,,,,,,,,,,,,,,,4,,,,,9
9712219,185,37707,NORMAL,REGULAR,Round 12,LEAGUE,6988,GS Apollon Smyrnis,Visita,1ST,04/12/2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712219,185,37707,NORMAL,REGULAR,Round 12,LEAGUE,6988,GS Apollon Smyrnis,Visita,2ND,04/12/2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712210,185,37707,NORMAL,REGULAR,Round 13,LEAGUE,3248,Panathinaikos FC,Local,ALL,11/12/2021,13,2,59%,,,12,2,5,11,,,17,1,0,7,,0,5,,,,,,,,1,,31,,,,,,,,,,,,,,,,2,,,,,3
9712210,185,37707,NORMAL,REGULAR,Round 13,LEAGUE,3248,Panathinaikos FC,Local,1ST,11/12/2021,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712210,185,37707,NORMAL,REGULAR,Round 13,LEAGUE,3248,Panathinaikos FC,Local,2ND,11/12/2021,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
