Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10160592,186,39153,NORMAL,GROUP,"Super League 2, Group B",LEAGUE,5063,APO Levadiakos,Local,ALL,01/05/2022,34,1,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160592,186,39153,NORMAL,GROUP,"Super League 2, Group B",LEAGUE,5063,APO Levadiakos,Local,1ST,01/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160592,186,39153,NORMAL,GROUP,"Super League 2, Group B",LEAGUE,5063,APO Levadiakos,Local,2ND,01/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160592,186,39153,NORMAL,GROUP,"Super League 2, Group B",LEAGUE,4939,GS Ergotelis Irakliou Kritis,Visita,ALL,01/05/2022,34,0,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160592,186,39153,NORMAL,GROUP,"Super League 2, Group B",LEAGUE,4939,GS Ergotelis Irakliou Kritis,Visita,1ST,01/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160592,186,39153,NORMAL,GROUP,"Super League 2, Group B",LEAGUE,4939,GS Ergotelis Irakliou Kritis,Visita,2ND,01/05/2022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10289300,186,39153,NORMAL,FINAL,Final,LEAGUE,6351,NPS Veria 1960,Local,ALL,08/05/2022,1,0,,,,,,10,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10289300,186,39153,NORMAL,FINAL,Final,LEAGUE,6351,NPS Veria 1960,Local,1ST,08/05/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10289300,186,39153,NORMAL,FINAL,Final,LEAGUE,6351,NPS Veria 1960,Local,2ND,08/05/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10289300,186,39153,NORMAL,FINAL,Final,LEAGUE,5063,APO Levadiakos,Visita,ALL,08/05/2022,1,1,,,,,,8,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
