Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
13352936,406,70962,APERTURA,REGULAR,Round 1,LEAGUE,2312,Sport Boys,Local,ALL,09/02/2025,1,1,53%,1.94,2,17,1,3,14,435,15,15,2,,4,0,8,5,12,5,1,1,,35,1,2,360,17,60,73/115 (63%),26/45 (58%),8/19 (42%),46%,8,33/71 (46%),9/20 (45%),3/8 (38%),60%,15,10,54,18,,1,,1,0,,6
13352936,406,70962,APERTURA,REGULAR,Round 1,LEAGUE,2312,Sport Boys,Local,1ST,09/02/2025,1,0,55%,0.00,1,12,0,1,,244,7,7,0,,3,0,7,2,7,5,0,1,,,0,2,205,8,28,,16/23 (70%),5/9 (56%),44%,5,16/36 (44%),4/9 (44%),2/6 (33%),57%,7,5,30,10,,0,,,,,2
13352936,406,70962,APERTURA,REGULAR,Round 1,LEAGUE,2312,Sport Boys,Local,2ND,09/02/2025,1,1,51%,0.00,1,5,1,2,,191,8,8,2,,1,0,1,3,5,0,1,0,,,1,0,155,9,32,,10/22 (45%),3/10 (30%),48%,3,17/35 (49%),5/11 (45%),1/2 (50%),63%,8,5,24,8,,1,,,,,4
13352936,406,70962,APERTURA,REGULAR,Round 1,LEAGUE,511206,CD Juan Pablo II,Visita,ALL,09/02/2025,1,0,47%,1.21,1,9,4,1,15,388,13,14,1,,1,0,6,2,6,3,0,1,,12,1,3,317,20,49,46/77 (60%),23/48 (48%),4/10 (40%),54%,7,38/71 (54%),11/20 (55%),12/20 (60%),54%,13,14,50,19,,4,,2,2,,11
13352936,406,70962,APERTURA,REGULAR,Round 1,LEAGUE,511206,CD Juan Pablo II,Visita,1ST,09/02/2025,1,0,45%,0.00,0,4,4,1,,203,9,8,0,,0,0,2,2,2,2,0,0,,,0,2,163,7,28,,15/29 (52%),1/2 (50%),56%,3,20/36 (56%),5/9 (56%),4/8 (50%),56%,9,8,25,10,,4,,,,,7
13352936,406,70962,APERTURA,REGULAR,Round 1,LEAGUE,511206,CD Juan Pablo II,Visita,2ND,09/02/2025,1,0,49%,0.00,1,5,0,0,,185,4,6,1,,1,0,4,0,4,1,0,1,,,1,1,154,13,21,,8/19 (42%),3/8 (38%),52%,4,18/35 (51%),6/11 (55%),8/12 (67%),50%,4,6,25,9,,0,,,,,4
13387753,406,70962,APERTURA,REGULAR,Round 2,LEAGUE,511206,CD Juan Pablo II,Local,ALL,16/02/2025,2,0,51%,0.55,0,7,3,1,12,385,23,16,1,1,1,0,6,0,5,2,,0,,17,3,1,289,21,49,39/77 (51%),27/58 (47%),5/22 (23%),51%,12,44/87 (51%),20/39 (51%),11/22 (50%),65%,23,12,51,41,,3,,1,2,,10
13387753,406,70962,APERTURA,REGULAR,Round 2,LEAGUE,511206,CD Juan Pablo II,Local,1ST,16/02/2025,2,0,49%,0.00,0,4,2,1,,183,9,10,0,0,1,0,3,0,4,0,,0,,,1,1,129,7,21,,16/34 (47%),3/11 (27%),59%,3,16/26 (62%),14/25 (56%),1/4 (25%),67%,9,4,26,25,,2,,,,,6
13387753,406,70962,APERTURA,REGULAR,Round 2,LEAGUE,511206,CD Juan Pablo II,Local,2ND,16/02/2025,2,0,54%,0.00,0,3,1,0,,202,14,6,1,1,0,0,3,0,1,2,,0,,,2,0,160,14,28,,11/24 (46%),2/11 (18%),45%,9,28/61 (46%),6/14 (43%),10/18 (56%),64%,14,8,25,16,,1,,,,,4
13387753,406,70962,APERTURA,REGULAR,Round 2,LEAGUE,33895,Sport Huancayo,Visita,ALL,16/02/2025,2,1,49%,1.09,1,12,1,7,16,377,23,12,1,0,4,1,7,1,8,4,,1,,17,1,2,275,21,81,73/130 (56%),28/74 (38%),3/16 (19%),49%,11,43/87 (49%),19/39 (49%),9/21 (43%),65%,23,14,53,35,,1,,0,0,,12
13387753,406,70962,APERTURA,REGULAR,Round 2,LEAGUE,33895,Sport Huancayo,Visita,1ST,16/02/2025,2,0,51%,0.00,1,6,1,4,,196,6,4,0,0,2,1,3,1,5,1,,1,,,0,2,142,10,48,,13/41 (32%),2/12 (17%),41%,5,10/26 (38%),11/25 (44%),1/5 (20%),67%,6,4,24,19,,1,,,,,7
13387753,406,70962,APERTURA,REGULAR,Round 2,LEAGUE,33895,Sport Huancayo,Visita,2ND,16/02/2025,2,1,46%,0.00,0,6,0,3,,181,17,8,1,0,2,0,4,0,3,3,,0,,,1,0,133,11,33,,15/33 (45%),1/4 (25%),55%,6,33/61 (54%),8/14 (57%),8/16 (50%),65%,17,10,29,16,,0,,,,,5
13387774,406,70962,APERTURA,REGULAR,Round 3,LEAGUE,2311,Alianza Lima,Local,ALL,21/02/2025,3,1,57%,1.88,3,22,4,7,13,403,14,9,4,,6,0,9,7,14,8,,3,0,29,5,0,341,12,63,96/126 (76%),25/41 (61%),7/22 (32%),56%,13,35/79 (44%),24/27 (89%),12/20 (60%),50%,14,14,52,30,0,4,,1,0,,10
13387774,406,70962,APERTURA,REGULAR,Round 3,LEAGUE,2311,Alianza Lima,Local,1ST,21/02/2025,3,1,62%,0.00,3,16,3,6,,213,3,6,0,,6,0,6,4,9,7,,3,0,,4,0,178,8,32,,10/20 (50%),5/12 (42%),58%,6,13/31 (42%),16/19 (84%),4/9 (44%),0%,3,9,25,11,,3,,,,,3
13387774,406,70962,APERTURA,REGULAR,Round 3,LEAGUE,2311,Alianza Lima,Local,2ND,21/02/2025,3,0,52%,0.00,0,6,1,1,,190,11,3,4,,0,0,3,3,5,1,,0,0,,1,0,163,4,31,,15/21 (71%),2/10 (20%),54%,7,22/48 (46%),8/8 (100%),8/11 (73%),64%,11,5,27,19,,1,,,,,7
