Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9611974,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,5287,CFR 1907 Cluj,Local,ALL,16/07/2021,1,3,59%,,,17,0,3,20,,,7,2,0,7,,6,4,,,,,,,,2,,21,,,,,,,,,,,,,,,,0,,,,,5
9611974,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,5287,CFR 1907 Cluj,Local,1ST,16/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611974,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,5287,CFR 1907 Cluj,Local,2ND,16/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611974,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,312033,FCU 1948 Craiova,Visita,ALL,16/07/2021,1,2,41%,,,6,4,4,7,,,22,3,0,2,,3,1,,,,,,,,0,,13,,,,,,,,,,,,,,,,4,,,,,14
9611974,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,312033,FCU 1948 Craiova,Visita,1ST,16/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611974,152,37234,NORMAL,REGULAR,Round 1,LEAGUE,312033,FCU 1948 Craiova,Visita,2ND,16/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9643325,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,126304,Lincoln Red Imps,Local,ALL,20/07/2021,2,1,,,,7,4,3,9,,,9,3,0,3,,3,1,,,,,,,,2,,28,,,,,,,,,,,,,,,,4,,,,,10
9643325,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,126304,Lincoln Red Imps,Local,1ST,20/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9643325,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,126304,Lincoln Red Imps,Local,2ND,20/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9643325,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,5287,CFR 1907 Cluj,Visita,ALL,20/07/2021,2,2,,,,7,1,4,7,,,11,1,0,5,,2,0,,,,,,,,2,,26,,,,,,,,,,,,,,,,1,,,,,6
9643325,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,5287,CFR 1907 Cluj,Visita,1ST,20/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9643325,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,5287,CFR 1907 Cluj,Visita,2ND,20/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604459,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,448061,ACS Inter Ilfov,Local,ALL,24/07/2021,2,1,40%,,,3,1,3,13,,,11,3,0,1,,2,0,,,,,,,,1,,25,,,,,,,,,,,,,,,,1,,,,,14
9604459,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,448061,ACS Inter Ilfov,Local,1ST,24/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604459,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,448061,ACS Inter Ilfov,Local,2ND,24/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604459,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,5287,CFR 1907 Cluj,Visita,ALL,24/07/2021,2,2,60%,,,16,0,11,11,,,14,4,0,3,,6,7,,,,,,,,0,,20,,,,,,,,,,,,,,,,0,,,,,5
9604459,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,5287,CFR 1907 Cluj,Visita,1ST,24/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604459,152,37234,NORMAL,REGULAR,Round 2,LEAGUE,5287,CFR 1907 Cluj,Visita,2ND,24/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9643314,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,5287,CFR 1907 Cluj,Local,ALL,28/07/2021,2,2,,,,11,5,4,11,,,16,0,0,5,,4,2,,,,,,,,6,,27,,,,,,,,,,,,,,,,5,,,,,5
9643314,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,5287,CFR 1907 Cluj,Local,1ST,28/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9643314,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,5287,CFR 1907 Cluj,Local,2ND,28/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9643314,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,126304,Lincoln Red Imps,Visita,ALL,28/07/2021,2,0,,,,7,3,4,12,,,17,2,0,5,,2,0,,,,,,,,4,,21,,,,,,,,,,,,,,,,3,,,,,6
9643314,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,126304,Lincoln Red Imps,Visita,1ST,28/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9643314,7,36886,NORMAL,REGULAR,Qualification round 2,INTERNATIONAL,126304,Lincoln Red Imps,Visita,2ND,28/07/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611983,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,5287,CFR 1907 Cluj,Local,ALL,31/07/2021,3,1,61%,,,9,1,5,11,,,14,0,0,4,,5,0,,,,,,,,0,,38,,,,,,,,,,,,,,,,1,,,,,4
9611983,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,5287,CFR 1907 Cluj,Local,1ST,31/07/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611983,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,5287,CFR 1907 Cluj,Local,2ND,31/07/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611983,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,56127,Chindia Târgoviște,Visita,ALL,31/07/2021,3,0,39%,,,3,3,1,13,,,11,1,0,1,,2,0,,,,,,,,1,,24,,,,,,,,,,,,,,,,3,,,,,9
9611983,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,56127,Chindia Târgoviște,Visita,1ST,31/07/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9611983,152,37234,NORMAL,REGULAR,Round 3,LEAGUE,56127,Chindia Târgoviște,Visita,2ND,31/07/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9685256,7,36886,NORMAL,REGULAR,Qualification round 3,INTERNATIONAL,5287,CFR 1907 Cluj,Local,ALL,03/08/2021,3,1,26%,0.00,1,6,5,1,12,239,13,9,2,,1,0,2,3,2,4,1,,,,1,1,115,34,50,,16/72 (22%),1/7 (14%),35%,4,21/56 (38%),16/49 (33%),0/2 (0%),77%,13,12,,27,,5,,,,,15
9685256,7,36886,NORMAL,REGULAR,Qualification round 3,INTERNATIONAL,5287,CFR 1907 Cluj,Local,1ST,03/08/2021,3,1,29%,0.00,1,5,1,1,,117,4,5,1,,1,0,1,3,2,3,1,,,,1,0,59,23,31,,5/34 (15%),1/4 (25%),35%,3,8/28 (29%),10/24 (42%),0/2 (0%),100%,4,5,,8,,1,,,,,6
9685256,7,36886,NORMAL,REGULAR,Qualification round 3,INTERNATIONAL,5287,CFR 1907 Cluj,Local,2ND,03/08/2021,3,0,24%,0.00,0,1,4,0,,122,9,4,1,,0,0,1,0,0,1,0,,,,0,1,56,11,19,,11/38 (29%),0/3 (0%),36%,1,13/28 (46%),6/25 (24%),0/0 (0%),67%,9,7,,19,,4,,,,,9
9685256,7,36886,NORMAL,REGULAR,Qualification round 3,INTERNATIONAL,2445,BSC Young Boys,Visita,ALL,03/08/2021,3,1,74%,0.00,1,18,0,6,9,657,6,12,0,,6,0,6,6,9,9,1,,,,4,2,540,39,87,,43/76 (57%),6/34 (18%),65%,3,35/56 (63%),33/49 (67%),17/27 (63%),67%,6,18,,7,,0,,,,,2
9685256,7,36886,NORMAL,REGULAR,Qualification round 3,INTERNATIONAL,2445,BSC Young Boys,Visita,1ST,03/08/2021,3,0,71%,0.00,0,6,0,3,,286,5,7,0,,1,0,1,4,6,0,0,,,,0,2,233,14,32,,20/41 (49%),5/11 (45%),65%,2,20/28 (71%),14/24 (58%),8/10 (80%),60%,5,8,,5,,0,,,,,0
