Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9646835,98,37482,NORMAL,REGULAR,Round 1,LEAGUE,44355,Menemen FK,Local,ALL,15/08/2021,1,2,34%,0.00,,14,5,1,18,282,17,9,1,,5,1,7,2,7,7,,,,,1,1,202,16,46,,26/62 (42%),1/10 (10%),45%,10,39/82 (48%),14/36 (39%),13/24 (54%),65%,17,12,,11,,5,,,,,4
9646835,98,37482,NORMAL,REGULAR,Round 1,LEAGUE,44355,Menemen FK,Local,1ST,15/08/2021,1,1,40%,0.00,,11,2,1,,164,4,4,0,,3,1,6,2,5,6,,,,,0,0,123,9,23,,14/35 (40%),1/9 (11%),45%,2,16/35 (46%),9/20 (45%),8/13 (62%),25%,4,5,,3,,2,,,,,1
9646835,98,37482,NORMAL,REGULAR,Round 1,LEAGUE,44355,Menemen FK,Local,2ND,15/08/2021,1,1,29%,0.00,,3,3,0,,118,13,5,1,,2,0,1,0,2,1,,,,,1,1,79,7,23,,12/27 (44%),0/1 (0%),44%,8,23/47 (49%),5/16 (31%),5/11 (45%),77%,13,7,,8,,3,,,,,3
9646835,98,37482,NORMAL,REGULAR,Round 1,LEAGUE,55603,Erzurumspor FK,Visita,ALL,15/08/2021,1,0,66%,0.00,,7,3,2,9,553,21,17,4,,5,0,1,1,2,5,,,,,3,5,475,17,74,,31/56 (55%),3/13 (23%),55%,8,43/82 (52%),22/36 (61%),5/14 (36%),57%,21,7,,12,,3,,,,,9
9646835,98,37482,NORMAL,REGULAR,Round 1,LEAGUE,55603,Erzurumspor FK,Visita,1ST,15/08/2021,1,0,60%,0.00,,3,2,0,,256,7,9,1,,2,0,1,0,1,2,,,,,2,2,216,7,36,,19/31 (61%),2/7 (29%),55%,2,19/35 (54%),11/20 (55%),3/5 (60%),86%,7,3,,10,,2,,,,,6
9646835,98,37482,NORMAL,REGULAR,Round 1,LEAGUE,55603,Erzurumspor FK,Visita,2ND,15/08/2021,1,0,71%,0.00,,4,1,2,,297,14,8,3,,3,0,0,1,1,3,,,,,1,3,259,10,38,,12/25 (48%),1/6 (17%),56%,6,24/47 (51%),11/16 (69%),2/9 (22%),43%,14,4,,2,,1,,,,,3
9646840,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,55603,Erzurumspor FK,Local,ALL,23/08/2021,2,2,49%,0.00,1,19,3,4,16,393,12,16,2,,6,0,8,5,6,13,0,1,,,1,0,325,16,64,,44/69 (64%),3/17 (18%),49%,12,41/87 (47%),15/27 (56%),13/22 (59%),83%,12,12,,20,,3,,,,,11
9646840,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,55603,Erzurumspor FK,Local,1ST,23/08/2021,2,0,50%,0.00,0,8,1,3,,197,6,5,1,,3,0,4,1,2,6,0,0,,,0,0,165,7,30,,28/42 (67%),1/9 (11%),43%,3,17/36 (47%),3/10 (30%),6/10 (60%),83%,6,7,,8,,1,,,,,6
9646840,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,55603,Erzurumspor FK,Local,2ND,23/08/2021,2,2,49%,0.00,1,11,2,1,,196,6,11,1,,3,0,4,4,4,7,0,1,,,1,0,160,9,34,,16/27 (59%),2/8 (25%),53%,9,24/51 (47%),12/17 (71%),7/12 (58%),83%,6,5,,12,,2,,,,,5
9646840,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,3055,Bursaspor,Visita,ALL,23/08/2021,2,1,51%,0.00,3,15,5,5,16,405,21,14,4,,5,0,7,3,12,3,1,2,,,2,2,321,20,62,,19/51 (37%),5/19 (26%),51%,6,46/87 (53%),12/27 (44%),11/17 (65%),48%,21,11,,16,,5,,,,,12
9646840,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,3055,Bursaspor,Visita,1ST,23/08/2021,2,0,50%,0.00,2,4,3,2,,205,7,6,1,,1,0,3,0,3,1,0,2,,,2,0,159,8,30,,10/27 (37%),1/8 (13%),57%,4,19/36 (53%),7/10 (70%),6/8 (75%),57%,7,7,,7,,3,,,,,9
9646840,98,37482,NORMAL,REGULAR,Round 2,LEAGUE,3055,Bursaspor,Visita,2ND,23/08/2021,2,1,51%,0.00,1,11,2,3,,200,14,8,3,,4,0,4,3,9,2,1,0,,,0,2,162,12,32,,9/24 (38%),4/11 (36%),47%,2,27/51 (53%),5/17 (29%),5/9 (56%),43%,14,4,,9,,2,,,,,3
9647338,98,37482,NORMAL,REGULAR,Round 3,LEAGUE,55603,Erzurumspor FK,Local,ALL,29/08/2021,3,1,57%,0.00,3,9,1,4,13,475,11,13,4,,2,0,5,2,8,1,1,2,,,1,2,395,23,75,,52/87 (60%),2/16 (13%),51%,7,27/62 (44%),20/31 (65%),3/12 (25%),55%,11,3,,13,,1,,,,,13
