Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3086,Başakşehir FK,Local,ALL,15/08/2021,1,0,58%,0.00,1,17,3,8,17,550,14,9,0,,5,0,7,5,11,6,,1,2,,4,2,477,24,44,,20/37 (54%),6/24 (25%),45%,10,29/66 (44%),16/33 (48%),6/8 (75%),57%,14,10,,13,,3,,,,,1
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3086,Başakşehir FK,Local,1ST,15/08/2021,1,0,47%,0.00,0,4,1,1,,222,5,5,0,,1,0,1,2,2,2,,0,1,,3,0,185,9,19,,9/18 (50%),2/5 (40%),46%,2,14/30 (47%),5/11 (45%),4/6 (67%),40%,5,4,,8,,1,,,,,0
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,3086,Başakşehir FK,Local,2ND,15/08/2021,1,,68%,0.00,1,13,2,7,,328,9,4,0,,4,0,6,3,9,4,,1,1,,1,2,292,15,25,,11/19 (58%),4/19 (21%),45%,8,15/36 (42%),11/22 (50%),2/2 (100%),67%,9,6,,5,,2,,,,,1
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,6362,Alanyaspor,Visita,ALL,15/08/2021,1,1,42%,0.00,1,8,4,0,9,403,12,16,2,,4,1,2,2,3,5,,1,1,,3,2,326,18,29,,29/52 (56%),2/13 (15%),55%,6,37/66 (56%),17/33 (52%),9/17 (53%),67%,12,8,,25,,4,,,,,11
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,6362,Alanyaspor,Visita,1ST,15/08/2021,1,1,53%,0.00,1,6,1,0,,244,4,7,1,,2,1,2,2,2,4,,1,1,,2,0,204,14,18,,17/25 (68%),1/8 (13%),54%,2,16/30 (53%),6/11 (55%),5/8 (63%),50%,4,3,,8,,1,,,,,4
9643887,52,37466,NORMAL,REGULAR,Round 1,LEAGUE,6362,Alanyaspor,Visita,2ND,15/08/2021,1,,32%,0.00,0,2,3,0,,159,8,9,1,,2,0,0,0,1,1,,0,0,,1,2,122,4,11,,12/27 (44%),1/5 (20%),55%,4,21/36 (58%),11/22 (50%),4/9 (44%),75%,8,5,,17,,3,,,,,7
9643894,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,6362,Alanyaspor,Local,ALL,21/08/2021,2,1,47%,0.00,5,10,3,1,10,427,15,11,3,2,2,0,6,2,7,3,1,4,0,,2,2,346,15,47,,34/58 (59%),5/13 (38%),51%,9,33/68 (49%),16/29 (55%),7/11 (64%),73%,15,12,,29,,3,,,,,9
9643894,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,6362,Alanyaspor,Local,1ST,21/08/2021,2,0,50%,0.00,1,2,2,1,,253,8,3,1,1,0,0,1,1,2,0,0,1,0,,0,1,208,5,18,,13/30 (43%),2/5 (40%),42%,5,14/33 (42%),5/12 (42%),3/5 (60%),63%,8,4,,22,,2,,,,,5
9643894,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,6362,Alanyaspor,Local,2ND,21/08/2021,2,,45%,0.00,4,8,1,0,,174,7,8,2,1,2,0,5,1,5,3,1,3,0,,2,1,138,10,29,,21/28 (75%),3/8 (38%),58%,4,19/35 (54%),11/17 (65%),4/6 (67%),86%,7,8,,7,,1,,,,,4
9643894,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3070,Altay,Visita,ALL,21/08/2021,2,4,53%,0.00,2,23,1,5,11,479,13,10,0,0,7,0,9,7,18,5,1,1,1,,3,0,388,21,71,,28/51 (55%),2/18 (11%),49%,10,35/68 (51%),13/29 (45%),12/17 (71%),62%,13,15,,9,,1,,,,,5
9643894,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3070,Altay,Visita,1ST,21/08/2021,2,2,50%,0.00,1,12,0,3,,256,7,5,0,0,4,0,4,4,9,3,0,1,0,,3,0,203,13,35,,17/29 (59%),2/12 (17%),58%,5,19/33 (58%),7/12 (58%),7/10 (70%),57%,7,9,,2,,0,,,,,1
9643894,52,37466,NORMAL,REGULAR,Round 2,LEAGUE,3070,Altay,Visita,2ND,21/08/2021,2,,55%,0.00,1,11,1,2,,223,6,5,0,0,3,0,5,3,9,2,1,0,1,,0,0,185,8,36,,11/22 (50%),0/6 (0%),42%,5,16/35 (46%),6/17 (35%),5/7 (71%),67%,6,6,,7,,1,,,,,4
9643906,52,37466,NORMAL,REGULAR,Round 3,LEAGUE,3091,Hatayspor,Local,ALL,28/08/2021,3,5,48%,0.00,3,16,1,3,14,355,8,14,5,,8,0,5,3,10,6,2,1,1,,0,0,283,21,44,,20/47 (43%),1/11 (9%),44%,5,28/57 (49%),13/36 (36%),6/9 (67%),38%,8,15,,14,,1,,,,,7
