Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
9383788,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,306660,Alianza Universidad,Local,ALL,15/03/2021,1,1,57%,0.00,2,14,2,6,16,427,13,8,2,0,5,0,6,3,7,7,1,1,,,4,5,362,25,46,,30/55 (55%),7/26 (27%),45%,5,26/59 (44%),6/12 (50%),5/13 (38%),85%,13,6,,22,,2,,,,,8
9383788,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,306660,Alianza Universidad,Local,1ST,15/03/2021,1,0,63%,0.00,0,4,2,4,,261,4,2,1,0,1,0,2,1,3,1,0,0,,,0,2,229,16,24,,22/28 (79%),4/17 (24%),41%,3,11/27 (41%),2/5 (40%),5/10 (50%),75%,4,3,,10,,2,,,,,6
9383788,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,306660,Alianza Universidad,Local,2ND,15/03/2021,1,,50%,0.00,2,10,0,2,,166,9,6,1,0,4,0,4,2,4,6,1,1,,,4,3,133,9,22,,8/27 (30%),3/9 (33%),49%,2,15/32 (47%),4/7 (57%),0/3 (0%),89%,9,3,,12,,0,,,,,2
9383788,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,63760,Cusco FC,Visita,ALL,15/03/2021,1,0,43%,0.00,1,10,4,5,11,332,13,15,2,1,2,1,5,3,3,7,0,1,,,4,1,265,9,61,,33/63 (52%),3/18 (17%),55%,10,33/59 (56%),6/12 (50%),5/8 (63%),69%,13,7,,21,,4,,,,,7
9383788,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,63760,Cusco FC,Visita,1ST,15/03/2021,1,0,37%,0.00,0,7,1,2,,160,8,5,0,0,2,0,4,1,2,5,0,0,,,1,0,131,6,25,,9/25 (36%),2/9 (22%),59%,3,16/27 (59%),3/5 (60%),3/4 (75%),63%,8,6,,16,,1,,,,,2
9383788,406,35813,CALENDAR,REGULAR,Round 1,LEAGUE,63760,Cusco FC,Visita,2ND,15/03/2021,1,,50%,0.00,1,3,3,3,,172,5,10,2,1,0,1,1,2,1,2,0,1,,,3,1,134,3,36,,24/38 (63%),1/9 (11%),51%,7,17/32 (53%),3/7 (43%),2/4 (50%),80%,5,1,,5,,3,,,,,5
9393810,406,35813,CALENDAR,REGULAR,Round 2,LEAGUE,63760,Cusco FC,Local,ALL,20/03/2021,2,2,45%,0.00,2,16,4,6,14,298,14,16,3,1,6,0,7,3,6,10,2,0,0,,6,1,233,20,49,,13/41 (32%),3/19 (16%),50%,14,36/68 (53%),5/14 (36%),6/10 (60%),79%,14,24,,16,,4,,,,,9
9393810,406,35813,CALENDAR,REGULAR,Round 2,LEAGUE,63760,Cusco FC,Local,1ST,20/03/2021,2,1,44%,0.00,1,4,4,3,,165,4,7,0,0,2,0,1,1,2,2,1,0,0,,1,0,131,2,20,,5/17 (29%),2/9 (22%),47%,6,13/26 (50%),3/8 (38%),2/2 (100%),50%,4,13,,10,,4,,,,,6
9393810,406,35813,CALENDAR,REGULAR,Round 2,LEAGUE,63760,Cusco FC,Local,2ND,20/03/2021,2,,45%,0.00,1,12,0,3,,133,10,9,3,1,4,0,6,2,4,8,1,0,0,,5,1,102,18,29,,8/24 (33%),1/10 (10%),52%,8,23/42 (55%),2/6 (33%),4/8 (50%),90%,10,11,,6,,0,,,,,3
9393810,406,35813,CALENDAR,REGULAR,Round 2,LEAGUE,2301,Cienciano,Visita,ALL,20/03/2021,2,2,55%,0.00,4,20,4,8,16,368,18,13,5,0,6,1,8,6,13,7,2,2,1,,3,5,304,14,54,,33/51 (65%),7/28 (25%),50%,12,32/68 (47%),9/14 (64%),2/4 (50%),72%,18,10,,18,,4,,,,,10
9393810,406,35813,CALENDAR,REGULAR,Round 2,LEAGUE,2301,Cienciano,Visita,1ST,20/03/2021,2,1,56%,0.00,3,14,1,6,,206,6,6,2,0,5,1,6,3,8,6,1,2,1,,1,3,170,12,31,,17/27 (63%),4/19 (21%),53%,3,13/26 (50%),5/8 (63%),1/2 (50%),67%,6,6,,9,,1,,,,,2
9393810,406,35813,CALENDAR,REGULAR,Round 2,LEAGUE,2301,Cienciano,Visita,2ND,20/03/2021,2,,55%,0.00,1,6,3,2,,162,12,7,3,0,1,0,2,3,5,1,1,0,0,,2,2,134,2,23,,16/24 (67%),3/9 (33%),48%,9,19/42 (45%),4/6 (67%),1/2 (50%),75%,12,4,,9,,3,,,,,8
9423904,406,35813,CALENDAR,REGULAR,Round 3,LEAGUE,2311,Alianza Lima,Local,ALL,30/03/2021,3,2,59%,0.00,3,9,1,4,18,504,11,8,2,,3,0,3,3,4,5,2,1,,,2,2,404,29,70,,31/71 (44%),4/14 (29%),48%,10,22/49 (45%),19/36 (53%),3/4 (75%),64%,11,13,,13,,1,,,,,5
9423904,406,35813,CALENDAR,REGULAR,Round 3,LEAGUE,2311,Alianza Lima,Local,1ST,30/03/2021,3,1,61%,0.00,1,3,0,2,,282,2,5,1,,1,0,1,1,2,1,1,0,,,1,0,234,16,40,,18/36 (50%),1/8 (13%),52%,4,9/20 (45%),8/13 (62%),2/2 (100%),100%,2,8,,3,,0,,,,,3
9423904,406,35813,CALENDAR,REGULAR,Round 3,LEAGUE,2311,Alianza Lima,Local,2ND,30/03/2021,3,,56%,0.00,2,6,1,2,,222,9,3,1,,2,0,2,2,2,4,1,1,,,1,2,170,13,30,,13/35 (37%),3/6 (50%),46%,6,13/29 (45%),11/23 (48%),1/2 (50%),56%,9,5,,10,,1,,,,,2
