Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
15260868,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,667,IK Start,Local,ALL,08/08/2026,17,0,49%,1.76,4,13,2,6,8,474,26,5,,,2,1,8,3,9,4,,4,,34,1,2,363,25,69,80/133 (60%),26/70 (37%),11/34 (32%),55%,7,36/66 (55%),22/39 (56%),5/12 (42%),69%,26,9,64,19,1,2,-0.44,1,3,,8
15260868,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,667,IK Start,Local,1ST,08/08/2026,17,0,43%,0.73,1,5,2,5,4,213,9,4,,,0,0,3,2,3,2,,1,,,0,1,163,13,28,,14/27 (52%),6/17 (35%),57%,3,14/29 (48%),13/18 (72%),1/4 (25%),89%,9,4,28,13,,2,,,,,4
15260868,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,667,IK Start,Local,2ND,08/08/2026,17,0,55%,1.03,3,8,0,1,4,261,17,1,,,2,1,5,1,6,2,,3,,,1,1,200,12,41,,12/43 (28%),5/17 (29%),53%,4,22/37 (59%),9/21 (43%),4/8 (50%),59%,17,5,36,6,,0,,,,,4
15260868,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,687,Fredrikstad FK,Visita,ALL,08/08/2026,17,1,51%,1.32,1,14,2,4,5,520,14,8,,,4,1,6,4,7,7,,1,,20,2,1,412,20,72,121/164 (74%),16/76 (21%),3/13 (23%),45%,12,30/66 (45%),17/39 (44%),9/23 (39%),79%,14,7,59,41,1,2,0.39,1,0,,20
15260868,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,687,Fredrikstad FK,Visita,1ST,08/08/2026,17,1,57%,0.99,1,11,0,3,4,295,6,4,,,4,1,5,2,5,6,,1,,,2,0,246,9,40,,8/31 (26%),3/10 (30%),43%,5,15/29 (52%),5/18 (28%),6/10 (60%),100%,6,4,24,19,,0,,,,,9
15260868,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,687,Fredrikstad FK,Visita,2ND,08/08/2026,17,0,45%,0.33,0,3,2,1,1,225,8,4,,,0,0,1,2,2,1,,0,,,0,1,166,11,32,,8/45 (18%),1/3 (0%),47%,7,15/37 (41%),12/21 (57%),3/13 (23%),63%,8,3,35,22,,2,,,,,11
9475986,22,35404,CALENDAR,REGULAR,Round 1,LEAGUE,929,Sandnes Ulf,Local,ALL,15/05/2021,1,1,54%,,,13,6,11,13,,,6,5,0,6,,7,,,,,,,,,,,23,,,,,,,,,,,,,,,,6,,,,,6
9475986,22,35404,CALENDAR,REGULAR,Round 1,LEAGUE,929,Sandnes Ulf,Local,1ST,15/05/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9475986,22,35404,CALENDAR,REGULAR,Round 1,LEAGUE,929,Sandnes Ulf,Local,2ND,15/05/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9475986,22,35404,CALENDAR,REGULAR,Round 1,LEAGUE,667,IK Start,Visita,ALL,15/05/2021,1,2,46%,,,11,5,6,6,,,13,1,0,8,,3,,,,,,,,,,,20,,,,,,,,,,,,,,,,5,,,,,12
9475986,22,35404,CALENDAR,REGULAR,Round 1,LEAGUE,667,IK Start,Visita,1ST,15/05/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9475986,22,35404,CALENDAR,REGULAR,Round 1,LEAGUE,667,IK Start,Visita,2ND,15/05/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9476016,22,35404,CALENDAR,REGULAR,Round 2,LEAGUE,667,IK Start,Local,ALL,19/05/2021,2,2,51%,,,8,6,7,12,,,11,3,0,4,,4,,,,,,,,,2,,22,,,,,,,,,,,,,,,,6,,,,,9
9476016,22,35404,CALENDAR,REGULAR,Round 2,LEAGUE,667,IK Start,Local,1ST,19/05/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9476016,22,35404,CALENDAR,REGULAR,Round 2,LEAGUE,667,IK Start,Local,2ND,19/05/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9476016,22,35404,CALENDAR,REGULAR,Round 2,LEAGUE,862,FK Jerv,Visita,ALL,19/05/2021,2,4,49%,,,15,2,11,9,,,14,2,0,10,,5,,,,,,,,,2,,20,,,,,,,,,,,,,,,,2,,,,,14
9476016,22,35404,CALENDAR,REGULAR,Round 2,LEAGUE,862,FK Jerv,Visita,1ST,19/05/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
