Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
15260862,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,666,HamKam,Local,ALL,09/08/2026,17,1,59%,2.17,4,13,1,8,10,496,15,11,2,,6,0,5,2,10,3,1,3,,35,1,1,412,15,91,96/148 (65%),40/88 (45%),3/21 (14%),44%,13,29/61 (48%),8/24 (33%),3/8 (38%),60%,15,5,49,26,,1,-0.37,0,0,0,7
15260862,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,666,HamKam,Local,1ST,09/08/2026,17,0,55%,0.27,0,5,0,2,6,250,11,3,1,,2,0,1,2,2,3,0,0,,,0,0,209,6,46,,19/42 (45%),3/7 (43%),42%,9,14/34 (41%),4/9 (44%),0/3 (0%),55%,11,1,30,17,,0,,,,,3
15260862,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,666,HamKam,Local,2ND,09/08/2026,17,1,64%,1.89,4,8,1,6,4,246,4,8,1,,4,0,4,0,8,0,1,3,,,1,1,203,9,45,,21/46 (46%),0/14 (0%),45%,4,15/27 (56%),4/15 (27%),3/5 (60%),75%,4,4,19,9,,1,,,,,4
15260862,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,677,Aalesunds FK,Visita,ALL,09/08/2026,17,1,41%,0.70,1,10,6,4,11,338,18,10,1,,2,0,4,4,7,3,0,1,,31,1,2,244,26,53,84/127 (66%),20/62 (32%),1/18 (6%),56%,7,32/61 (52%),16/24 (67%),4/13 (31%),56%,18,2,50,45,,6,1.36,1,2,4,7
15260862,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,677,Aalesunds FK,Visita,1ST,09/08/2026,17,1,45%,0.24,1,4,2,2,3,196,12,6,1,,1,0,2,1,3,1,0,1,,,0,2,150,10,30,,11/33 (33%),1/12 (8%),58%,6,20/34 (59%),5/9 (56%),2/7 (29%),67%,12,0,32,14,,2,,,,,5
15260862,20,87809,CALENDAR,REGULAR,Round 17,LEAGUE,677,Aalesunds FK,Visita,2ND,09/08/2026,17,0,36%,0.46,0,6,4,2,8,142,6,4,0,,1,0,2,3,4,2,0,0,,,1,0,94,16,23,,9/29 (31%),0/6 (0%),55%,1,12/27 (44%),11/15 (73%),2/6 (33%),33%,6,2,18,31,,4,,,,,2
15260880,20,87809,CALENDAR,REGULAR,Round 18,LEAGUE,677,Aalesunds FK,Local,ALL,16/08/2026,18,5,32%,2.08,2,24,5,10,11,284,23,9,0,,8,0,9,7,14,10,2,0,,36,2,1,193,12,60,64/113 (57%),14/62 (23%),4/16 (25%),42%,11,41/81 (51%),9/37 (24%),8/22 (36%),83%,23,5,41,31,,5,-0.97,,,,13
15260880,20,87809,CALENDAR,REGULAR,Round 18,LEAGUE,677,Aalesunds FK,Local,1ST,16/08/2026,18,4,37%,1.45,2,12,4,3,5,167,17,4,0,,7,0,3,2,8,4,2,0,,,1,0,121,8,29,,7/29 (24%),2/7 (29%),46%,8,27/48 (56%),2/15 (13%),5/12 (42%),82%,17,3,19,16,,4,,,,,6
15260880,20,87809,CALENDAR,REGULAR,Round 18,LEAGUE,677,Aalesunds FK,Local,2ND,16/08/2026,18,1,26%,0.63,0,12,1,7,6,117,6,5,0,,1,0,6,5,6,6,0,0,,,1,1,72,4,31,,7/33 (21%),2/9 (22%),38%,3,14/33 (42%),7/22 (32%),3/10 (30%),83%,6,2,22,15,,1,,,,,7
15260880,20,87809,CALENDAR,REGULAR,Round 18,LEAGUE,1165,Vålerenga IF,Visita,ALL,16/08/2026,18,5,68%,3.13,5,22,2,5,10,628,25,10,1,,10,2,7,5,18,4,4,1,,40,2,3,530,23,86,138/189 (73%),22/54 (41%),8/23 (35%),58%,9,40/81 (49%),28/37 (76%),4/18 (22%),72%,25,6,49,27,,2,-3.31,,,,7
15260880,20,87809,CALENDAR,REGULAR,Round 18,LEAGUE,1165,Vålerenga IF,Visita,1ST,16/08/2026,18,2,63%,2.08,2,12,2,4,5,287,15,4,0,,6,2,4,2,9,3,1,1,,,1,1,238,13,48,,11/30 (37%),4/11 (36%),54%,6,21/48 (44%),13/15 (87%),1/12 (8%),67%,15,4,25,12,,2,,,,,3
15260880,20,87809,CALENDAR,REGULAR,Round 18,LEAGUE,1165,Vålerenga IF,Visita,2ND,16/08/2026,18,3,74%,1.05,3,10,0,1,5,341,10,6,1,,4,0,3,3,9,1,3,0,,,1,2,292,10,38,,11/24 (46%),4/12 (33%),62%,3,19/33 (58%),15/22 (68%),3/6 (50%),80%,10,2,24,15,,0,,,,,4
