Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
10206166,562,37605,NORMAL,GROUP,"Liga 2, Relegation Round, Group B",LEAGUE,55381,FC Unirea Dej,Local,ALL,07/05/2022,7,3,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10206166,562,37605,NORMAL,GROUP,"Liga 2, Relegation Round, Group B",LEAGUE,55381,FC Unirea Dej,Local,1ST,07/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10206166,562,37605,NORMAL,GROUP,"Liga 2, Relegation Round, Group B",LEAGUE,55381,FC Unirea Dej,Local,2ND,07/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10206166,562,37605,NORMAL,GROUP,"Liga 2, Relegation Round, Group B",LEAGUE,7732,FC Gloria Buzău,Visita,ALL,07/05/2022,7,0,,,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10206166,562,37605,NORMAL,GROUP,"Liga 2, Relegation Round, Group B",LEAGUE,7732,FC Gloria Buzău,Visita,1ST,07/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10206166,562,37605,NORMAL,GROUP,"Liga 2, Relegation Round, Group B",LEAGUE,7732,FC Gloria Buzău,Visita,2ND,07/05/2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510238,562,44387,NORMAL,REGULAR,Round 1,LEAGUE,7732,FC Gloria Buzău,Local,ALL,06/08/2022,1,1,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510238,562,44387,NORMAL,REGULAR,Round 1,LEAGUE,7732,FC Gloria Buzău,Local,1ST,06/08/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510238,562,44387,NORMAL,REGULAR,Round 1,LEAGUE,7732,FC Gloria Buzău,Local,2ND,06/08/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510238,562,44387,NORMAL,REGULAR,Round 1,LEAGUE,118844,FC Ripensia Timișoara,Visita,ALL,06/08/2022,1,0,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510238,562,44387,NORMAL,REGULAR,Round 1,LEAGUE,118844,FC Ripensia Timișoara,Visita,1ST,06/08/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510238,562,44387,NORMAL,REGULAR,Round 1,LEAGUE,118844,FC Ripensia Timișoara,Visita,2ND,06/08/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10514607,562,44387,NORMAL,REGULAR,Round 2,LEAGUE,79081,FC Metaloglobus București,Local,ALL,13/08/2022,2,1,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10514607,562,44387,NORMAL,REGULAR,Round 2,LEAGUE,79081,FC Metaloglobus București,Local,1ST,13/08/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10514607,562,44387,NORMAL,REGULAR,Round 2,LEAGUE,79081,FC Metaloglobus București,Local,2ND,13/08/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10514607,562,44387,NORMAL,REGULAR,Round 2,LEAGUE,7732,FC Gloria Buzău,Visita,ALL,13/08/2022,2,3,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10514607,562,44387,NORMAL,REGULAR,Round 2,LEAGUE,7732,FC Gloria Buzău,Visita,1ST,13/08/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10514607,562,44387,NORMAL,REGULAR,Round 2,LEAGUE,7732,FC Gloria Buzău,Visita,2ND,13/08/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609414,562,44387,NORMAL,REGULAR,Round 14,LEAGUE,55381,FC Unirea Dej,Local,ALL,12/11/2022,14,2,,,,,,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609414,562,44387,NORMAL,REGULAR,Round 14,LEAGUE,55381,FC Unirea Dej,Local,1ST,12/11/2022,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609414,562,44387,NORMAL,REGULAR,Round 14,LEAGUE,55381,FC Unirea Dej,Local,2ND,12/11/2022,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609414,562,44387,NORMAL,REGULAR,Round 14,LEAGUE,7732,FC Gloria Buzău,Visita,ALL,12/11/2022,14,3,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609414,562,44387,NORMAL,REGULAR,Round 14,LEAGUE,7732,FC Gloria Buzău,Visita,1ST,12/11/2022,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609414,562,44387,NORMAL,REGULAR,Round 14,LEAGUE,7732,FC Gloria Buzău,Visita,2ND,12/11/2022,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609436,562,44387,NORMAL,REGULAR,Round 17,LEAGUE,7732,FC Gloria Buzău,Local,ALL,23/02/2023,17,1,,,,,,7,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609436,562,44387,NORMAL,REGULAR,Round 17,LEAGUE,7732,FC Gloria Buzău,Local,1ST,23/02/2023,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609436,562,44387,NORMAL,REGULAR,Round 17,LEAGUE,7732,FC Gloria Buzău,Local,2ND,23/02/2023,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609436,562,44387,NORMAL,REGULAR,Round 17,LEAGUE,387692,FC Brașov,Visita,ALL,23/02/2023,17,1,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609436,562,44387,NORMAL,REGULAR,Round 17,LEAGUE,387692,FC Brașov,Visita,1ST,23/02/2023,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609436,562,44387,NORMAL,REGULAR,Round 17,LEAGUE,387692,FC Brașov,Visita,2ND,23/02/2023,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11132325,562,44387,NORMAL,PLAYOFF,"Liga 2, Promotion Playoff",LEAGUE,7732,FC Gloria Buzău,Local,ALL,08/04/2023,3,0,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11132325,562,44387,NORMAL,PLAYOFF,"Liga 2, Promotion Playoff",LEAGUE,7732,FC Gloria Buzău,Local,1ST,08/04/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11132325,562,44387,NORMAL,PLAYOFF,"Liga 2, Promotion Playoff",LEAGUE,7732,FC Gloria Buzău,Local,2ND,08/04/2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11132325,562,44387,NORMAL,PLAYOFF,"Liga 2, Promotion Playoff",LEAGUE,55381,FC Unirea Dej,Visita,ALL,08/04/2023,3,0,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
