Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Lucas Janson,F,Gimnasia y Esgrima,47,7.2,0,0,0,0,0,0,0,10,1,1,0,17,1,0,0,3,0,1,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Milton Celiz,M,Deportivo Riestra,37,7,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Germán Conti,D,Gimnasia y Esgrima,120,6.9,0,0,0,0,1,0,0,68,0,0,0,88,0,2,1,7,2,0,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Nacho Fernández,M,Gimnasia y Esgrima,120,8,0,0,0,0,1,0,0,60,2,0,0,93,2,0,0,11,2,7,1,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Cristian Paz,D,Deportivo Riestra,53,6.8,0,0,0,0,0,0,0,2,0,0,0,10,0,2,1,3,1,0,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Pedro Silva,D,Gimnasia y Esgrima,73,6,0,0,0,0,0,0,0,19,0,0,0,33,0,1,0,1,0,0,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Nicolás Benegas,F,Deportivo Riestra,120,8,1,0,0,0,5,1,0,22,1,0,0,45,1,4,0,10,2,3,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Marino Arzamendia,G,Deportivo Riestra,120,8.1,0,0,0,0,0,0,0,20,0,0,0,26,0,0,0,0,0,0,0,0,0,2
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Yonatan Goitia,M,Deportivo Riestra,120,6.6,0,0,0,0,0,0,0,27,1,0,0,43,1,1,2,4,2,2,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Matías Melluso,D,Gimnasia y Esgrima,47,6.6,0,0,0,0,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Augusto Max,M,Gimnasia y Esgrima,6,5.7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Nicolás Sansotre,D,Deportivo Riestra,44,6.8,0,0,0,0,0,0,0,3,0,0,0,9,0,1,0,1,0,0,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Harlen Castillo,G,Gimnasia y Esgrima,120,8,0,0,0,0,0,0,0,23,0,0,0,40,0,0,0,1,0,0,0,0,0,5
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Enzo Martínez,D,Gimnasia y Esgrima,120,7,0,0,0,0,0,0,0,65,0,0,0,85,0,1,2,5,0,0,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Mariano Bracamonte,D,Deportivo Riestra,76,7.2,0,1,0,0,1,0,0,17,3,2,0,44,0,1,1,4,1,2,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Nicolas Watson,M,Deportivo Riestra,76,6.2,0,0,0,0,0,0,0,36,1,1,0,46,0,2,0,3,4,0,1,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Rodrigo Gallo,D,Deportivo Riestra,67,6.3,0,0,0,0,1,0,0,18,0,0,0,32,0,0,2,2,0,0,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Ignacio Gariglio,D,Deportivo Riestra,120,6.4,0,0,0,0,0,0,0,12,0,0,0,31,0,0,1,2,0,0,0,0,0,0
Copa Argentina,2026,Deportivo Riestra vs Gimnasia y Esgrima,18/08/2026,Ignacio Miramón,M,Gimnasia y Esgrima,46,6.3,0,0,0,0,0,0,0,24,0,0,0,38,1,3,0,5,2,1,1,0,0,0
