Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Andrea Signorini,D,Gubbio,90,5.9,0,0,0,0,0,0,0,41,0,0,0,55,0,0,1,4,1,2,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Andrea La Mantia,F,Gubbio,31,6.3,0,0,0,0,0,0,0,5,0,0,0,6,0,0,1,0,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Paolo Frascatore,D,Guidonia Montecelio 1937,23,6.6,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,1,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Giacomo Rosaia,M,Gubbio,90,6.1,0,0,0,0,0,0,0,34,0,0,0,49,0,0,3,7,1,3,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Giovanni Di Noia,M,Gubbio,67,6.6,0,0,0,0,0,0,0,17,0,0,0,20,0,0,0,3,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Enrico Baldini,F,Gubbio,53,6.2,0,0,0,0,0,0,0,8,0,0,0,16,0,0,2,1,2,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Alessandro Murgia,M,Guidonia Montecelio 1937,23,6.5,0,0,0,0,0,0,0,13,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Diego Borghini,D,Guidonia Montecelio 1937,74,6.3,0,0,0,0,0,0,0,53,0,0,0,66,0,0,1,4,1,1,0,1,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Franco Ferrari,F,Guidonia Montecelio 1937,15,6.2,0,0,0.19,0,1,0,1,8,0,0,0,13,0,0,0,1,2,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Eetu Vertainen,F,Guidonia Montecelio 1937,82,7.5,1,1,0.2,0.07,3,1,0,19,2,0,0,35,2,0,0,6,3,2,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Riccardo Baroni,D,Guidonia Montecelio 1937,90,7,0,0,0,0,0,0,0,62,0,0,0,77,0,0,3,2,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Andrea Errico,M,Guidonia Montecelio 1937,90,7.2,0,0,0.02,0,1,0,0,52,1,0,0,67,3,0,1,6,1,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Salvatore Santoro,M,Guidonia Montecelio 1937,90,7.2,0,1,0,0.14,0,0,0,79,1,0,0,87,0,0,1,1,1,0,1,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Davide Zappella,M,Guidonia Montecelio 1937,90,7.4,0,1,0.09,0.38,1,1,0,40,2,0,0,49,0,0,1,5,1,2,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Valerio Mastrantonio,M,Guidonia Montecelio 1937,82,6.9,0,0,0,0,0,0,0,43,1,0,0,54,0,0,2,3,1,1,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Pasquale Giannotti,M,Guidonia Montecelio 1937,74,9.2,2,0,0.27,0,4,3,0,35,1,0,0,52,2,0,0,10,0,1,0,0,1,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Stefano Esempio,D,Guidonia Montecelio 1937,90,6.7,0,0,0,0,0,0,0,63,0,0,0,75,0,0,1,2,2,0,1,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Erasmo Mulè,D,Guidonia Montecelio 1937,6,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Giacomo Drago,G,Guidonia Montecelio 1937,90,6.6,0,0,0,0,0,0,0,22,0,0,0,24,0,0,0,0,0,0,0,0,0,1
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Marco Spina,F,Gubbio,20,6.4,0,0,0.02,0,1,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,1,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Mattia Tonetto,D,Guidonia Montecelio 1937,15,6.4,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Lorenzo Podda,M,Gubbio,42,6.5,0,0,0,0,0,0,0,10,0,0,0,11,0,0,1,1,1,0,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Nicola Bagnolini,G,Gubbio,90,5.6,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,2
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Alessandro Spavone,F,Guidonia Montecelio 1937,74,6.4,0,0,0,0.01,0,0,0,22,1,0,0,34,1,0,0,3,0,3,0,0,0,0
"Serie C, Girone B","Serie_C,_Group_B_26_27",Guidonia Montecelio 1937 vs Gubbio,22/08/2026,Tommaso Ghirardello,F,Gubbio,45,6.6,0,0,0,0,0,0,0,12,0,0,0,21,0,0,0,5,1,1,0,0,1,0
