Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Rodrigo Rojas,M,Rubio Ñu,90,7.7,0,2,0,0,1,0,0,38,3,1,0,50,2,1,1,3,0,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,William Mendieta,F,Rubio Ñu,64,7.3,1,0,0,0,3,1,0,26,2,1,0,42,0,0,0,2,1,1,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Fernando Fernández,F,Guaraní,45,6.4,0,0,0,0,0,0,0,12,0,0,0,17,1,0,0,2,0,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Miguel Jacquet,D,Guaraní,81,6.4,0,0,0,0,1,0,0,91,1,0,0,101,0,1,1,5,1,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Brian Blasi,D,Rubio Ñu,90,7.1,1,0,0,0,2,1,0,25,0,0,0,38,0,0,1,2,0,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Juan Manuel García,F,Guaraní,45,6.8,1,0,0,0,4,2,0,8,0,0,1,18,0,0,0,3,0,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Rodrigo Ruiz Díaz,F,Rubio Ñu,26,6.4,0,0,0,0,0,0,0,10,0,0,0,17,0,1,0,4,0,0,0,0,1,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Pedro Alvarez,D,Rubio Ñu,90,6.3,0,0,0,0,0,0,0,14,0,0,0,30,0,1,0,2,1,1,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Elías Alfonso,M,Rubio Ñu,15,6.6,0,0,0,0,0,0,0,4,0,0,0,14,2,0,0,3,0,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Estiven Pérez,F,Rubio Ñu,58,6.6,0,0,0,0,3,1,0,7,1,0,1,17,0,1,0,7,1,2,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Sergio Fretes,M,Rubio Ñu,15,6.3,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Carlos Arrua,F,Guaraní,45,7,0,0,0,0,1,0,0,39,2,0,0,49,0,1,0,1,1,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Cristian Núñez,M,Rubio Ñu,75,7,0,0,0,0,0,0,0,25,1,0,0,38,2,2,5,5,1,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Diego Fernández,M,Guaraní,90,6.1,0,0,0,0,0,0,0,37,2,0,0,51,0,1,0,1,0,0,1,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Lautaro Maldonado,G,Rubio Ñu,90,6.1,0,0,0,0,0,0,0,22,0,0,0,28,0,0,0,0,0,0,0,0,0,2
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Victor Céspedes,F,Guaraní,25,8.1,0,2,0,0,0,0,0,15,3,3,0,20,0,0,0,1,0,0,0,0,1,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Patricio Tanda,M,Guaraní,90,7.6,0,0,0,0,0,0,0,107,0,0,0,122,0,2,1,5,3,2,1,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Victor Cabañas,D,Rubio Ñu,90,7.4,0,1,0,0,1,0,0,26,1,1,0,51,0,7,1,12,1,2,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,René Rodríguez,D,Guaraní,90,7.1,0,0,0,0,0,0,0,90,0,0,0,107,1,0,2,5,0,1,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Mauricio Roldán,F,Rubio Ñu,32,6.3,0,0,0,0,0,0,0,4,0,0,0,10,0,0,1,0,2,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Matías López,M,Guaraní,90,6.5,0,0,0,0,1,0,0,25,0,0,0,33,0,2,0,3,0,1,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Maximiliano Añasco,M,Guaraní,90,7.5,1,0,0,0,2,2,0,31,0,0,0,45,0,1,0,3,1,2,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Javier Vallejos,D,Rubio Ñu,90,6.6,0,0,0,0,0,0,0,14,0,0,0,26,0,1,1,5,0,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Carlos Gimenez,D,Rubio Ñu,75,7.6,1,0,0,0,2,1,0,18,1,0,0,33,0,1,1,2,0,1,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Angel Ibarra,D,Guaraní,9,6.5,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Tobías Leiva,M,Rubio Ñu,45,6.5,0,0,0,0,0,0,0,12,1,0,0,18,0,2,1,2,0,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Patricio Coronel,F,Guaraní,65,4.9,0,0,0,0,1,0,0,29,0,0,0,48,1,0,0,2,1,1,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Pedro Gonzalez,D,Guaraní,25,6.8,0,0,0,0,0,0,0,10,0,0,0,19,0,1,0,2,0,0,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Antonio Martinez,G,Guaraní,90,6.2,0,0,0,0,0,0,0,30,0,0,0,40,0,0,0,1,0,0,0,0,0,1
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Alan Ledesma,M,Rubio Ñu,45,6.4,0,0,0,0,1,0,0,7,2,0,0,14,0,1,0,1,1,0,1,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Mateo Gimenez,D,Guaraní,65,6.1,0,0,0,0,0,0,0,20,0,0,0,41,0,1,1,2,0,1,0,0,0,0
Primera División,2026,Guaraní vs Rubio Ñu,15/08/2026,Nelson Romero,F,Guaraní,45,6.6,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,1,0,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Iván Torres,M,Sportivo San Lorenzo,45,6.7,0,0,0,0,1,0,0,20,1,1,0,37,1,1,0,3,0,1,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Juan Iturbe,F,Cerro Porteño,45,7.6,1,0,0,0,2,1,0,8,0,0,0,19,0,0,1,1,1,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Teodoro Paredes,D,Sportivo San Lorenzo,1,,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,1,0,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Ángel Benítez,M,Sportivo San Lorenzo,89,6.7,0,0,0,0,0,0,0,35,0,0,0,50,0,4,1,7,2,2,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Jonatan Torres,F,Cerro Porteño,90,6.4,0,0,0,0,2,1,0,14,3,0,1,27,1,0,0,2,1,0,0,0,3,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Gustavo Velázquez,D,Cerro Porteño,90,7.2,0,0,0,0,0,0,0,72,0,0,0,80,0,0,1,1,0,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Guillermo Benitez,D,Cerro Porteño,90,7.5,0,1,0,0,2,0,0,29,2,1,0,61,0,3,0,7,3,2,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Lucas Merolla,D,Cerro Porteño,63,7.5,0,0,0,0,0,0,0,68,0,0,0,77,0,3,1,5,0,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Bruno Piñatares,M,Sportivo San Lorenzo,45,6.8,0,0,0,0,0,0,0,24,0,0,0,31,0,4,1,4,0,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Iván Ramírez,D,Cerro Porteño,90,6.9,0,0,0,0,0,0,0,48,1,0,0,76,2,0,1,4,2,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Mateo Klimowicz,M,Cerro Porteño,45,7.3,0,0,0,0,1,0,0,16,0,0,0,25,1,1,0,5,0,3,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Agustín Almendra,M,Cerro Porteño,45,6.5,0,0,0,0,0,0,0,24,0,0,0,31,1,0,2,2,0,1,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Derlis Rodríguez,M,Cerro Porteño,45,6.4,0,0,0,0,1,1,0,9,0,0,0,20,0,1,1,1,1,0,0,0,1,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Álex Álvarez,F,Sportivo San Lorenzo,75,5.2,0,0,0,0,3,0,0,17,0,0,1,28,0,0,0,2,4,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Ignacio Aliseda,M,Cerro Porteño,45,7.5,0,0,0,0,3,1,0,11,0,0,1,25,1,1,1,3,0,1,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Alexis Doldán,D,Sportivo San Lorenzo,90,6.3,0,0,0,0,1,0,0,31,1,0,0,44,1,1,1,2,1,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Luis Cáceres,D,Sportivo San Lorenzo,85,7.1,0,0,0,0,1,0,0,40,0,0,0,50,0,1,0,4,3,1,0,1,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Luis Franco,G,Sportivo San Lorenzo,90,8.2,0,0,0,0,0,0,0,24,0,0,0,34,0,0,0,0,0,0,0,0,0,4
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Jorge Morel,M,Cerro Porteño,34,6.4,0,0,0,0,0,0,0,16,0,0,0,22,0,0,0,0,1,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Rodrigo Amarilla,M,Sportivo San Lorenzo,45,6.3,0,0,0,0,1,0,0,5,1,0,0,13,0,0,1,1,0,1,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Ariel Gamarra,M,Cerro Porteño,56,7.2,0,0,0,0,0,0,0,35,0,0,0,49,1,3,1,6,2,1,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Marcelo Ferreira,F,Sportivo San Lorenzo,45,6.5,0,0,0,0,3,1,0,9,1,0,1,17,0,1,1,1,0,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Emilio Acosta,D,Cerro Porteño,27,6.6,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Primera División,2026,Cerro Porteño vs Sportivo San Lorenzo,16/08/2026,Hugo González,M,Sportivo San Lorenzo,90,6.3,0,0,0,0,0,0,0,24,0,0,0,39,1,2,0,5,0,1,0,0,0,0
