Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Martín Barragán,F,Club Atletico La Paz,90,6.7,0,0,0,0,1,0,1,21,1,0,0,36,1,0,0,4,2,1,0,0,1,0
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Gil Alcalá,G,Club Atletico La Paz,90,7.8,0,0,0,0,0,0,0,30,0,0,0,50,1,0,0,1,0,0,0,0,0,6
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Edgar Alaffita,M,Club Atletico La Paz,90,6.8,0,0,0,0,0,0,0,42,1,1,0,46,0,0,1,0,1,0,0,0,0,0
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Horacio Torres,D,Club Atletico La Paz,66,7.3,0,0,0,0,0,0,0,32,0,0,0,43,0,2,0,5,1,1,0,0,0,0
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Daniel Hernandez,M,Club Atletico La Paz,30,6.5,0,0,0,0,1,0,0,10,2,0,0,22,0,2,1,2,1,0,0,0,0,0
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Ulises Zurita,D,Club Atletico La Paz,90,6.6,0,0,0,0,2,0,0,28,1,0,0,63,0,4,1,6,2,1,1,0,0,0
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Sergio Vázquez,D,Club Atletico La Paz,45,6.3,0,0,0,0,0,0,0,14,0,0,0,22,0,0,0,1,1,1,0,0,0,0
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Fernando Illescas,M,Club Atletico La Paz,45,6.8,0,0,0,0,0,0,0,17,0,0,0,23,2,0,0,2,0,0,0,0,1,0
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Johan Alonzo,M,Club Atletico La Paz,76,7.4,0,0,0,0,2,0,0,37,1,0,0,53,1,0,0,8,0,6,0,0,0,0
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Alan Torres,M,Club Atletico La Paz,90,7.2,1,0,0,0,1,1,0,52,0,0,0,65,0,2,1,2,2,0,0,0,0,0
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Oscar Millán,M,Club Atletico La Paz,60,6.9,0,0,0,0,0,0,0,23,0,0,0,36,0,2,0,4,0,2,0,0,0,0
"Liga de Expansión MX, Apertura",Liga_de_Expansion_MX_26_27,Club Atletico La Paz vs Cruz Azul Hidalgo,21/08/2026,Leonardo Sámano,M,Cruz Azul Hidalgo,63,6.8,0,0,0,0,1,0,0,13,3,1,0,28,0,0,0,4,1,3,0,0,0,0
