Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Michal Frydrych,D,Baník Ostrava,44,7.7,0,0,0,0.0184462,0,0,0,18,0,0,0,36,0,2,0,7,2,2,1,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Martin Pospisil,M,SK Artis Brno,45,7,0,0,0.0152,0.00867891,1,0,0,22,1,0,0,30,0,2,0,4,0,2,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Daniel Holzer,M,Baník Ostrava,10,6.7,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,1,1,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Václav Jurečka,F,Baník Ostrava,28,5.9,0,0,0.9143,0.00824967,1,0,0,4,0,0,1,12,0,0,0,1,0,1,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Vlasiy Sinyavskiy,D,Baník Ostrava,74,6,0,0,0.0596,0.0223893,1,0,0,19,1,0,0,34,1,0,1,2,2,0,0,1,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Dominik Preisler,D,SK Artis Brno,90,6.9,0,0,0,0.0618283,0,0,0,37,2,0,0,63,1,3,1,4,1,0,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Martin Jedlička,G,Baník Ostrava,90,7.7,0,0,0,0.00552181,0,0,0,33,0,0,0,40,0,0,0,0,0,0,0,0,0,3
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Alexis Alegue,F,SK Artis Brno,90,6.9,0,0,0.085,0.378475,3,1,0,15,3,1,0,37,1,1,0,4,1,2,1,0,1,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Matěj Chaluš,D,Baník Ostrava,14,6.9,0,0,0,0.00001975,0,0,0,2,0,0,0,5,0,0,0,1,0,1,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,David Šimek,D,SK Artis Brno,90,6.4,0,0,0.1631,0.1105,3,1,0,27,1,1,1,40,0,0,2,6,1,1,0,0,1,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Michal Kohút,M,Baník Ostrava,62,7.2,1,0,1.0389,0.00498668,2,1,0,14,0,0,0,31,1,2,0,4,1,1,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Dominik Plechatý,D,SK Artis Brno,90,6.8,0,0,0,0.00174136,0,0,0,34,0,0,0,46,1,4,1,7,1,0,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Jiří Boula,M,Baník Ostrava,76,6.8,0,0,0,0.0178175,0,0,0,20,0,0,0,27,0,2,0,4,0,0,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Adam Petrák,M,SK Artis Brno,59,6.4,0,0,0.0853,0.0297583,2,1,0,14,1,1,0,24,0,3,0,6,1,1,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Papalélé,M,SK Artis Brno,90,6.3,0,0,0.1726,0.0279684,2,0,0,12,2,0,1,40,0,2,2,6,1,3,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Adam Carlén,M,SK Artis Brno,45,6.2,0,0,0.043,0.00431832,1,0,0,8,0,0,0,16,0,2,1,2,1,0,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Maksym Diachuk,D,Baník Ostrava,90,7.2,0,0,0,0.0196839,0,0,0,29,0,0,0,45,2,0,1,4,2,0,1,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Issa Fomba,M,SK Artis Brno,52,6.8,0,0,0,0.196169,0,0,0,5,1,0,0,23,0,1,0,1,1,0,1,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Tadeas Stoppen,G,SK Artis Brno,90,7,0,0,0,0.00142579,0,0,0,32,0,0,0,39,0,0,0,0,0,0,0,0,0,3
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Sacha Komljenovic,M,SK Artis Brno,90,6.6,0,0,0.2068,0.206538,1,0,0,32,0,0,1,53,0,0,1,5,2,4,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Abdallah Gning,F,Baník Ostrava,62,6.6,0,0,0.1195,0.0387206,2,1,0,10,2,0,0,25,1,0,2,4,3,1,0,0,1,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Roan Nogha,M,Baník Ostrava,90,6.6,0,0,0,0.0109332,0,0,0,33,0,0,0,36,0,0,1,0,1,0,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,El Hadji Latyr Ndiaye,F,SK Artis Brno,90,6.1,0,0,0.1714,0.00269717,2,0,0,10,1,0,0,20,1,0,0,4,3,0,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Aboubacar Traore,D,Baník Ostrava,90,6.8,0,0,0,0.0153196,0,0,0,34,0,0,0,45,1,0,0,4,1,2,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Dantaye Gilbert,M,Baník Ostrava,84,6.7,0,0,0.1589,0.0256252,4,2,0,19,1,0,1,40,1,1,1,4,1,1,0,0,1,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Jiri Micek,D,Baník Ostrava,46,7,0,0,0,0.0026364,0,0,0,11,0,0,0,17,0,1,0,2,0,1,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Vit Skrkon,F,Baník Ostrava,28,7.2,0,0,0,0.612256,0,0,0,5,1,1,0,14,1,1,0,3,0,1,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Abdullahi Bewene,M,Baník Ostrava,90,7.2,0,0,0.0145,0.0642794,1,0,0,22,2,0,0,48,1,5,0,9,1,3,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Daniel Samek,M,SK Artis Brno,31,7.1,0,0,0,0.00617531,0,0,0,17,0,0,0,22,1,2,0,5,1,1,0,0,0,0
Czech First League,1._Liga_26_27,Baník Ostrava vs SK Artis Brno,16/08/2026,Neil Glossoa,D,SK Artis Brno,38,6.1,0,0,0.0469,0.0224537,1,0,0,8,1,0,0,14,0,0,0,0,1,0,1,0,0,0
Czech First League,1._Liga_26_27,FC Slovan Liberec vs SK Slavia Praha,16/08/2026,Ivan Schranz,F,SK Slavia Praha,19,6.4,0,0,0,0.00186778,0,0,0,3,0,0,0,6,0,0,0,1,2,1,0,0,0,0
Czech First League,1._Liga_26_27,FC Slovan Liberec vs SK Slavia Praha,16/08/2026,Tomáš Koubek,G,FC Slovan Liberec,90,6.8,0,0,0,0.0110832,0,0,0,35,0,0,0,45,0,0,0,0,0,0,0,0,0,2
Czech First League,1._Liga_26_27,FC Slovan Liberec vs SK Slavia Praha,16/08/2026,Tomáš Holeš,D,SK Slavia Praha,90,8.1,1,0,0.3776,0.0156848,2,1,0,44,0,0,0,67,1,2,0,9,2,1,1,0,0,0
Czech First League,1._Liga_26_27,FC Slovan Liberec vs SK Slavia Praha,16/08/2026,Lukáš Hůlka,D,FC Slovan Liberec,90,6.6,0,0,0.0848,0.00714412,1,1,0,40,0,0,0,49,0,1,0,6,0,0,0,0,0,0
Czech First League,1._Liga_26_27,FC Slovan Liberec vs SK Slavia Praha,16/08/2026,Lukáš Masopust,M,FC Slovan Liberec,85,7.2,0,0,0,0.0730481,0,0,0,27,0,0,0,50,0,6,3,9,0,2,0,0,0,0
