Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Dale Gorman,M,Hednesford Town,90,6.2,0,0,0.07,0,2,0,0,27,1,0,0,37,0,0,0,3,2,1,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Michael Duckworth,D,Scarborough Athletic,4,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Niall Maher,D,Hednesford Town,21,6.3,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,2,1,0,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Liam Kinsella,M,Hednesford Town,90,7.4,0,0,0,0,0,0,0,21,0,0,0,36,0,0,7,12,0,3,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Omari Sterling-James,M,Hednesford Town,86,7.7,2,0,1.53,0,3,2,0,20,0,0,0,31,3,0,0,7,1,3,1,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Dylan Mottley-Henry,F,Hednesford Town,68,6.4,0,0,0,0,0,0,0,7,0,0,0,13,0,0,1,4,0,0,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Sam Hornby,G,Hednesford Town,90,6.8,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,2
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Aaron Hayden,D,Hednesford Town,90,6.4,0,0,0.02,0,1,0,0,21,0,0,0,30,0,0,3,9,0,0,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Lewis Maloney,M,Scarborough Athletic,68,6.1,0,0,0.07,0.06,1,0,0,38,1,0,0,41,0,0,1,3,3,0,1,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Alex Purver,M,Scarborough Athletic,90,7.5,0,1,0.06,0.76,1,0,0,41,1,1,0,46,0,0,1,4,0,0,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Aaron Jarvis,F,Hednesford Town,86,7.4,0,2,0.59,0.17,2,0,0,24,1,0,1,40,0,0,1,10,2,4,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Alex Wiles,M,Scarborough Athletic,87,5.8,0,0,0,0,0,0,0,27,0,0,0,41,1,0,1,2,0,0,0,0,2,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Luca Colville,M,Scarborough Athletic,90,7.6,0,1,0.02,0.3,1,0,0,29,1,0,0,46,0,0,1,6,1,2,0,0,1,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Ryan Whitley,G,Scarborough Athletic,90,6,0,0,0,0,0,0,0,35,0,0,0,39,0,0,0,0,0,0,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Jay Fitzmartin,F,Hednesford Town,36,7.3,0,0,0,0.44,0,0,0,3,2,1,0,11,1,0,0,4,0,1,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Dom Tear,M,Scarborough Athletic,18,6.6,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,2,0,1,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Jake Hull,D,Scarborough Athletic,33,5.7,1,0,0.3,0,1,1,0,15,0,0,0,17,0,0,1,5,3,0,2,1,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Alex Brown,D,Scarborough Athletic,90,6.6,0,1,0,0.23,0,0,0,54,2,0,0,74,0,0,1,7,1,3,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,George Langston,D,Hednesford Town,90,6.2,0,0,0,0,0,0,0,17,0,0,0,26,0,0,2,10,1,0,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Lenni Cirino,M,Hednesford Town,90,7.1,0,0,0,0,0,0,0,19,0,0,0,38,2,0,3,9,2,4,1,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Jamie Cooke,M,Hednesford Town,84,7.4,1,0,0.17,0.16,1,1,0,17,1,0,0,25,0,0,1,3,1,0,0,0,1,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Will Merry,F,Hednesford Town,21,6.6,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,2,0,0,0,0,0,0
National League North,National_League_North_26_27,Hednesford Town vs Scarborough Athletic,15/08/2026,Aaron Harper-Bailey,D,Hednesford Town,85,6,0,0,0,0,0,0,0,15,0,0,0,20,0,0,1,4,1,0,0,0,0,0
