Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Yannick Carrasco,M,Al-Shabab,120,7.8,1,0,0,0,3,2,2,35,6,1,0,67,2,0,1,5,0,3,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Tin Jedvaj,D,Al-Shabab,120,7.2,0,0,0,0,1,0,0,84,1,0,0,96,0,1,3,2,1,0,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Muralha,M,Al Wehda,120,7.5,0,0,0,0,3,2,0,61,5,0,0,72,0,2,1,3,1,1,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Roger Martínez,F,Al-Shabab,21,6.5,0,0,0,0,1,0,0,6,2,0,0,11,0,0,0,0,1,0,1,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Josh Brownhill,M,Al-Shabab,120,7.9,1,0,0,0,5,2,0,63,0,0,0,82,0,2,1,5,1,1,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Carlos Junior,F,Al-Shabab,33,4.1,0,0,0,0,3,0,0,11,0,0,1,16,1,0,0,1,2,0,2,1,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Dino Halilović,M,Al Wehda,120,7.4,0,0,0,0,3,0,0,40,0,0,1,58,0,3,3,7,3,1,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Darwin González,M,Al Wehda,120,7.6,1,0,0,0,5,4,0,55,4,0,0,86,2,1,0,7,2,2,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Yacine Adli,M,Al-Shabab,120,7.2,0,0,0,0,1,0,0,93,2,0,0,115,2,3,2,8,1,3,1,0,1,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Morato,M,Al Wehda,120,8.8,1,0,0,0,7,3,0,53,4,2,0,86,3,0,1,5,3,2,1,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Abdulaziz Majrashi,M,Al Wehda,16,6.4,0,0,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Mohammed Al-Thani,D,Al-Shabab,1,,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Abdulrahman Al-Shammari,G,Al Wehda,120,8.3,0,0,0,0,0,0,0,37,0,0,0,55,0,0,0,1,0,0,0,0,0,5
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Ali Al-Salem,D,Al Wehda,120,6.6,0,0,0,0,3,1,0,48,0,0,2,63,0,3,2,3,0,0,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Mohammed Al-Mahasneh,G,Al-Shabab,120,9.2,0,0,0,0,0,0,0,31,0,0,0,48,0,0,0,2,0,0,0,0,0,10
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Awad Al-Nashri,M,Al-Shabab,45,6.7,0,0,0,0,0,0,0,18,1,0,0,25,0,2,0,3,1,1,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Salem Almaqadi,M,Al Wehda,104,7.3,0,0,0,0,1,0,0,40,4,0,0,52,0,4,2,5,1,0,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Hussain Al-Sebyani,D,Al-Shabab,50,6.2,0,0,0,0,0,0,0,14,0,0,0,29,0,0,2,1,0,1,0,0,1,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Dhari Al-Enezi,D,Al-Shabab,70,6.6,0,0,0,0,0,0,0,26,0,0,0,49,1,1,0,5,1,3,0,0,0,0
King's Cup,Kings_Cup_26_27,Al Wehda vs Al-Shabab,16/08/2026,Ali Makki,D,Al-Shabab,99,7.1,0,0,0,0,2,1,0,56,0,0,0,69,0,3,3,5,0,0,0,0,0,0
