Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Jakub Paur,F,AS Trenčín,90,6.3,0,0,0,0,2,0,0,18,1,0,0,28,0,0,0,2,3,1,0,0,1,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Pablo Gonzalez,M,AS Trenčín,87,7.9,1,0,0,0,5,4,0,18,2,0,2,45,0,2,0,7,3,4,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Martin Chrien,F,FK Železiarne Podbrezová,59,8.3,1,0,0,0,2,2,0,21,2,0,0,32,0,0,1,5,0,0,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Lukáš Skovajsa,D,AS Trenčín,90,6,0,0,0,0,0,0,0,45,0,0,0,65,0,1,2,3,1,0,1,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Ján Krivák,D,FK Železiarne Podbrezová,90,6.6,0,0,0,0,0,0,0,29,0,0,0,40,0,0,0,2,3,1,1,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Markus Poom,M,AS Trenčín,90,7,0,0,0,0,0,0,0,58,5,0,0,79,0,2,1,4,0,1,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Richard Križan,D,AS Trenčín,90,6.8,0,0,0,0,1,1,0,60,0,0,0,70,0,3,0,6,2,0,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Luka Silagadze,M,FK Železiarne Podbrezová,31,6.8,0,0,0,0,1,0,0,8,3,0,0,13,1,0,0,2,0,1,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,René Paraj,M,FK Železiarne Podbrezová,90,7.2,0,0,0,0,1,0,0,28,3,1,0,44,0,5,0,9,8,1,0,0,1,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Karlo Miljanić,F,FK Železiarne Podbrezová,59,6.9,0,1,0,0,4,0,0,9,2,1,1,24,2,1,0,3,1,0,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Peter Kováčik,M,FK Železiarne Podbrezová,88,8.3,0,1,0,0,2,0,1,34,4,1,0,57,0,1,1,4,1,1,1,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Matúš Sláviček,G,AS Trenčín,90,6.5,0,0,0,0,0,0,0,45,0,0,0,53,1,0,0,1,0,0,0,0,0,2
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Jakub Luka,D,FK Železiarne Podbrezová,90,6.9,0,0,0,0,1,0,0,53,1,0,0,79,0,0,0,4,2,1,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Rene Rantuša Lampreht,D,FK Železiarne Podbrezová,90,6.9,0,0,0,0,0,0,0,32,2,0,0,50,0,2,1,3,1,1,1,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Vincent Chyla,M,FK Železiarne Podbrezová,67,6.7,0,0,0,0,1,1,0,17,0,0,0,27,0,0,0,3,1,2,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Balsa Mrvaljevic,M,FK Železiarne Podbrezová,23,6.6,0,0,0,0,0,0,0,8,0,0,0,13,0,2,0,2,1,0,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Hugo Pavek,D,AS Trenčín,90,7.5,0,0,0,0,0,0,0,64,0,0,0,85,1,2,3,9,0,3,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Tadeáš Hájovský,M,AS Trenčín,89,7,0,0,0,0,3,1,0,32,2,1,0,50,1,0,1,7,1,6,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Davit Hakobyan,F,FK Železiarne Podbrezová,9,6.4,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,2,0,1,0,1,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Nikola Jovanović,D,AS Trenčín,75,6.7,0,0,0,0,1,0,0,36,0,0,0,57,0,2,2,6,0,3,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Eynel Soares,M,AS Trenčín,90,6.6,0,0,0,0,3,0,0,9,2,1,0,39,3,0,0,7,0,3,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Ondrej Deml,M,FK Železiarne Podbrezová,90,6.3,0,0,0,0,1,0,0,22,1,0,0,32,1,1,0,3,1,0,0,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Lukas Mikulaj,M,AS Trenčín,90,6.1,0,0,0,0,2,0,0,19,1,0,0,28,0,0,0,5,3,2,1,0,0,0
Niké Liga,Superliga_26_27,FK Železiarne Podbrezová vs AS Trenčín,15/08/2026,Radek Siler,F,FK Železiarne Podbrezová,88,7.3,1,0,0,0,4,1,0,17,0,0,0,31,1,0,0,3,0,1,0,0,0,0
