Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Ažbe Jug,G,NK Maribor,90,6.8,0,0,0,0,0,0,0,20,0,0,0,23,0,0,0,0,0,0,0,0,0,3
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Miha Blažič,D,NK Maribor,90,7.1,0,0,0.19,0,2,0,0,81,0,0,0,107,0,0,5,9,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Luka Zahović,F,NK Maribor,24,7.6,1,0,0.32,0,1,1,0,8,0,0,0,12,0,0,0,2,0,1,1,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Claude Gonçalves,M,NK Maribor,82,6.5,0,0,0.03,0,1,0,0,36,0,0,0,48,0,1,0,1,1,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Agustín Doffo,M,NK Olimpija Ljubljana,90,6.2,0,0,0.01,0,1,0,0,31,1,0,0,47,0,0,2,6,4,2,1,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Dario Vizinger,F,NK Maribor,12,6.6,0,0,0.19,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Jan Mlakar,F,NK Maribor,90,6.1,0,0,0.07,0,1,1,0,16,0,0,0,22,0,0,1,1,2,0,0,0,1,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Diga,D,NK Olimpija Ljubljana,86,6.9,0,0,0,0.01,0,0,0,15,2,0,0,27,0,0,2,1,1,1,1,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Jan Gorenc,D,NK Olimpija Ljubljana,90,6.5,0,0,0,0,0,0,0,32,0,0,0,42,0,0,3,3,1,0,1,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Luis Perea,M,NK Olimpija Ljubljana,90,6.8,0,0,0,0,0,0,0,39,0,0,0,47,0,1,1,8,4,2,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Antonio Marin,F,NK Olimpija Ljubljana,20,6.4,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,1,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Daviti Kobouri,D,NK Olimpija Ljubljana,90,6.7,0,0,0,0,0,0,0,49,0,0,0,60,0,0,2,2,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Žan Karničnik,D,NK Maribor,90,6.7,0,0,0,0.05,1,0,0,68,1,0,0,83,0,0,2,5,1,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Čedomir Bumbić,D,NK Maribor,90,6.9,0,0,0,0.19,1,0,0,59,2,0,0,75,0,0,1,7,0,3,1,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Matevž Vidovšek,G,NK Olimpija Ljubljana,90,6.9,0,0,0,0,0,0,0,37,0,0,0,40,0,0,0,1,0,1,0,0,0,1
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Jošt Urbančič,D,NK Olimpija Ljubljana,90,7,1,0,0.34,0,2,1,0,25,0,0,0,36,1,0,1,3,2,0,1,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Marvin Çuni,F,NK Olimpija Ljubljana,90,6.2,0,0,0.04,0,2,2,0,16,0,0,0,29,1,0,1,6,1,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Dimitar Mitrovski,M,NK Olimpija Ljubljana,90,7.2,0,1,0,0.34,1,0,0,21,1,1,0,34,1,0,0,6,2,3,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Bruno Lourenço,M,NK Olimpija Ljubljana,8,6.5,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Žiga Repas,M,NK Maribor,82,6.4,0,0,0.05,0,2,0,0,31,0,0,0,48,0,0,0,7,3,5,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Žan Jevšenak,D,NK Maribor,24,6.7,0,0,0,0,0,0,0,14,0,0,0,16,0,0,0,1,1,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Tio Cipot,F,NK Maribor,90,6.4,0,0,0.11,0.05,1,0,0,21,1,0,0,29,0,0,0,2,1,2,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Bradley M'bondo,D,NK Maribor,90,7,0,0,0,0,0,0,0,75,0,0,0,90,0,0,0,5,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Isaac Tshipamba,M,NK Maribor,90,6.6,0,0,0.05,0.19,1,0,0,17,1,0,0,40,3,0,0,10,1,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Marko Brest,M,NK Olimpija Ljubljana,8,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Marko Ristić,D,NK Olimpija Ljubljana,8,6.8,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Kristjan Bendra,D,NK Olimpija Ljubljana,90,6,0,0,0,0,1,1,0,34,1,0,0,47,1,0,1,5,1,0,1,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Nejc Viher,M,NK Maribor,90,7.3,0,1,0,0.33,0,0,0,41,2,1,0,46,1,0,1,6,3,2,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Niko Osterc,M,NK Maribor,12,6.6,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Olimpija Ljubljana vs NK Maribor,15/08/2026,Dino Kojić,M,NK Olimpija Ljubljana,90,6.5,0,0,0.03,0,1,0,0,8,0,0,0,21,0,0,1,2,1,2,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Matjaž Rozman,G,NK Bravo,90,6.6,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,4
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Ažbe Jug,G,NK Maribor,90,7.5,0,0,0,0,0,0,0,27,1,0,0,31,0,0,0,0,0,0,0,0,0,5
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Miha Blažič,D,NK Maribor,90,6.4,0,0,0,0,0,0,0,82,0,0,0,107,0,0,2,0,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Luka Zahović,F,NK Maribor,79,6.4,0,0,0.15,0.01,2,1,0,22,1,0,0,28,1,0,0,2,0,0,0,0,1,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Claude Gonçalves,M,NK Maribor,49,6.7,0,0,0,0,0,0,0,20,0,0,0,25,0,0,0,1,2,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Dario Vizinger,F,NK Maribor,20,7.3,1,0,0.32,0,2,1,0,1,0,0,0,5,0,0,0,1,1,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Sandi Nuhanović,M,NK Bravo,84,7,0,1,0,0.06,0,0,0,26,1,0,0,33,1,0,0,3,1,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Žan Karničnik,D,NK Maribor,90,6.8,0,0,0,0.12,0,0,0,94,1,0,0,115,2,0,0,5,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Čedomir Bumbić,D,NK Maribor,90,6.2,0,0,0,0.08,0,0,0,63,1,0,0,77,1,0,2,3,1,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Lan Štravs,D,NK Bravo,90,5.6,0,0,0.26,0,1,1,0,29,0,0,0,45,0,0,5,4,0,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Gašper Jovan,D,NK Bravo,90,6.2,0,0,0,0,0,0,0,23,0,0,0,37,0,0,0,5,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Žiga Repas,M,NK Maribor,79,6.3,0,0,0,0,0,0,0,48,0,0,0,58,0,0,1,3,1,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Žan Jevšenak,D,NK Maribor,49,7.1,0,0,0.08,0,1,0,0,57,0,0,0,70,0,0,0,3,0,2,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Tio Cipot,F,NK Maribor,90,7.7,1,0,0.52,0,4,2,0,33,0,0,1,62,2,0,1,6,2,4,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Bradley M'bondo,D,NK Maribor,90,6.9,0,0,0,0,0,0,0,83,0,0,0,105,1,0,3,8,1,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Raúl Parra,D,NK Bravo,62,6.1,0,0,0,0,0,0,0,20,0,0,0,32,0,0,3,2,0,2,1,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Isaac Tshipamba,M,NK Maribor,90,7,0,0,0.39,0.17,2,1,0,29,1,1,0,46,4,0,1,6,1,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Okpo Mazie,M,NK Bravo,78,7.1,0,0,0.05,0.21,2,1,0,28,1,0,0,52,4,0,1,9,0,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Jakob Brunnhofer,D,NK Bravo,90,6.6,0,0,0,0,0,0,0,28,0,0,0,36,0,1,0,7,1,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Aldin Jakupovic,F,NK Bravo,84,6.3,0,0,0.27,0,2,2,0,11,1,0,0,24,0,0,1,4,1,1,0,0,1,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Marko Simonic,M,NK Bravo,90,6.5,0,0,0,0,0,0,0,26,0,0,0,35,0,0,3,6,2,1,1,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Nejc Viher,M,NK Maribor,90,7.2,0,1,0.09,0,1,1,0,52,0,0,0,67,0,0,0,6,2,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Niko Osterc,M,NK Maribor,20,6.7,0,0,0,0.09,0,0,0,10,1,0,0,10,0,0,0,1,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Andrej Pecar,F,NK Bravo,14,6.5,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Divine Omoregie,M,NK Bravo,90,7.5,1,0,0.1,0.07,1,1,0,13,1,0,0,23,2,0,1,8,3,2,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Ibrahim Halilou,D,NK Bravo,36,6.9,0,0,0,0.26,0,0,0,11,1,0,0,17,0,0,1,1,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Rok Kopatin,F,NK Bravo,14,6.6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,James Inyere Arinze,M,NK Bravo,68,5.6,0,0,0.27,0,2,1,0,14,0,0,0,26,1,0,1,5,3,1,2,1,0,0
PrvaLiga,PrvaLiga_26_27,NK Maribor vs NK Bravo,23/08/2026,Nadon Kouassi,M,NK Bravo,20,6.1,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,1,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Ažbe Jug,G,NK Maribor,90,6.1,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,1
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Miha Blažič,D,NK Maribor,90,6.1,0,0,0,0,0,0,0,70,0,0,0,84,0,0,2,0,2,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Aleks Pihler,M,NK Nafta Lendava 1903,80,6.8,0,0,0,0,0,0,0,37,0,0,0,47,0,0,1,3,0,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Luka Zahović,F,NK Maribor,73,6.1,0,0,0,0.53,0,0,0,31,3,0,0,40,0,0,1,0,1,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Claude Gonçalves,M,NK Maribor,15,6.6,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,1,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Rok Pirtovšek,D,NK Nafta Lendava 1903,90,6.2,0,0,0,0,0,0,0,50,0,0,0,62,0,0,2,3,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Dario Vizinger,F,NK Maribor,21,6.7,0,0,0.3,0,1,0,0,4,0,0,0,7,0,0,0,3,0,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Jan Mlakar,F,NK Maribor,21,6.4,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Luka Kambič,D,NK Nafta Lendava 1903,80,5.6,0,0,0,0,0,0,0,10,1,0,0,22,0,0,2,3,0,1,0,0,1,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Žan Karničnik,D,NK Maribor,90,7.2,1,0,0.12,0.3,5,1,0,75,1,0,0,103,1,0,3,5,3,1,1,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Čedomir Bumbić,D,NK Maribor,43,7,0,0,0.2,0.01,1,1,0,44,1,0,0,53,2,0,1,3,0,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Luka Pihler,M,NK Nafta Lendava 1903,19,6.4,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Anis Jašaragić,M,NK Nafta Lendava 1903,90,6.9,0,0,0,0.16,1,0,0,10,1,0,0,19,1,0,1,7,2,3,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Omar Rekik,D,NK Maribor,52,6.5,0,0,0,0,0,0,0,38,0,0,0,42,0,0,2,3,1,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Žiga Repas,M,NK Maribor,73,6.1,0,0,0.09,0.01,2,0,0,57,1,0,0,71,0,0,1,3,1,0,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Žan Jevšenak,D,NK Maribor,80,7.2,0,0,0,0,0,0,0,64,0,0,0,78,0,0,4,6,3,0,1,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,André Ferreira,D,NK Nafta Lendava 1903,14,6.6,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,1,1,1,0,0,0,0
PrvaLiga,PrvaLiga_26_27,NK Nafta Lendava 1903 vs NK Maribor,30/08/2026,Tio Cipot,F,NK Maribor,90,8.9,2,0,0.52,0.22,2,2,0,53,2,0,0,79,2,0,0,6,0,0,0,0,1,0
