Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Olivier Custodio,M,FC Lausanne-Sport,69,7.2,0,0,0.0619,0.0263167,1,0,0,43,1,0,0,53,0,2,0,4,1,1,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Florent Mollet,M,FC Lausanne-Sport,21,6.4,0,0,0,0.0812081,0,0,0,12,1,0,0,20,0,1,0,1,1,0,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Morgan Poaty,D,FC Lausanne-Sport,90,7,0,0,0,0.0162062,0,0,0,38,0,0,0,64,1,5,0,8,0,1,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Konrad de la Fuente,F,FC Lausanne-Sport,31,6.2,0,0,0,0.00673091,0,0,0,11,0,0,0,24,0,2,0,3,1,0,1,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Kevin Mouanga,D,FC Lausanne-Sport,90,7.1,0,0,0.0723,0.00411562,1,0,0,55,0,0,0,66,0,4,1,7,1,1,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Brandon Soppy,D,FC Lausanne-Sport,90,7.5,0,0,0,0.034332,0,0,0,39,0,0,0,77,1,9,3,14,0,3,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Nathan Butler-Oyedeji,F,FC Lausanne-Sport,69,6.9,0,0,0,0.0762599,0,0,0,11,1,1,0,26,0,0,3,4,0,4,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Jamie Roche,M,FC Lausanne-Sport,90,7.3,0,0,0,0.0151847,0,0,0,53,0,0,0,71,1,5,2,10,2,4,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Alban Ajdini,F,FC Lausanne-Sport,10,6.4,0,0,0,0.00175322,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Melvin Mastil,G,FC Lausanne-Sport,90,6.1,0,0,0,0.00124948,0,0,0,35,0,0,0,46,0,0,0,1,0,0,0,0,0,2
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Abdou Karim Sow,D,FC Lausanne-Sport,90,7.2,0,0,0,0.0236131,0,0,0,56,0,0,0,74,1,3,1,11,2,3,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Beyatt Lekoueiry,M,FC Lausanne-Sport,85,7.9,0,0,0,0.756179,0,0,0,32,4,0,0,57,3,3,1,11,1,1,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Seydou Traore,F,FC Lausanne-Sport,10,6.6,0,0,0,0.00127179,0,0,0,3,0,0,0,5,0,0,0,1,0,1,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Omar Janneh,F,FC Lausanne-Sport,85,6.7,0,1,0.4969,0.0113699,4,1,0,15,1,1,1,31,0,0,0,7,0,3,0,0,1,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Sekou Kone,M,FC Lausanne-Sport,21,6.5,0,0,0,0.00372547,0,0,0,9,0,0,0,15,0,1,2,1,1,0,1,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Ibrahim Bah Mendes,F,FC Lausanne-Sport,59,7.5,1,0,0.1798,0.00347085,2,1,0,10,0,0,0,30,3,3,0,6,3,0,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Amir Abrashi,M,Grasshopper Club Zürich,69,6.2,0,0,0.0687,0.00396524,1,1,0,31,0,0,0,38,0,1,1,5,4,2,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Abdoulaye Diaby,D,Grasshopper Club Zürich,45,7.2,0,0,0,0.00569776,0,0,0,19,1,0,0,33,0,1,1,2,1,1,0,0,0,0
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Justin Hammel,G,Grasshopper Club Zürich,90,6.3,0,0,0,0.00040375,0,0,0,20,0,0,0,23,0,0,0,0,0,0,0,0,0,1
Swiss Super League,26_27,FC Lausanne-Sport vs Grasshopper Club Zürich,25/07/2026,Óscar Clemente,F,Grasshopper Club Zürich,45,6.4,0,0,0.0291,0.0140781,1,0,0,21,1,0,0,29,0,0,2,1,0,1,0,0,0,0
