Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Zoran Kvržić,D,FK BSK Banja Luka,90,8.3,0,0,0,0.22,1,0,0,116,3,0,0,147,1,0,1,6,1,2,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Ante Hrkać,D,FK Velež Mostar,90,6.1,0,0,0,0,0,0,0,41,1,0,0,49,1,0,0,3,0,0,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Aleksandar Subić,D,FK BSK Banja Luka,31,6.7,0,0,0,0,0,0,0,18,0,0,0,21,0,0,1,0,0,0,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Anes Omerović,D,FK Velež Mostar,90,6.9,0,0,0,0,1,0,0,70,0,0,0,90,0,0,3,1,0,0,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Emil Velić,G,FK Velež Mostar,90,7.1,0,0,0,0,0,0,0,20,0,0,0,25,0,0,0,1,0,1,0,0,0,3
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Juraj Ljubić,M,FK BSK Banja Luka,1,,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Armin Imamović,D,FK Velež Mostar,16,6.9,0,0,0,0.14,0,0,0,10,1,0,0,11,1,0,0,2,1,0,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Srđan Modić,G,FK BSK Banja Luka,90,7.3,0,0,0,0,0,0,0,38,0,0,0,42,0,0,0,0,0,0,0,0,0,3
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Ajdin Nukić,D,FK Velež Mostar,74,6.1,0,0,0.14,0,1,0,0,30,0,0,0,43,1,0,0,4,1,0,1,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Abdallah Ali Mohamed,M,FK Velež Mostar,25,4.7,0,0,0,0,0,0,0,14,0,0,0,21,0,0,0,4,1,0,0,1,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Armin Bešagić,M,FK Velež Mostar,90,6.6,0,0,0,0,0,0,0,29,0,0,0,49,0,0,2,8,1,2,1,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Leonid Ignatov,F,FK Velež Mostar,29,6.7,0,0,0.11,0,3,1,0,10,0,0,0,14,0,0,0,1,0,0,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Nino Stojanović,F,FK Velež Mostar,44,6.6,0,0,0.02,0.01,1,0,0,15,1,0,0,20,0,0,0,2,0,1,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Domagoj Čulina,D,FK BSK Banja Luka,90,7.2,0,0,0.18,0.01,2,1,0,58,1,0,0,70,2,0,1,6,2,0,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Boro Erić,M,FK BSK Banja Luka,90,6.9,0,0,0.01,0,1,1,0,91,1,0,0,108,0,0,0,2,0,0,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,David Čavić,M,FK BSK Banja Luka,90,7.4,0,0,0.06,0.24,1,0,0,37,2,0,0,58,2,0,1,8,1,2,0,0,1,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Filip Račić,D,FK BSK Banja Luka,59,6.6,0,0,0,0,0,0,0,40,0,0,0,55,0,0,1,4,0,0,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Denis Dizdarevic,M,FK BSK Banja Luka,82,6.4,0,0,0,0.05,1,0,0,24,2,0,0,35,1,0,0,5,1,0,1,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Mahir Rahimic,F,FK Velež Mostar,44,6.4,0,0,0.14,0.02,1,0,0,10,1,0,0,22,0,0,0,5,1,2,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Ognjen Radošević,M,FK BSK Banja Luka,90,6.9,0,1,0.36,0.11,6,0,0,31,2,0,0,45,1,0,0,5,1,1,0,0,1,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Stefan Marčetić,F,FK BSK Banja Luka,82,6.7,1,0,0.99,0,3,2,0,10,0,0,1,24,1,0,1,3,2,0,0,1,1,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Dženan Puce,M,FK Velež Mostar,9,6.3,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Diouf Cherif Atab,D,FK BSK Banja Luka,90,8.4,0,0,0,0.01,0,0,0,129,1,0,0,161,0,0,0,7,1,0,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Said Duranović,D,FK Velež Mostar,90,6.5,0,0,0,0,0,0,0,25,0,0,0,40,0,0,2,8,0,2,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Mahir Bešić,F,FK Velež Mostar,46,6.7,0,0,0,0,0,0,0,10,0,0,0,15,0,0,1,7,0,2,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Nedim Keranovic,M,FK BSK Banja Luka,90,9.1,1,1,0.05,0.61,1,1,0,34,1,1,0,47,0,0,2,8,2,1,0,0,1,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,David Gavric,M,FK BSK Banja Luka,8,6.5,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,1,0,1,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Vedad Abidović,M,FK Velež Mostar,61,6,0,0,0.21,0,1,1,0,17,0,0,0,32,1,0,1,2,0,1,0,0,0,0
WWIN Liga BiH,Premijer_Liga_26_27,FK BSK Banja Luka vs FK Velež Mostar,16/08/2026,Armin Spahić,F,FK Velež Mostar,81,6,0,0,0.02,0.34,1,0,0,13,2,0,0,32,3,0,0,5,1,0,0,0,0,0
