Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Gustavo Dalessandro Xisto,D,Botafogo U17,90,6.7,0,0,0.1,0.02,1,1,0,29,1,0,0,50,1,0,1,12,1,3,0,0,0,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Paulo Cesar Aguiar da Silva,D,Flamengo U17,90,6.4,0,0,0,0,0,0,0,67,0,0,0,76,0,0,0,5,1,1,0,0,0,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Raimundo Ykaro Santos Silva,M,Flamengo U17,90,6.8,0,0,0,0,0,0,0,40,0,0,0,53,3,0,1,6,2,1,0,0,0,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Bernardo da Costa Nunes,D,Flamengo U17,82,6.4,0,0,0,0,0,0,0,25,0,0,0,37,2,0,0,4,0,0,0,0,0,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Bruno Emanoel da SIlva,G,Flamengo U17,90,7.1,0,0,0,0,0,0,0,22,0,0,0,25,0,0,1,1,0,0,0,0,0,4
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,João Vitor Andrade,M,Flamengo U17,90,7,0,1,0.33,0.02,5,2,0,27,1,0,0,55,4,1,0,9,1,2,0,0,0,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Luiz Guilherme da Silva,F,Flamengo U17,90,8.9,2,0,1.24,0,4,3,0,12,0,0,0,35,1,1,0,10,1,6,0,0,0,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Pedro Henrique Ferreira,M,Flamengo U17,32,6.2,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,2,1,0,0,0,0,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Isaac Silva,M,Flamengo U17,67,5.3,0,0,0,0,0,0,0,9,0,0,0,26,0,0,0,3,2,1,0,0,1,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Jordan Michael de Oliveira,M,Flamengo U17,90,7.1,0,0,0.19,0.23,1,1,0,22,4,0,0,44,1,0,2,13,3,2,0,0,0,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Luiz Alberto Moreira Ferreira,D,Botafogo U17,90,6.8,0,0,0.01,0.04,1,0,0,30,1,0,0,52,1,0,3,13,2,1,0,0,0,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Herick,D,Botafogo U17,89,7.1,0,0,0.04,0,2,0,0,44,0,0,0,57,0,2,3,10,2,0,0,0,0,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Pedro Lucas Sacramento Argollo,M,Botafogo U17,90,7.7,1,0,0.26,0.04,3,1,0,27,2,0,0,53,6,1,0,12,3,1,0,0,0,0
U17 Campeonato Brasileiro,2026,Botafogo U17 vs Flamengo U17,17/08/2026,Gustavo Santiago Souza,M,Botafogo U17,90,7.5,1,0,0.53,0.28,2,2,0,16,1,0,0,26,1,0,0,4,2,0,0,0,0,0
