Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Betclic 1. Liga,1._Liga_26_27,KS Lechia Gdańsk vs Pogoń Siedlce,21/08/2026,Damian Szuprytowski,M,Pogoń Siedlce,71,6.7,0,0,0,0.22,0,0,0,19,1,0,0,29,0,0,0,4,3,2,0,0,0,0
Betclic 1. Liga,1._Liga_26_27,KS Lechia Gdańsk vs Pogoń Siedlce,21/08/2026,Damian Jakubik,D,Pogoń Siedlce,19,7.2,0,0,0,0.01,1,1,0,9,1,0,0,13,0,0,0,3,1,1,0,0,0,0
Betclic 1. Liga,1._Liga_26_27,KS Lechia Gdańsk vs Pogoń Siedlce,21/08/2026,Cezary Demianiuk,M,Pogoń Siedlce,46,6.4,0,0,0,0,1,0,0,14,0,0,0,23,2,0,1,6,0,0,0,0,0,0
Betclic 1. Liga,1._Liga_26_27,KS Lechia Gdańsk vs Pogoń Siedlce,21/08/2026,Bartłomiej Poczobut,M,Pogoń Siedlce,90,6.9,0,0,0,0,0,0,0,29,0,0,0,49,0,2,1,9,1,3,0,0,0,0
Betclic 1. Liga,1._Liga_26_27,KS Lechia Gdańsk vs Pogoń Siedlce,21/08/2026,Przemysław Szur,D,Pogoń Siedlce,90,7,0,0,0,0,0,0,0,28,0,0,0,35,0,0,3,5,1,0,0,0,0,0
Betclic 1. Liga,1._Liga_26_27,KS Lechia Gdańsk vs Pogoń Siedlce,21/08/2026,Ernest Dzięcioł,M,Pogoń Siedlce,60,6.8,0,0,0,0.01,0,0,0,26,1,0,0,36,0,0,3,3,1,1,0,0,0,0
Betclic 1. Liga,1._Liga_26_27,KS Lechia Gdańsk vs Pogoń Siedlce,21/08/2026,Krystian Miś,D,Pogoń Siedlce,67,4.4,0,0,0,0,0,0,0,33,0,0,0,42,2,0,2,3,2,0,2,1,0,0
Betclic 1. Liga,1._Liga_26_27,KS Lechia Gdańsk vs Pogoń Siedlce,21/08/2026,Mateusz Marzec,M,Pogoń Siedlce,44,6.3,0,0,0.01,0,1,1,0,21,0,0,0,33,0,1,0,3,0,0,0,0,0,0
Betclic 1. Liga,1._Liga_26_27,KS Lechia Gdańsk vs Pogoń Siedlce,21/08/2026,Filip Kendzia,D,Pogoń Siedlce,90,6.4,0,0,0,0,0,0,0,40,0,0,0,48,0,0,3,2,0,0,0,0,0,0
Betclic 1. Liga,1._Liga_26_27,KS Lechia Gdańsk vs Pogoń Siedlce,21/08/2026,Danylo Beskorovainyi,D,KS Lechia Gdańsk,90,8.3,0,0,0,0,0,0,0,46,0,0,0,66,0,1,2,14,1,1,0,0,0,0
