Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Alexander Domínguez,G,LDU,90,7,0,0,0,0,0,0,0,26,0,0,0,37,0,0,0,0,0,0,1,0,0,4
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Deyverson,F,LDU,90,7.2,0,0,0,0,1,0,0,27,1,1,0,40,0,3,0,13,2,1,1,0,0,0
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Ayrton Preciado,M,Aucas,45,6.9,0,0,0,0,0,0,0,26,1,1,0,35,0,0,0,0,0,0,0,0,0,0
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Hamilton Piedra,G,Aucas,90,6.6,0,0,0,0,0,0,0,18,0,0,0,23,0,0,0,1,0,1,0,0,0,1
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Alexander Alvarado,M,LDU,82,7.1,0,0,0,0,0,0,0,24,0,0,0,41,1,3,0,6,0,2,0,0,0,0
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Brian Oyola,F,Aucas,45,7.6,0,0,0,0,2,2,0,23,6,0,0,43,1,0,0,4,0,3,1,0,0,0
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Fernando Cornejo,M,LDU,19,6.8,0,0,0,0,0,0,0,12,0,0,0,17,0,0,1,1,1,1,0,0,0,0
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Jesús Pretell,M,LDU,19,6.6,0,0,0,0,0,0,0,10,0,0,0,14,0,1,0,1,1,0,0,0,0,0
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Ivan Zambrano,M,LDU,90,6.8,0,0,0,0,0,0,0,12,0,0,0,34,0,2,0,3,0,1,0,0,0,0
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Rodney Redes,M,LDU,54,6.4,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,1,0,0,0,0,0
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Richard Mina,D,LDU,90,7,0,0,0,0,0,0,0,38,0,0,0,57,0,1,1,4,3,1,1,0,0,0
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Andres Mena,M,Aucas,82,6.6,0,0,0,0,1,0,0,53,1,0,0,70,0,0,1,2,0,2,0,0,0,0
LigaPro Serie A,2026,Aucas vs LDU,16/08/2026,Alexander Bolaños,F,Aucas,8,6.6,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,1,0,1,0,0,0,0
