Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
League One,26_27,Reading vs Luton Town,15/08/2026,Nahki Wells,F,Luton Town,70,6.6,0,1,0.2445,0.432733,2,0,0,19,2,1,0,30,0,0,0,0,1,0,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Jordan Clark,M,Luton Town,90,7.6,0,1,0.2189,0.201742,1,1,0,29,1,0,0,51,0,3,2,6,1,2,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Kal Naismith,D,Luton Town,90,6.7,0,0,0,0.00503419,0,0,0,50,1,0,0,81,1,10,0,13,0,1,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Jack Marriott,F,Reading,65,10,3,0,1.0143,0.247703,4,3,0,7,2,1,0,19,1,0,0,3,2,2,0,0,1,0
League One,26_27,Reading vs Luton Town,15/08/2026,Joel Pereira,G,Reading,90,6,0,0,0,0.0435271,0,0,0,27,0,0,0,40,0,0,0,2,0,1,0,0,0,1
League One,26_27,Reading vs Luton Town,15/08/2026,Kasey Palmer,M,Luton Town,81,7.4,2,0,0.5311,0.00996596,4,2,0,29,0,0,0,49,0,0,0,2,1,1,0,0,2,0
League One,26_27,Reading vs Luton Town,15/08/2026,Liam Walsh,M,Luton Town,90,7.1,0,0,0,0.0250025,0,0,0,57,0,0,0,69,1,3,0,5,1,1,1,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Paudie O’Connor,D,Reading,90,6.3,0,0,0.0172,0.00764303,1,0,0,39,0,0,0,52,0,2,0,8,3,1,1,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Hakeem Odofin,D,Luton Town,89,6.1,0,0,0,0.00439869,0,0,0,77,0,0,0,93,0,1,4,4,2,0,0,0,1,0
League One,26_27,Reading vs Luton Town,15/08/2026,Mads Andersen,D,Luton Town,11,6.6,0,0,0,0.00014666,0,0,0,3,0,0,0,7,0,0,0,1,0,0,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Jacob Brown,F,Reading,25,6.5,0,0,0.0297,0.00763892,1,0,0,5,0,0,0,9,0,0,0,2,0,0,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Andy Rinomhota,M,Reading,89,6.4,0,0,0.0479,0.00775861,1,0,0,28,0,0,0,39,1,0,1,4,3,2,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Lewis Wing,M,Reading,90,6.9,0,0,0.0782,0.109481,3,0,0,33,0,0,0,60,0,3,2,4,1,1,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Udoka Godwin-Malife,D,Reading,90,6.3,0,0,0,0.0426828,0,0,0,30,1,0,0,54,1,1,0,4,0,1,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,George Johnston,D,Luton Town,90,6.5,0,0,0,0.126217,0,0,0,80,1,0,0,97,0,0,2,3,0,0,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Randell Williams,M,Reading,25,6.4,0,0,0,0.0157142,0,0,0,5,1,0,0,13,0,0,1,1,1,1,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Liam Fraser,M,Reading,1,0,0,0,0.0649,0.00159731,1,0,0,3,0,0,0,5,0,0,0,1,0,0,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Josh Keeley,G,Luton Town,90,5.4,0,0,0,0.00013977,0,0,0,28,0,0,0,37,0,0,0,0,0,0,0,0,0,1
League One,26_27,Reading vs Luton Town,15/08/2026,Isaiah Jones,D,Luton Town,81,5.9,0,0,0,0.0261462,0,0,0,39,1,0,0,70,2,0,1,4,2,1,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Jeriel Dorsett,D,Reading,90,5.9,0,0,0,0.00653433,0,0,0,27,0,0,0,50,0,1,1,7,2,1,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Daniel Kyerewaa,M,Reading,79,6.5,0,0,0.2395,0.011136,2,2,0,13,0,0,1,24,0,1,1,4,0,1,0,0,1,0
League One,26_27,Reading vs Luton Town,15/08/2026,Harrison Ashby,D,Luton Town,9,6.7,0,0,0,0.0113548,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Charlie Savage,M,Reading,11,6.6,0,0,0,0.0135653,0,0,0,9,1,0,0,16,0,1,0,2,0,0,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Paddy Lane,F,Reading,11,6.5,0,0,0,0.002885,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Benn Ward,D,Reading,90,6,0,0,0.0154,0.00315147,1,0,0,47,1,0,0,65,0,1,2,6,0,0,0,0,0,0
League One,26_27,Reading vs Luton Town,15/08/2026,Emilio Lawrence,M,Luton Town,61,6.4,0,0,0,0.00812633,0,0,0,7,0,0,0,13,0,1,0,2,0,0,0,0,0,0
