Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Israeli Premier League,Premier_League_26_27,Maccabi Haifa vs Hapoel Ramat Gan Givataim,22/08/2026,Srđan Mijailović,M,Hapoel Ramat Gan Givataim,72,6.7,0,0,0,0,0,0,0,34,0,0,0,51,0,4,3,6,1,1,1,0,0,0
Israeli Premier League,Premier_League_26_27,Maccabi Haifa vs Hapoel Ramat Gan Givataim,22/08/2026,Kenny Saief,D,Maccabi Haifa,62,6.9,0,0,0,0,1,0,0,29,1,1,0,45,0,1,2,2,0,1,0,0,0,0
Israeli Premier League,Premier_League_26_27,Maccabi Haifa vs Hapoel Ramat Gan Givataim,22/08/2026,Dudi Twito,D,Hapoel Ramat Gan Givataim,90,6.2,0,0,0,0,0,0,0,32,1,0,0,46,0,1,0,2,1,1,1,0,0,0
Israeli Premier League,Premier_League_26_27,Maccabi Haifa vs Hapoel Ramat Gan Givataim,22/08/2026,Maxim Plakushchenko,M,Hapoel Ramat Gan Givataim,81,7.7,1,0,0,0,3,1,0,33,2,0,0,50,0,2,1,3,1,1,0,0,0,0
Israeli Premier League,Premier_League_26_27,Maccabi Haifa vs Hapoel Ramat Gan Givataim,22/08/2026,Andrija Novakovich,F,Maccabi Haifa,20,7,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,2,0,2,0,0,0,0
Israeli Premier League,Premier_League_26_27,Maccabi Haifa vs Hapoel Ramat Gan Givataim,22/08/2026,Kenji Gorré,M,Maccabi Haifa,70,6.3,0,0,0,0,2,1,0,25,1,0,0,48,4,0,0,4,1,0,0,0,0,0
Israeli Premier League,Premier_League_26_27,Maccabi Haifa vs Hapoel Ramat Gan Givataim,22/08/2026,Omri Glazer,G,Maccabi Haifa,90,6.5,0,0,0,0,0,0,0,33,0,0,0,41,1,0,0,1,0,0,0,0,0,0
Israeli Premier League,Premier_League_26_27,Maccabi Haifa vs Hapoel Ramat Gan Givataim,22/08/2026,Ali Mohamed,M,Maccabi Haifa,20,6.8,0,0,0,0,0,0,0,18,1,0,0,21,1,0,0,1,0,0,0,0,0,0
Israeli Premier League,Premier_League_26_27,Maccabi Haifa vs Hapoel Ramat Gan Givataim,22/08/2026,Marius Noubissi,F,Hapoel Ramat Gan Givataim,18,6.7,0,0,0,0,1,0,0,4,0,0,0,11,0,1,0,3,0,1,0,0,0,0
Israeli Premier League,Premier_League_26_27,Maccabi Haifa vs Hapoel Ramat Gan Givataim,22/08/2026,Jelle Bataille,D,Maccabi Haifa,45,6.8,0,0,0,0,1,0,1,23,1,0,1,36,1,1,1,3,3,0,1,0,0,0
Israeli Premier League,Premier_League_26_27,Maccabi Haifa vs Hapoel Ramat Gan Givataim,22/08/2026,Bruninho,M,Maccabi Haifa,90,9.1,2,0,0,0,6,2,1,34,1,0,1,55,2,1,0,6,1,2,0,0,1,0
