Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Eredivisie,26_27,SC Cambuur vs Excelsior,07/08/2026,Stijn van Gassel,G,Excelsior,90,7.8,0,0,0,0.0102183,0,0,0,61,0,0,0,64,0,0,0,0,0,0,0,0,0,1
Eredivisie,26_27,SC Cambuur vs Excelsior,07/08/2026,Simon Janssen,D,Excelsior,81,8.7,0,2,0.2154,0.550736,1,0,0,27,3,2,0,46,0,5,0,6,1,0,0,0,0,0
Eredivisie,26_27,SC Cambuur vs Excelsior,07/08/2026,Casper Widell,D,Excelsior,15,6.7,0,0,0,0.00101302,0,0,0,14,0,0,0,15,0,0,0,2,1,1,0,0,0,0
Eredivisie,26_27,SC Cambuur vs Excelsior,07/08/2026,Noah Naujoks,M,Excelsior,90,8.4,2,0,0.7607,0.118427,5,2,0,25,2,0,0,51,2,3,1,7,3,0,0,0,0,0
Eredivisie,26_27,SC Cambuur vs Excelsior,07/08/2026,Rick Meissen,D,Excelsior,90,7.1,0,0,0,0.0133175,0,0,0,60,0,0,0,68,0,1,0,1,0,0,0,0,0,0
Eredivisie,26_27,SC Cambuur vs Excelsior,07/08/2026,Lennard Hartjes,M,Excelsior,90,7.7,0,0,0.0221,0.166606,1,1,0,37,1,0,0,57,1,2,3,5,1,1,0,0,0,0
Eredivisie,26_27,SC Cambuur vs Excelsior,07/08/2026,Gyan de Regt,M,Excelsior,85,6.9,0,1,0.472,0.120676,3,2,1,17,1,1,2,33,0,1,0,2,1,0,0,0,0,0
Eredivisie,26_27,SC Cambuur vs Excelsior,07/08/2026,Daniel van Vianen,M,Excelsior,90,7,0,0,0.1629,0.0489794,2,0,0,29,1,0,0,45,1,2,1,6,0,1,0,0,0,0
Eredivisie,26_27,SC Cambuur vs Excelsior,07/08/2026,Nolan Martens,D,Excelsior,75,6.6,0,0,0.0295,0.00601099,1,0,0,36,0,0,0,52,1,1,2,2,0,0,0,0,0,0
Eredivisie,26_27,SC Cambuur vs Excelsior,07/08/2026,Nesto Groen,F,Excelsior,16,6.3,0,0,0,0.0166156,0,0,0,7,1,0,0,8,0,0,0,0,1,0,0,0,0,0
Eredivisie,26_27,SC Cambuur vs Excelsior,07/08/2026,Irakli Yegoian,M,Excelsior,75,8.8,1,1,0.2906,0.630089,1,1,0,30,4,2,0,52,1,3,2,4,2,0,0,0,0,0
