Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Fábio,G,Fluminense,90,8.2,0,0,0,0.00003665,0,0,0,19,0,0,0,24,0,0,0,0,0,0,0,0,0,2
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Thiago Silva,D,Fluminense,90,7.8,0,0,0.117,0.00484011,2,0,0,56,0,0,0,68,0,1,0,4,0,0,0,0,0,0
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Hulk,F,Fluminense,66,6.8,0,0,0.0268,0.0455972,1,1,0,14,2,0,0,34,0,3,0,6,2,3,1,0,1,0
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Ganso,M,Fluminense,66,6.7,0,0,0.0298,0.0135559,1,0,0,44,0,0,0,52,2,1,0,4,2,1,0,0,0,0
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Renê,D,Fluminense,90,7.2,0,0,0,0.00749583,0,0,0,54,0,0,0,70,1,1,0,4,0,2,0,0,0,0
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Luciano Acosta,M,Fluminense,24,6,0,0,0.0246,0.00594538,1,0,0,9,1,0,0,18,1,0,0,3,0,2,0,0,0,0
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Ezequiel Bonifacio,D,Independiente Rivadavia,87,6.4,0,0,0,0.147331,0,0,0,19,1,0,0,30,0,1,1,2,1,1,0,0,1,0
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Yeferson Soteldo,M,Fluminense,82,7.1,0,0,0,0.0375842,0,0,0,24,1,0,0,33,3,2,0,6,0,1,1,0,0,0
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Julián Millán,D,Fluminense,8,6.4,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Agustín Canobbio,M,Fluminense,57,5.8,0,0,0,0.0119628,0,0,0,10,0,0,0,27,1,1,0,4,2,2,2,1,0,0
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Iván Villalba,D,Independiente Rivadavia,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Maximiliano Salas,F,Independiente Rivadavia,90,7.6,0,0,0.048,0.201599,2,0,0,23,2,0,0,59,2,1,1,4,0,0,0,0,0,0
CONMEBOL Libertadores,2026,Independiente Rivadavia vs Fluminense,18/08/2026,Guga,D,Fluminense,90,7.7,0,0,0,0.0118949,0,0,0,49,0,0,0,85,0,3,1,9,0,4,0,0,0,0
