Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Nahir Besara,M,Hammarby IF,89,7.6,0,2,0,0,3,0,0,40,5,2,0,54,1,0,0,1,3,0,1,0,1,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Warner Hahn,G,Hammarby IF,90,7.6,0,0,0,0,0,0,0,37,0,0,0,49,0,0,0,0,0,0,0,0,0,7
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Oscar Johansson Schellhas,M,Hammarby IF,79,7,0,0,0,0,1,0,0,43,1,0,0,57,0,3,0,4,2,0,1,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Victor Eriksson,D,Hammarby IF,90,7.4,0,0,0,0,1,0,0,64,0,0,0,72,0,1,1,8,2,1,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Frederik Winther,D,Hammarby IF,90,7.1,0,0,0,0,0,0,0,55,2,1,0,81,2,2,0,7,3,1,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Victor Lind,M,Hammarby IF,66,6.9,0,0,0,0,1,1,0,23,0,0,0,36,1,1,2,4,2,2,0,0,2,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Paulos Abraham,F,Hammarby IF,89,9.9,3,0,0,0,6,4,0,23,1,0,1,49,6,0,0,10,2,4,0,0,1,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Ibrahima Fofana,D,Hammarby IF,90,7.1,0,0,0,0,0,0,0,69,0,0,0,79,0,1,0,3,1,0,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Montader Madjed,M,Hammarby IF,79,6.9,0,0,0,0,2,0,0,33,1,0,0,52,2,0,0,2,0,0,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Noah Persson,D,Hammarby IF,24,6.7,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,1,1,1,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Markus Karlsson,M,Hammarby IF,90,7.7,0,0,0,0,0,0,0,51,1,0,0,71,0,4,2,10,0,4,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Frank Junior Adjei,M,Hammarby IF,11,6.7,0,0,0,0,0,0,0,15,0,0,0,18,1,0,2,1,0,0,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Oscar Steinke Brånby,D,Hammarby IF,11,6.7,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0,1,0,0,1,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Moise Kaboré,F,Hammarby IF,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Hampus Skoglund,D,Hammarby IF,90,6.7,0,0,0,0,1,0,0,56,1,0,0,81,0,3,1,3,1,0,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Sourou Koné,M,Hammarby IF,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,1,0,0,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Tom Pettersson,D,Mjällby AIF,77,6.2,0,0,0,0,0,0,0,34,0,0,0,41,0,0,1,1,0,0,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Jesper Gustavsson,M,Mjällby AIF,90,6.5,0,0,0,0,0,0,0,46,0,0,0,59,0,4,1,6,2,1,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Timo Stavitski,M,Mjällby AIF,45,6.3,0,0,0,0,0,0,0,5,0,0,0,12,0,1,1,1,2,0,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Axel Norén,D,Mjällby AIF,90,6.3,0,0,0,0,1,0,0,67,1,0,0,80,0,1,2,5,3,0,1,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Tony Miettinen,D,Mjällby AIF,13,6.7,0,0,0,0,0,0,0,10,0,0,0,11,0,1,0,1,1,0,1,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Villiam Granath,M,Mjällby AIF,45,6.4,0,0,0,0,2,1,0,27,2,0,0,35,1,0,0,2,1,0,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Jacob Bergström,F,Mjällby AIF,79,6.6,0,0,0,0,1,1,0,22,0,0,0,34,2,0,0,8,0,2,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Áki Samuelsen,F,Mjällby AIF,45,6.7,0,0,0,0,0,0,0,27,3,0,0,39,0,0,0,4,1,4,1,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Viktor Gustafson,M,Mjällby AIF,71,6.2,0,0,0,0,0,0,0,29,0,0,0,40,2,2,0,6,5,2,1,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Robin Wallinder,G,Mjällby AIF,90,6.8,0,0,0,0,0,0,0,37,0,0,0,44,0,0,0,0,0,0,0,0,0,2
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Abdullah Iqbal,D,Mjällby AIF,90,6.6,0,0,0,0,0,0,0,50,0,0,0,71,2,2,1,6,1,2,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Ludwig Thorell,M,Mjällby AIF,45,6.4,0,0,0,0,0,0,0,14,1,0,0,25,0,1,1,2,0,1,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Elliot Stroud,M,Mjällby AIF,90,7.3,0,0,0,0,3,2,0,35,2,0,0,65,2,9,1,13,0,2,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Bork Bang-Kittilsen,F,Mjällby AIF,11,6.6,0,0,0,0,2,0,0,3,0,0,0,9,0,0,0,1,0,1,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Abdoulie Manneh,F,Mjällby AIF,90,6.5,0,0,0,0,5,3,0,37,1,0,0,60,2,1,0,5,0,2,0,0,0,0
Allsvenskan,2026,Hammarby IF vs Mjällby AIF,04/04/2026,Romeo Leandersson,M,Mjällby AIF,19,6.6,0,0,0,0,0,0,0,6,0,0,0,9,0,1,0,1,0,0,0,0,0,0
Allsvenskan,2026,Degerfors IF vs IK Sirius,04/04/2026,Oscar Krusnell,D,IK Sirius,90,6.6,0,0,0,0,0,0,0,61,2,0,0,93,2,2,1,5,2,1,0,0,0,0
Allsvenskan,2026,Degerfors IF vs IK Sirius,04/04/2026,Henrik Castegren,D,IK Sirius,90,7.5,0,0,0,0,0,0,0,63,0,0,0,81,0,3,1,5,1,0,0,0,0,0
Allsvenskan,2026,Degerfors IF vs IK Sirius,04/04/2026,Tobias Anker,D,IK Sirius,90,7.3,0,0,0,0,0,0,0,54,0,0,0,70,0,1,0,8,2,0,0,0,0,0
