Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Marius Gersbeck,G,Hertha BSC,90,7.2,0,0,0,0.00630684,0,0,0,45,0,0,0,58,0,0,0,0,0,0,0,0,0,3
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Paul Seguin,M,Hertha BSC,86,6.7,0,0,0,0.0416325,0,0,0,42,3,0,0,49,0,0,1,0,1,0,1,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Josip Brekalo,M,Hertha BSC,86,7,0,0,0.0624,0.0852504,2,0,0,21,0,0,0,48,1,2,0,7,3,3,1,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Niklas Kolbe,D,Hertha BSC,90,7.8,0,0,0,0.00630804,0,0,0,46,0,0,0,65,0,3,1,11,0,4,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Sebastian Grønning,F,Hertha BSC,63,8,1,0,0.4092,0.00886573,2,1,0,12,1,0,0,28,0,3,0,8,1,1,0,0,1,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Deyovaisio Zeefuik,D,Hertha BSC,90,7.1,0,0,0,0.0676719,0,0,0,25,2,0,0,47,0,2,2,7,3,3,1,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Jón Dagur Þórsteinsson,F,Hertha BSC,27,6.7,0,0,0,0.00000519,0,0,0,3,0,0,0,6,1,0,0,1,0,0,1,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Jan Luca Schuler,F,Hertha BSC,27,6.5,0,0,0,0.00516079,0,0,0,9,0,0,0,12,0,1,0,4,0,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Kevin Sessa,M,Hertha BSC,90,6.8,0,0,0.0458,0.00401896,2,0,0,21,2,0,0,33,1,0,1,1,0,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Márton Dárdai,D,Hertha BSC,4,0,0,0,0,0.00000218,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Marten Winkler,M,Hertha BSC,90,6.9,0,0,0.1236,0.0594625,2,0,0,16,1,0,0,36,2,2,4,6,2,1,0,0,1,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Linus Gechter,D,Hertha BSC,90,7.5,0,0,0.0213,0.00510345,1,1,0,51,0,0,0,73,0,3,3,5,2,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Oluwaseun Adewumi,F,Hertha BSC,4,0,0,0,0,0.00033709,0,0,0,3,0,0,0,5,0,0,1,0,0,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Julian Eitschberger,D,Hertha BSC,86,7.5,0,0,0,0.0212879,0,0,0,22,0,0,0,54,4,3,1,11,1,4,1,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Pascal Klemens,M,Hertha BSC,4,0,0,0,0,0.00006681,0,0,0,3,0,0,0,5,1,0,0,1,0,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Soufian Gouram,M,Hertha BSC,63,6.5,0,1,0.0781,0.0255132,2,0,0,19,1,1,0,35,0,0,0,2,0,1,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Karol Mets,D,VfL Bochum 1848,45,6.9,0,0,0,0.00380737,0,0,0,40,0,0,0,49,0,2,2,4,0,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Timo Horn,G,VfL Bochum 1848,90,6.8,0,0,0,0.00285709,0,0,0,48,0,0,0,53,0,0,0,1,0,1,0,0,0,1
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Gerrit Holtmann,M,VfL Bochum 1848,29,6.5,0,0,0.0972,0.0214366,2,0,0,14,1,0,0,22,1,0,0,1,1,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Maximilian Wittek,D,VfL Bochum 1848,90,6.7,0,0,0.0412,0.267061,1,1,0,35,3,1,0,72,0,2,0,4,1,2,1,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Philipp Hofmann,F,VfL Bochum 1848,90,6.5,0,0,0.2658,0.0045231,4,2,0,22,0,0,1,37,0,1,0,10,4,2,1,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Koji Miyoshi,M,VfL Bochum 1848,76,6.6,0,0,0,0.0798935,0,0,0,17,1,0,0,31,0,2,1,5,1,2,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Oliver Olsen,D,VfL Bochum 1848,90,6.4,0,0,0,0.00486161,0,0,0,38,0,0,0,66,2,1,2,6,5,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Daniel Hanslik,F,VfL Bochum 1848,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Berkan Taz,M,VfL Bochum 1848,90,6.8,0,0,0.5,0.411436,3,0,0,34,4,1,1,54,0,0,0,0,0,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Michael Steinwender,D,VfL Bochum 1848,90,6.7,0,0,0,0.0153149,0,0,0,66,0,0,0,77,0,2,0,6,0,1,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Jean-Manuel Mbom,D,VfL Bochum 1848,45,6.3,0,0,0,0.0127414,0,0,0,17,0,0,0,20,0,0,0,1,3,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Enis Çokaj,M,VfL Bochum 1848,86,6.4,0,0,0,0.0257597,0,0,0,49,1,0,0,56,0,1,1,4,0,1,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Christian Rasmussen,F,VfL Bochum 1848,14,6.6,0,0,0.0053,0.167092,1,0,0,4,0,0,0,6,0,0,0,1,1,1,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Yiğit Karademir,D,VfL Bochum 1848,45,6.2,0,0,0.2311,0.0016547,1,0,0,22,0,0,0,25,0,0,0,1,0,0,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Mats Pannewig,M,VfL Bochum 1848,45,6.6,0,0,0.0183,0.0321495,1,0,0,21,0,0,0,32,0,1,1,3,0,1,0,0,0,0
2. Bundesliga,26_27,VfL Bochum 1848 vs Hertha BSC,07/08/2026,Alessandro Crimaldi,F,VfL Bochum 1848,61,6.7,0,0,0,0.0218179,0,0,0,11,1,0,0,24,0,4,0,7,2,1,0,0,2,0
2. Bundesliga,26_27,1. FC Heidenheim vs VfL Osnabrück,08/08/2026,Jannik Müller,D,VfL Osnabrück,90,6.5,0,0,0.1747,0.00924327,2,0,0,57,0,0,0,73,0,0,1,1,0,0,0,0,0,0
2. Bundesliga,26_27,1. FC Heidenheim vs VfL Osnabrück,08/08/2026,Bryan Henning,M,VfL Osnabrück,10,6.3,0,0,0.0403,0.0161482,1,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2. Bundesliga,26_27,1. FC Heidenheim vs VfL Osnabrück,08/08/2026,Bjarke Jacobsen,M,VfL Osnabrück,90,6.5,0,0,0.1265,0.0168771,3,0,0,36,0,0,0,53,1,3,0,6,2,0,0,0,0,0
