Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Elias Andersson,M,Nordic United FC,90,7.7,0,0,0.1,0.08,3,1,0,70,1,0,0,88,0,0,1,5,0,4,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Gabriel Aphrem,M,Nordic United FC,15,6.7,0,0,0.08,0.09,1,0,0,17,1,0,0,20,0,0,0,0,1,0,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Elias Durmaz,D,Nordic United FC,81,7.4,0,0,0.07,0.49,1,0,0,46,4,1,0,68,4,0,0,7,1,0,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Erion Sadiku,M,Varbergs BoIS,90,7.7,0,0,0,0.09,0,0,0,65,1,0,0,82,2,0,1,6,1,0,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Wilhelm Arlig,F,Varbergs BoIS,85,7.4,0,0,0.06,0.28,2,1,0,23,2,0,0,46,4,0,0,9,2,3,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Lucas Kåhed,M,Varbergs BoIS,34,6.8,0,0,0.05,0,1,0,0,8,0,0,0,20,1,0,0,6,0,1,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Jonathan Gursac,D,Nordic United FC,90,7.5,0,0,0,0,0,0,0,55,0,0,0,69,0,0,2,2,0,2,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Gustav Broman,D,Varbergs BoIS,90,7.6,0,0,0,0,0,0,0,41,0,0,0,55,0,0,2,4,0,1,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Daniel Strindholm,G,Varbergs BoIS,90,7.9,0,0,0,0,0,0,0,18,0,0,0,21,0,0,0,0,0,0,0,0,0,5
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Albin Winbo,M,Varbergs BoIS,85,7.2,0,0,0.17,0.29,1,1,0,29,2,0,0,37,0,0,1,2,1,2,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Shanyder Borgelin,F,Varbergs BoIS,34,6.5,0,0,0.51,0,2,0,0,6,0,0,1,14,0,0,0,3,1,0,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Niklas Dahlström,D,Varbergs BoIS,90,6.7,0,0,0.24,0,1,0,0,23,0,0,0,33,0,0,0,4,0,0,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Isak Vidjeskog,M,Varbergs BoIS,63,6.7,0,0,0.18,0,1,0,0,31,0,0,0,37,0,0,0,0,2,0,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Noah Johansson,M,Varbergs BoIS,12,6.6,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,3,0,2,0,0,0,0
Superettan,2026,Nordic United FC vs Varbergs BoIS,15/08/2026,Niklas Söderberg,F,Nordic United FC,23,6.7,0,0,0,0.23,0,0,0,9,1,0,0,11,0,0,0,0,0,0,0,0,0,0
