Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Mihai Bălașa,D,Concordia Chiajna,90,6.9,0,0,0.07,0,2,1,0,54,0,0,0,67,0,0,1,3,1,0,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Alexandru Greab,G,CS Gloria Bistrița,90,7.2,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,3
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Din Sula,F,Concordia Chiajna,64,6.2,0,0,0,0,0,0,0,9,0,0,0,20,0,0,0,5,2,2,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Denis Dumitrașcu,D,Concordia Chiajna,90,6.8,0,0,0,0.4,0,0,0,54,2,0,0,72,0,0,4,8,3,1,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Viorel Lică,D,CS Gloria Bistrița,61,6.8,0,0,0,0,0,0,0,23,0,0,0,26,0,0,0,3,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Ionuț Panțîru,D,CS Gloria Bistrița,6,6.3,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Mehdi Lehaire,M,CS Gloria Bistrița,36,6.6,0,0,0.13,0,2,0,0,16,0,0,0,30,1,0,0,4,0,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Nicolae Carnat,M,Concordia Chiajna,90,6.2,0,0,0.02,0,2,1,0,52,0,0,0,67,1,0,1,6,1,0,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Ian Soler,M,Concordia Chiajna,17,6.8,0,0,0,0,0,0,0,15,1,0,0,15,0,0,0,3,1,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Robert Ion,M,Concordia Chiajna,73,6.2,0,0,0.17,0,3,0,0,31,0,0,0,50,1,0,1,5,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Álex Gualda,M,Concordia Chiajna,90,7.3,1,0,1.17,0,2,1,1,57,1,0,1,76,0,0,2,1,2,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Alexandru Mogoș,M,CS Gloria Bistrița,54,6.3,0,0,0.04,0,3,1,0,10,0,0,0,20,0,0,0,5,1,1,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Arnaud Randrianantenaina,M,CS Gloria Bistrița,36,6.6,0,0,0,0.04,0,0,0,14,1,0,0,19,0,0,0,1,1,1,0,0,1,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Branimir Ćavar,M,CS Gloria Bistrița,90,6.7,0,0,0.04,0,2,1,0,35,0,0,0,47,0,0,0,9,0,3,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Sergiu Pîrvulescu,D,CS Gloria Bistrița,84,6.8,0,0,0.04,0.06,1,0,1,37,1,0,0,50,0,0,4,5,0,3,1,0,1,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Andreas Chirițoiu,F,Concordia Chiajna,26,6.7,0,0,0,0.01,0,0,0,7,1,0,0,9,0,0,0,3,0,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Levan Osikmashvili,M,CS Gloria Bistrița,90,6.8,0,0,0,0,0,0,0,31,0,0,0,42,0,0,4,5,2,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Alexandru Jipa,M,Concordia Chiajna,17,6.7,0,0,0.01,0,1,0,0,8,0,0,0,13,0,0,0,4,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Darius Iurașciuc,D,CS Gloria Bistrița,29,6,0,0,0,0,0,0,0,14,0,0,0,17,0,0,1,0,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Sergio Carrasco,M,Concordia Chiajna,90,7.3,0,1,0.4,0.08,1,1,0,51,2,1,1,68,1,1,0,6,1,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Alexis Chamorro,F,Concordia Chiajna,73,6.5,0,0,0.18,0,1,0,0,22,0,0,0,31,0,0,2,3,0,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Marius Lupu,F,CS Gloria Bistrița,54,6.5,0,0,0.24,0,1,0,0,14,0,0,0,20,0,0,0,8,1,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Adrian Briciu,G,Concordia Chiajna,90,6.8,0,0,0,0,0,0,0,20,0,0,0,21,0,0,0,2,0,2,0,0,0,3
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Antonio Suciu,M,CS Gloria Bistrița,46,6.3,0,1,0.03,0.18,2,0,0,9,1,0,0,17,0,0,0,3,1,1,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Cristian Licsandru,D,Concordia Chiajna,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Emmanuel Asibey,D,CS Gloria Bistrița,90,5.7,0,0,0,0,0,0,0,30,0,0,0,40,0,0,1,5,3,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Luis Pareja,D,Concordia Chiajna,90,6.3,0,0,0,0,0,0,0,53,0,0,0,65,0,0,0,4,2,0,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Denis Zanc,M,CS Gloria Bistrița,44,6.7,0,0,0,0,0,0,0,12,0,0,0,18,2,0,0,4,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Costyn Gheorghe,D,CS Gloria Bistrița,90,6.7,0,0,0,0.15,0,0,0,42,1,0,0,52,0,0,0,5,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Jimmy King,F,CS Gloria Bistrița,90,7.6,1,0,0.39,0.08,3,2,0,17,1,0,0,35,0,0,0,8,0,2,0,0,1,0
Liga 2 Casa Pariurilor,Liga_2_26_27,CS Gloria Bistrița vs Concordia Chiajna,15/08/2026,Iosua-Thomas Huluba,D,Concordia Chiajna,90,6.3,0,0,0.01,0,1,0,0,26,0,0,0,34,0,0,0,6,1,1,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Romario Benzar,D,ACS Știința Politehnica Timișoara,8,7.3,0,1,0,0.53,0,0,0,7,1,1,0,8,0,0,0,0,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Gabriel Iancu,F,Concordia Chiajna,58,6.2,0,0,0.18,0.1,2,0,0,22,1,0,0,34,0,0,0,0,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Mihai Bălașa,D,Concordia Chiajna,90,6.4,0,0,0,0,0,0,0,48,0,0,0,60,0,2,0,10,3,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Din Sula,F,Concordia Chiajna,44,6.4,0,0,0.33,0,2,2,0,9,0,0,0,17,0,0,0,3,1,3,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Denis Dumitrașcu,D,Concordia Chiajna,90,5.7,0,0,0,0.25,0,0,0,57,2,0,0,78,0,0,1,4,3,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,George Ganea,M,Concordia Chiajna,58,7.6,1,0,0.36,0,2,2,0,18,0,0,0,31,1,1,2,5,2,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,David Popa,F,ACS Știința Politehnica Timișoara,22,6.6,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,2,0,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Stephan Drăghici,M,ACS Știința Politehnica Timișoara,82,6.9,0,1,0,0.05,0,0,0,38,1,0,0,57,1,0,4,9,1,4,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Nicolae Carnat,M,Concordia Chiajna,32,6,0,0,0,0,1,0,0,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Ian Soler,M,Concordia Chiajna,32,6.5,0,0,0,0,0,0,0,24,0,0,0,28,0,0,0,4,1,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Robert Ion,M,Concordia Chiajna,80,6.6,0,0,0.12,0,2,1,0,19,0,0,0,34,0,0,1,4,0,2,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,András Huszti,D,ACS Știința Politehnica Timișoara,90,6.5,0,0,0.02,0,1,1,0,36,0,0,0,51,0,1,1,5,1,3,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Álex Gualda,M,Concordia Chiajna,90,7,0,1,0,0.12,0,0,0,54,2,0,0,65,1,0,0,7,1,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Ion Vasluian,F,ACS Știința Politehnica Timișoara,82,7.3,0,1,0,0.38,0,0,0,42,4,0,0,57,1,0,0,7,1,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Andreas Chirițoiu,F,Concordia Chiajna,46,6.2,0,0,0,0,0,0,0,13,0,0,0,16,1,0,0,2,2,0,1,0,1,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Alexandru Jipa,M,Concordia Chiajna,10,6.3,0,0,0,0,0,0,0,8,0,0,0,10,1,0,0,1,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Mihai Dolghi,M,ACS Știința Politehnica Timișoara,8,6.6,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Călin Toma,D,ACS Știința Politehnica Timișoara,90,7.1,0,0,0,0,0,0,0,65,0,0,0,74,0,1,0,5,0,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Pedro Paul,D,ACS Știința Politehnica Timișoara,90,7.4,0,0,0,0,0,0,0,38,0,0,0,54,0,0,6,3,2,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Sergio Carrasco,M,Concordia Chiajna,46,5.6,0,0,0,0,0,0,0,24,0,0,0,31,0,0,0,3,1,0,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Iosif Rotariu,M,ACS Știința Politehnica Timișoara,8,6.7,0,0,0.17,0,1,1,0,4,0,0,0,8,0,0,0,1,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Adrian Briciu,G,Concordia Chiajna,90,5.2,0,0,0,0,0,0,0,29,0,0,0,31,0,0,0,0,0,0,0,0,0,3
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Cristian Licsandru,D,Concordia Chiajna,44,6.2,0,0,0.01,0,1,0,0,15,0,0,0,22,1,0,3,2,1,0,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Ianis Doană,M,ACS Știința Politehnica Timișoara,68,10,4,0,0.73,0,4,4,0,18,1,0,0,36,1,0,0,5,0,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Luis Pareja,D,Concordia Chiajna,90,5.5,0,0,0,0,0,0,0,41,0,0,0,53,0,0,1,9,3,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Robert Burlacu-Luca,M,ACS Știința Politehnica Timișoara,22,6.5,0,0,0,0,0,0,0,6,0,0,0,11,1,0,0,1,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Tudor Coșa,G,ACS Știința Politehnica Timișoara,90,7.3,0,0,0,0,0,0,0,27,0,0,0,28,0,0,0,0,0,0,0,0,0,4
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Andrei Artean,M,ACS Știința Politehnica Timișoara,90,7,0,1,0.01,0.16,1,0,0,48,1,0,0,53,0,0,0,3,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Ovidiu Popescu,M,ACS Știința Politehnica Timișoara,82,6.2,0,0,0.37,0.02,4,1,0,29,1,0,0,42,0,0,0,1,1,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Aurelian Chițu,F,ACS Știința Politehnica Timișoara,90,8.5,1,1,0.53,0.47,1,1,0,56,2,1,0,88,4,0,0,21,2,6,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Ștefan Ștefanovici,M,ACS Știința Politehnica Timișoara,68,7.1,0,0,0.07,0,1,0,0,40,1,0,0,46,0,0,1,5,0,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,Concordia Chiajna vs ACS Știința Politehnica Timișoara,22/08/2026,Iosua-Thomas Huluba,D,Concordia Chiajna,90,5.4,0,0,0,0,0,0,0,32,0,0,0,47,0,1,1,4,1,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Júnior Morais,M,FC Metaloglobus București,7,6.6,0,0,0,0,0,0,0,8,0,0,0,10,1,0,0,2,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Florin Purece,M,FC Metaloglobus București,90,6.9,0,0,0.08,0.01,1,1,0,38,1,0,0,49,0,0,1,5,2,1,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Gabriel Iancu,F,Concordia Chiajna,23,6.3,0,0,0.14,0.12,2,2,0,14,1,0,0,20,0,0,0,0,1,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,George Gavrilaș,G,FC Metaloglobus București,90,5.7,0,0,0,0,0,0,0,12,0,0,0,15,0,0,0,0,0,0,0,0,0,3
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Mihai Bălașa,D,Concordia Chiajna,90,6.7,0,0,0,0,0,0,0,53,0,0,0,70,1,0,3,5,2,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Mihai Dobrescu,D,Concordia Chiajna,90,7.3,0,1,0,0.13,0,0,0,41,1,0,0,55,0,0,2,10,3,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Marius Martac,D,FC Metaloglobus București,83,6.2,0,0,0,0,0,0,0,30,0,0,0,39,0,0,1,6,0,6,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Andrei Sava,D,FC Metaloglobus București,90,6.4,0,0,0,0,0,0,0,35,0,0,0,53,1,0,1,6,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Din Sula,F,Concordia Chiajna,67,7.3,1,0,0.67,0.08,3,1,0,9,1,0,0,23,0,0,0,5,2,1,0,0,1,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Laurențiu Corbu,D,FC Metaloglobus București,7,6.5,0,0,0,0.05,0,0,0,7,1,0,0,16,1,0,1,3,0,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,George Ganea,M,Concordia Chiajna,49,7,0,1,0.12,0.24,3,1,0,8,1,0,0,24,2,1,1,8,1,1,1,0,1,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Erico da Silva,D,FC Metaloglobus București,90,6.1,0,0,0.05,0,1,0,0,36,1,0,0,58,0,0,6,7,2,3,0,0,1,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Robert Neacșu,D,FC Metaloglobus București,21,7.5,0,0,0.2,0,1,0,0,11,0,0,0,19,0,0,0,4,0,2,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Nicolae Carnat,M,Concordia Chiajna,41,6,0,1,0.03,0.16,1,0,0,26,2,0,0,35,0,0,0,4,2,0,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Ian Soler,M,Concordia Chiajna,73,7.4,0,0,0,0,0,0,0,40,0,0,0,52,0,1,0,9,3,3,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Robert Ion,M,Concordia Chiajna,2,6.5,0,0,0.06,0,1,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Jordan Gutierrez,M,FC Metaloglobus București,69,6.1,0,0,0.2,0,1,0,0,13,0,0,0,24,0,1,0,9,2,4,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Andrei Pandele,M,FC Metaloglobus București,83,6.8,0,0,0,0,1,0,0,32,0,0,0,52,0,0,3,8,2,0,0,0,1,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Álex Gualda,M,Concordia Chiajna,90,6.6,1,0,0.22,0.16,3,1,0,56,2,0,0,77,1,0,0,4,5,1,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Sergio Carrasco,M,Concordia Chiajna,88,7.9,1,0,0.13,0,1,1,0,65,0,0,0,83,2,0,1,6,1,3,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Mihai Toma,M,Concordia Chiajna,67,6.9,0,0,0.02,0,1,0,0,23,0,0,0,40,1,0,0,8,0,1,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Adrian Briciu,G,Concordia Chiajna,90,6.7,0,0,0,0,0,0,0,19,0,0,0,23,0,0,0,0,0,0,0,0,0,2
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Raul Rotund,F,Concordia Chiajna,23,6.3,0,0,0.12,0,1,0,0,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Alexandru Irimia,M,FC Metaloglobus București,90,6.4,0,0,0.01,0.47,2,0,0,41,1,0,0,54,0,0,2,4,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Ime Ndon,M,FC Metaloglobus București,69,6,0,0,0.61,0,3,0,0,8,0,0,1,31,1,0,1,7,1,3,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Cristian Licsandru,D,Concordia Chiajna,17,6.5,0,0,0,0,0,0,0,8,0,0,0,10,0,0,1,1,0,0,0,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Luis Pareja,D,Concordia Chiajna,90,7.1,0,0,0,0,0,0,0,53,1,0,0,83,3,0,4,11,2,3,1,0,0,0
Liga 2 Casa Pariurilor,Liga_2_26_27,FC Metaloglobus București vs Concordia Chiajna,29/08/2026,Vlad Stancovici,M,FC Metaloglobus București,21,6.7,0,0,0,0.2,0,0,0,8,1,0,0,16,0,0,1,2,0,1,0,0,0,0
