Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Dmytro Nepohodov,G,Ulytau FC,90,6.5,0,0,0,0,0,0,0,24,0,0,0,25,0,0,0,0,0,1,0,0,0,3
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Beka Vachiberadze,M,Ulytau FC,90,6.3,0,0,0.17,0,2,0,0,28,0,0,0,41,0,0,1,3,1,0,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Luís Mata,D,FC Kairat Almaty,90,6.7,0,0,0.29,0,1,0,0,48,0,0,0,58,0,0,0,2,0,2,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,David Carmona,M,Ulytau FC,77,6.1,0,0,0,0,0,0,0,24,1,0,0,32,0,0,0,3,1,1,1,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Abzal Taubay,M,Ulytau FC,32,6.5,0,0,0,0,0,0,0,5,0,0,0,7,0,0,1,1,0,0,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Marc Gual,F,FC Kairat Almaty,90,6.3,0,1,0.58,0.08,5,0,0,46,1,0,1,79,2,0,0,4,2,1,1,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Glib Bukhal,D,Ulytau FC,90,7.1,0,0,0,0,0,0,0,59,0,0,0,68,0,2,3,9,1,1,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Erkin Tapalov,D,FC Kairat Almaty,12,6.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Jaakko Oksanen,M,FC Kairat Almaty,81,6.7,0,0,0,0,0,0,0,37,0,0,0,45,0,0,1,7,3,2,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Aleksandr Shirobokov,D,FC Kairat Almaty,86,7.3,0,0,0,0,0,0,0,82,0,0,0,105,0,0,0,4,2,2,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Temirlan Anarbekov,G,FC Kairat Almaty,90,6.7,0,0,0,0,0,0,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,2
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Gustavo Mendonca,M,FC Kairat Almaty,90,7.5,0,1,0,0.36,0,0,0,51,2,0,0,71,1,0,1,13,2,3,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Kuandyk Nursultanov,M,Ulytau FC,22,6.5,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,3,1,0,1,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Oiva Jukkola,M,FC Kairat Almaty,90,7.7,1,0,0.08,0.05,2,2,0,33,2,0,0,47,1,0,1,5,4,0,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,David Martin Anane,M,Ulytau FC,90,6.9,0,0,0.13,0,2,1,0,28,0,0,0,61,1,0,0,5,4,2,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Aleksandr Mrynskiy,D,FC Kairat Almaty,81,6.7,0,0,0.01,0,1,0,0,30,0,0,0,48,1,0,2,8,1,1,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Aslan Akhmedov,M,Ulytau FC,22,6.7,0,0,0,0,0,0,0,9,0,0,0,11,0,0,0,1,0,0,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Ilya Chernyak,M,Ulytau FC,90,7.5,1,0,0.95,0.1,4,2,0,23,2,0,0,41,1,0,0,9,1,5,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Adilet Sadybekov,M,FC Kairat Almaty,17,6.6,0,0,0,0,0,0,0,6,0,0,0,8,0,0,1,1,0,0,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Lev Kurgin,D,FC Kairat Almaty,90,6.9,0,0,0,0,0,0,0,67,0,0,0,82,0,1,1,6,0,2,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Olzhas Baibek,M,FC Kairat Almaty,71,6.9,0,0,0,0,0,0,0,68,0,0,0,81,0,0,2,6,2,0,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Hiroki Harada,M,Ulytau FC,66,6.4,0,0,0.08,0,1,0,0,19,0,0,0,31,0,0,1,5,1,1,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Edmilson,F,FC Kairat Almaty,71,7.4,1,0,0.13,0.01,2,2,0,24,1,0,0,35,0,0,0,4,1,0,1,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Rinat Serikkul,M,Ulytau FC,90,6.6,0,0,0,0,0,0,0,43,0,0,0,55,0,0,2,2,0,1,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Adlan Nurgaliev,D,FC Kairat Almaty,17,6.4,0,0,0,0,0,0,0,7,0,0,0,11,0,0,0,3,1,1,1,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Arthur Bougnone,M,Ulytau FC,77,6.9,0,0,0,0,0,0,0,42,0,0,0,62,1,0,4,11,2,3,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Kotaro Kishi,F,Ulytau FC,90,5.9,0,0,0.06,0,1,0,0,16,0,0,0,27,0,0,0,3,0,1,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Azamat Tuyakbayev,M,FC Kairat Almaty,27,7,1,0,0.47,0.11,2,2,0,10,1,0,0,15,1,0,0,4,1,0,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Orken Nurali,F,Ulytau FC,8,6.7,0,0,0.06,0,1,0,0,3,0,0,0,8,0,0,1,0,0,0,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Vadim Afanasenko,D,Ulytau FC,90,6.6,0,0,0,0.16,0,0,0,37,1,0,0,55,1,0,1,6,3,3,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Daniel Maulenov,D,Ulytau FC,8,6.7,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Kazakhstan Premier League,2026,FC Kairat Almaty vs Ulytau FC,15/08/2026,Ismail Bekbolat,F,FC Kairat Almaty,27,6.8,0,0,0,0.32,0,0,0,7,1,0,0,14,2,0,0,3,0,1,0,0,0,0
Kazakhstan Premier League,2026,Yelimay Semey vs FC Kairat Almaty,31/08/2026,Aleksandr Martynovich,D,FC Kairat Almaty,90,7.2,0,0,0,0,0,0,0,29,0,0,0,39,0,0,3,3,2,0,1,0,0,0
Kazakhstan Premier League,2026,Yelimay Semey vs FC Kairat Almaty,31/08/2026,Roman Murtazaev,F,Yelimay Semey,37,6.7,0,0,0.01,0,1,1,0,13,0,0,0,17,0,0,0,1,0,1,0,0,1,0
Kazakhstan Premier League,2026,Yelimay Semey vs FC Kairat Almaty,31/08/2026,Euloge Fessou Placca,F,Yelimay Semey,60,6.5,0,0,0.02,0,2,2,0,14,0,0,0,22,0,0,0,3,1,0,0,0,2,0
Kazakhstan Premier League,2026,Yelimay Semey vs FC Kairat Almaty,31/08/2026,Luís Mata,D,FC Kairat Almaty,90,8.7,1,1,0.07,0.14,1,1,0,24,2,0,0,40,0,0,4,3,2,1,1,0,0,0
Kazakhstan Premier League,2026,Yelimay Semey vs FC Kairat Almaty,31/08/2026,Ivan Konovalov,G,Yelimay Semey,90,6.2,0,0,0,0,0,0,0,18,0,0,0,19,0,0,1,0,0,0,1,0,0,2
