Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Franz Beckenbauer Supercup,2026,Borussia Dortmund vs FC Bayern München,22/08/2026,Manuel Neuer,G,FC Bayern München,90,6.8,0,0,0,0,0,0,0,46,0,0,0,58,0,0,0,1,0,0,0,0,0,3
Franz Beckenbauer Supercup,2026,Borussia Dortmund vs FC Bayern München,22/08/2026,Harry Kane,F,FC Bayern München,90,7.2,0,0,0,0,5,1,0,37,2,0,0,54,3,0,0,10,0,3,0,0,0,0
Franz Beckenbauer Supercup,2026,Borussia Dortmund vs FC Bayern München,22/08/2026,Marcel Sabitzer,M,Borussia Dortmund,17,6.6,0,0,0,0,1,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Franz Beckenbauer Supercup,2026,Borussia Dortmund vs FC Bayern München,22/08/2026,Jonathan Tah,D,FC Bayern München,90,7,0,0,0,0,0,0,0,55,0,0,0,65,0,1,1,5,1,0,0,0,0,0
Franz Beckenbauer Supercup,2026,Borussia Dortmund vs FC Bayern München,22/08/2026,Joshua Kimmich,M,FC Bayern München,90,7.3,0,0,0,0,2,0,0,84,1,0,0,104,0,1,3,2,1,1,0,0,0,0
Franz Beckenbauer Supercup,2026,Borussia Dortmund vs FC Bayern München,22/08/2026,Serhou Guirassy,F,Borussia Dortmund,63,6.3,0,0,0,0,0,0,0,10,0,0,0,13,0,0,0,2,0,1,0,0,1,0
Franz Beckenbauer Supercup,2026,Borussia Dortmund vs FC Bayern München,22/08/2026,Konrad Laimer,D,FC Bayern München,90,6.2,0,0,0,0,1,0,0,37,2,0,0,58,0,2,0,3,3,1,0,0,0,0
Franz Beckenbauer Supercup,2026,Borussia Dortmund vs FC Bayern München,22/08/2026,Gregor Kobel,G,Borussia Dortmund,90,7.5,0,0,0,0,0,0,0,39,0,0,0,54,0,0,0,0,0,0,0,0,0,8
Franz Beckenbauer Supercup,2026,Borussia Dortmund vs FC Bayern München,22/08/2026,Ramy Bensebaini,D,Borussia Dortmund,90,7.1,0,0,0,0,0,0,0,49,1,0,0,68,0,5,3,7,2,1,0,1,2,0
Franz Beckenbauer Supercup,2026,Borussia Dortmund vs FC Bayern München,22/08/2026,Waldemar Anton,D,Borussia Dortmund,90,6.3,0,0,0,0,0,0,0,43,1,1,0,56,0,0,4,2,2,0,0,0,0,0
