ID_Jugador,Jugador,Foto_URL,Pais,Fecha_Nacimiento,Posicion,Altura,Pie,Valor_Mercado
338,Paolo Guerrero,https://api.sofascore.com/api/v1/player/338/image,Peru,31/12/1983,F,185,Right,48000
750,Cristiano Ronaldo,https://api.sofascore.com/api/v1/player/750/image,Portugal,,F,187,,
851,Ian Henderson,https://api.sofascore.com/api/v1/player/851/image,England,,F,178,,
2622,Remko Pasveer,https://api.sofascore.com/api/v1/player/2622/image,Netherlands,07/11/1983,G,186,Right,97000
2899,Daniele Padelli,https://api.sofascore.com/api/v1/player/2899/image,Italy,24/10/1985,G,191,Right,165000
3007,Manu Sanchez,https://api.sofascore.com/api/v1/player/3007/image,Spain,,D,183,,
4387,Eldin Jakupović,https://api.sofascore.com/api/v1/player/4387/image,Switzerland,,G,191,,
5672,Nenê,https://api.sofascore.com/api/v1/player/5672/image,Brazil,,F,181,,
6562,João Moutinho,https://api.sofascore.com/api/v1/player/6562/image,Portugal,07/09/1986,M,171,Both,525000
8959,Manuel Neuer,https://api.sofascore.com/api/v1/player/8959/image,Germany,26/03/1986,G,193,Right,4099999
9048,Hugo Lloris,https://api.sofascore.com/api/v1/player/9048/image,France,,G,188,,
10577,Alex Oxlade-Chamberlain,https://api.sofascore.com/api/v1/player/10577/image,England,,M,180,,
12194,Filip Novák,https://api.sofascore.com/api/v1/player/12194/image,Czechia,,D,184,,
12994,Lionel Messi,https://api.sofascore.com/api/v1/player/12994/image,Argentina,23/06/1987,F,169,Left,16300000
14718,Lorenzo De Silvestri,https://api.sofascore.com/api/v1/player/14718/image,Italy,22/05/1988,D,185,Right,540000
14990,Edin Džeko,https://api.sofascore.com/api/v1/player/14990/image,Bosnia & Herzegovina,16/03/1986,F,193,Both,905000
15086,Ruben Jenssen,https://api.sofascore.com/api/v1/player/15086/image,Norway,,M,173,,
15190,Samuel Di Carmine,https://api.sofascore.com/api/v1/player/15190/image,Italy,,F,187,,
15219,Lukáš Hrádecký,https://api.sofascore.com/api/v1/player/15219/image,Finland,,G,190,,
15466,Luka Modrić,https://api.sofascore.com/api/v1/player/15466/image,Croatia,08/09/1985,M,173,Right,3800000
15893,Mike Jensen,https://api.sofascore.com/api/v1/player/15893/image,Denmark,,M,177,,
16206,Yann Sommer,https://api.sofascore.com/api/v1/player/16206/image,Switzerland,16/12/1988,G,183,Right,1800000
16943,Luis Suárez,https://api.sofascore.com/api/v1/player/16943/image,Uruguay,23/01/1987,F,182,Right,1400000
17053,Vito Mannone,https://api.sofascore.com/api/v1/player/17053/image,Italy,,G,189,,
17785,Fábio,https://api.sofascore.com/api/v1/player/17785/image,Brazil,29/09/1980,G,188,Right,79000
18304,Charles Aránguiz,https://api.sofascore.com/api/v1/player/18304/image,Chile,,M,171,,
18342,Arturo Vidal,https://api.sofascore.com/api/v1/player/18342/image,Chile,,M,180,,
19013,Iván Cuéllar,https://api.sofascore.com/api/v1/player/19013/image,Spain,26/05/1984,G,187,Left,110000
19356,Iago Aspas,https://api.sofascore.com/api/v1/player/19356/image,Spain,31/07/1987,F,176,Left,1500000
19401,Dame Traore,https://api.sofascore.com/api/v1/player/19401/image,Qatar,,D,188,,
19574,Shaun Whalley,https://api.sofascore.com/api/v1/player/19574/image,England,,F,174,,
20804,Simon Eastwood,https://api.sofascore.com/api/v1/player/20804/image,England,,G,188,,
21300,David Luiz,https://api.sofascore.com/api/v1/player/21300/image,Brazil,,D,189,,
21547,Lasse Nielsen,https://api.sofascore.com/api/v1/player/21547/image,Denmark,,D,185,,
21608,Nicolas Viola,https://api.sofascore.com/api/v1/player/21608/image,Italy,,M,180,,
21626,Eric Maxim Choupo-Moting,https://api.sofascore.com/api/v1/player/21626/image,Cameroon,22/03/1989,F,191,Right,1000000
22209,Ørjan Nyland,https://api.sofascore.com/api/v1/player/22209/image,Norway,09/09/1990,G,192,Right,825000
22481,Mame Biram Diouf,https://api.sofascore.com/api/v1/player/22481/image,Senegal,,F,185,,
22596,Kristoffer Nordfeldt,https://api.sofascore.com/api/v1/player/22596/image,Sweden,22/06/1989,G,190,Right,190000
22973,Cristián Suárez,https://api.sofascore.com/api/v1/player/22973/image,Chile,,D,180,,
22981,José Sosa,https://api.sofascore.com/api/v1/player/22981/image,Argentina,18/06/1985,M,179,Right,54000
23492,Lucas Akins,https://api.sofascore.com/api/v1/player/23492/image,Grenada,,M,180,,
23775,Václav Pilař,https://api.sofascore.com/api/v1/player/23775/image,Czechia,,F,169,,
23952,Shuichi Gonda,https://api.sofascore.com/api/v1/player/23952/image,Japan,,G,187,,
24133,Koki Yonekura,https://api.sofascore.com/api/v1/player/24133/image,Japan,,D,176,,
24248,Maya Yoshida,https://api.sofascore.com/api/v1/player/24248/image,Japan,,D,189,,
24292,Masato Morishige,https://api.sofascore.com/api/v1/player/24292/image,Japan,,D,183,,
24544,Shun Nagasawa,https://api.sofascore.com/api/v1/player/24544/image,Japan,,F,192,,
25554,Fagner,https://api.sofascore.com/api/v1/player/25554/image,Brazil,10/06/1989,D,168,Right,195000
25642,Balázs Dzsudzsák,https://api.sofascore.com/api/v1/player/25642/image,Hungary,,M,179,,
26025,Robin Olsen,https://api.sofascore.com/api/v1/player/26025/image,Sweden,07/01/1990,G,198,Right,535000
26768,Sven Ulreich,https://api.sofascore.com/api/v1/player/26768/image,Germany,02/08/1988,G,192,Right,515000
26810,Alexander Bittroff,https://api.sofascore.com/api/v1/player/26810/image,Germany,,D,186,,
26952,Martin Männel,https://api.sofascore.com/api/v1/player/26952/image,Germany,,G,184,,
27014,Moussa Sissoko,https://api.sofascore.com/api/v1/player/27014/image,France,15/08/1989,M,187,Right,195000
27028,Ashley Barnes,https://api.sofascore.com/api/v1/player/27028/image,England,29/10/1989,M,186,Right,145000
27214,Jens Grahl,https://api.sofascore.com/api/v1/player/27214/image,Germany,21/09/1988,G,193,Right,210000
