referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
102956,Benjamin Brand,16163439,21/05/2026,2026-05-21,35,Bundesliga,Bundesliga,VfL Wolfsburg,SC Paderborn 07,0,0,5,1,70,9,12,16,28,1,4,0,1,1,0,4,1,0,0,1,5,0,Min 90' [Doble Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Foul] | Min 82' [Amarilla - Foul] | Min 9' [Amarilla - Foul]
102956,Benjamin Brand,14065250,09/05/2026,2026-05-09,35,Bundesliga,Bundesliga,RB Leipzig,FC St. Pauli,2,1,2,0,20,19,5,9,14,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 50' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
102956,Benjamin Brand,14065528,03/05/2026,2026-05-03,44,2. Bundesliga,2. Bundesliga,SV 07 Elversberg,SC Paderborn 07,5,1,8,1,100,38,11,15,26,3,5,0,1,2,0,6,1,0,0,2,7,0,Min 90' [Doble Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 47' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
102956,Benjamin Brand,14065221,18/04/2026,2026-04-18,35,Bundesliga,Bundesliga,Bayer 04 Leverkusen,FC Augsburg,1,2,3,0,30,48,5,8,13,2,1,0,0,0,0,3,0,0,0,0,3,0,Min 86' [Amarilla - Sin motivo] | Min 52' [Amarilla - Foul] | Min 48' [Amarilla - Foul]
102956,Benjamin Brand,14065199,21/03/2026,2026-03-21,35,Bundesliga,Bundesliga,VfL Wolfsburg,SV Werder Bremen,0,1,3,1,50,39,16,6,22,3,0,1,0,1,0,2,1,0,0,1,3,0,Min 90' [Amarilla - Argument] | Min 90' [Doble Amarilla - Foul] | Min 39' [Amarilla - Foul]
102956,Benjamin Brand,14062233,07/03/2026,2026-03-07,35,Bundesliga,Bundesliga,SC Freiburg,Bayer 04 Leverkusen,3,3,5,0,50,51,7,8,15,2,3,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Foul] | Min 82' [Amarilla - Argument] | Min 78' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 51' [Amarilla - Foul]
102956,Benjamin Brand,14062218,21/02/2026,2026-02-21,35,Bundesliga,Bundesliga,RB Leipzig,Borussia Dortmund,2,2,7,0,70,31,11,17,28,3,4,0,0,3,0,4,0,0,0,3,4,0,Min 90' [Amarilla - Argument] | Min 78' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 31' [Amarilla - Foul]
102956,Benjamin Brand,14062201,07/02/2026,2026-02-07,35,Bundesliga,Bundesliga,FC St. Pauli,VfB Stuttgart,2,1,2,0,20,57,9,10,19,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 72' [Amarilla - Foul] | Min 57' [Amarilla - Foul]
102956,Benjamin Brand,14062174,16/01/2026,2026-01-16,35,Bundesliga,Bundesliga,SV Werder Bremen,Eintracht Frankfurt,3,3,5,0,50,52,8,15,23,1,4,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Sin motivo] | Min 85' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 66' [Amarilla - Time wasting] | Min 52' [Amarilla - Foul]
102956,Benjamin Brand,14062143,20/12/2025,2025-12-20,35,Bundesliga,Bundesliga,RB Leipzig,Bayer 04 Leverkusen,1,3,3,0,30,30,10,12,22,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Foul] | Min 30' [Amarilla - Foul]
