referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
132779,Federico La Penna,16607551,21/08/2026,2026-08-21,53,Serie B,Serie B,L.R. Vicenza,Catanzaro,3,2,5,0,50,42,15,16,31,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 83' [Amarilla - Foul] | Min 55' [Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 42' [Amarilla - Argument]
132779,Federico La Penna,16154278,22/05/2026,2026-05-22,53,Serie B,Serie B,Südtirol,Bari,0,0,4,0,40,19,20,23,43,1,3,0,0,2,0,2,0,0,0,2,2,0,Min 85' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
132779,Federico La Penna,13980078,17/05/2026,2026-05-17,23,Serie A,Serie A,Sassuolo,Lecce,2,3,5,0,50,54,7,13,20,1,4,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 77' [Amarilla - Foul] | Min 54' [Amarilla - Foul]
132779,Federico La Penna,14317631,01/05/2026,2026-05-01,53,Serie B,Serie B,Empoli,US Avellino 1912,1,0,4,1,60,46,21,22,43,3,1,0,1,0,0,4,1,0,0,0,5,0,Min 90' [Roja - Argument] | Min 83' [Amarilla - Time wasting] | Min 77' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 46' [Amarilla - Foul]
132779,Federico La Penna,13980109,26/04/2026,2026-04-26,23,Serie A,Serie A,Genoa,Como,0,2,4,0,40,37,12,15,27,1,3,0,0,2,0,2,0,0,0,2,2,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 39' [Amarilla - Foul] | Min 37' [Amarilla - Off the ball foul]
132779,Federico La Penna,14317565,11/04/2026,2026-04-11,53,Serie B,Serie B,Monza,Bari,2,0,3,0,30,64,8,9,17,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Simulation] | Min 70' [Amarilla - Foul] | Min 64' [Amarilla - Foul]
132779,Federico La Penna,13981726,06/04/2026,2026-04-06,23,Serie A,Serie A,Lecce,Atalanta,0,3,2,0,20,47,10,18,28,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 70' [Amarilla - Foul] | Min 47' [Amarilla - Foul]
132779,Federico La Penna,13981706,15/03/2026,2026-03-15,23,Serie A,Serie A,Pisa,Cagliari,3,1,5,2,90,37,14,16,30,1,4,1,1,0,1,5,1,0,0,1,6,0,Min 81' [Doble Amarilla - Argument] | Min 78' [Amarilla - Foul] | Min 61' [Amarilla - Time wasting] | Min 59' [Amarilla - Simulation] | Min 47' [Amarilla - Foul] | Min 37' [Roja - Violent conduct]
132779,Federico La Penna,14317746,08/03/2026,2026-03-08,53,Serie B,Serie B,Frosinone,Sampdoria,3,0,3,0,30,36,16,14,30,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 61' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
132779,Federico La Penna,14317729,28/02/2026,2026-02-28,53,Serie B,Serie B,Südtirol,Venezia,1,1,3,0,30,19,13,13,26,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
132779,Federico La Penna,13981671,14/02/2026,2026-02-14,23,Serie A,Serie A,Inter,Juventus,3,2,6,1,80,9,15,7,22,4,2,0,1,3,1,3,0,0,0,4,3,0,Min 90' [Amarilla - Sin motivo] | Min 79' [Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 42' [Doble Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 9' [Amarilla - Foul]
132779,Federico La Penna,13981647,31/01/2026,2026-01-31,23,Serie A,Serie A,SSC Napoli,Fiorentina,2,1,2,0,20,44,21,13,34,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 54' [Amarilla - Foul] | Min 44' [Amarilla - Foul]
