referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
133978,Angelos Evangelou,16559917,23/08/2026,2026-08-23,185,Super League Greece,Stoiximan Super League,PAOK,APO Levadiakos,4,0,0,0,0,,21,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
133978,Angelos Evangelou,15866538,21/05/2026,2026-05-21,185,Super League Greece,Stoiximan Super League,APS Atromitos Athinon,MGS Panserraikos,6,0,0,0,0,,15,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
133978,Angelos Evangelou,15866544,09/05/2026,2026-05-09,185,Super League Greece,Stoiximan Super League,AEL Novibet,Asteras Aktor,1,1,8,0,80,2,12,14,26,3,5,0,0,3,0,5,0,0,0,3,5,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Time wasting] | Min 61' [Amarilla - Argument] | Min 61' [Amarilla - Time wasting] | Min 59' [Amarilla - Argument] | Min 34' [Amarilla - Foul] | Min 23' [Amarilla - Foul] | Min 2' [Amarilla - Foul]
133978,Angelos Evangelou,15866555,18/04/2026,2026-04-18,185,Super League Greece,Stoiximan Super League,AE Kifisia,Asteras Aktor,0,0,4,0,40,57,10,11,21,1,3,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Argument] | Min 88' [Amarilla - Foul] | Min 60' [Amarilla - Foul] | Min 57' [Amarilla - Foul]
133978,Angelos Evangelou,14159184,22/03/2026,2026-03-22,185,Super League Greece,Stoiximan Super League,GFS Panetolikos,MGS Panserraikos,0,0,4,0,40,32,10,8,18,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 32' [Amarilla - Foul]
133978,Angelos Evangelou,14159169,15/03/2026,2026-03-15,185,Super League Greece,Stoiximan Super League,APS Atromitos Athinon,AEK Athens,2,2,4,0,40,18,20,17,37,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 48' [Amarilla - Argument] | Min 18' [Amarilla - Foul]
133978,Angelos Evangelou,15477451,04/03/2026,2026-03-04,185,Super League Greece,Stoiximan Super League,Panathinaikos FC,OFI Crete,4,1,4,0,40,55,14,9,23,1,3,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Argument] | Min 81' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 55' [Amarilla - Foul]
133978,Angelos Evangelou,14159148,14/02/2026,2026-02-14,185,Super League Greece,Stoiximan Super League,GFS Panetolikos,Asteras Aktor,3,1,4,0,40,40,10,10,20,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 90' [Amarilla - Time wasting] | Min 50' [Amarilla - Foul] | Min 40' [Amarilla - Argument] | Min 40' [Amarilla - Argument]
133978,Angelos Evangelou,14159124,24/01/2026,2026-01-24,185,Super League Greece,Stoiximan Super League,Asteras Aktor,AEK Athens,0,1,6,0,60,19,8,18,26,2,4,0,0,1,0,5,0,0,0,1,5,0,Min 86' [Amarilla - Argument] | Min 67' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 55' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
133978,Angelos Evangelou,14152050,20/12/2025,2025-12-20,185,Super League Greece,Stoiximan Super League,Olympiacos FC,AE Kifisia,1,1,5,1,70,17,11,18,29,0,5,0,1,2,0,3,1,0,0,2,4,0,Min 90' [Doble Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 45' [Amarilla - Time wasting] | Min 17' [Amarilla - Foul]
133978,Angelos Evangelou,14152032,07/12/2025,2025-12-07,185,Super League Greece,Stoiximan Super League,AEL Novibet,Panathinaikos FC,2,2,7,1,90,35,11,10,21,3,4,0,1,2,0,5,1,0,0,2,6,0,Min 90' [Doble Amarilla - Foul] | Min 85' [Amarilla - Argument] | Min 82' [Amarilla - Foul] | Min 77' [Amarilla - Sin motivo] | Min 56' [Amarilla - Foul] | Min 40' [Amarilla - Off the ball foul] | Min 35' [Amarilla - Foul]
133978,Angelos Evangelou,14152020,23/11/2025,2025-11-23,185,Super League Greece,Stoiximan Super League,MGS Panserraikos,Panathinaikos FC,0,3,3,0,30,14,13,7,20,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 63' [Amarilla - Foul] | Min 30' [Amarilla - Foul] | Min 14' [Amarilla - Foul]
133978,Angelos Evangelou,14152010,01/11/2025,2025-11-01,185,Super League Greece,Stoiximan Super League,APS Atromitos Athinon,AE Kifisia,1,2,5,0,50,9,5,18,23,1,4,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 88' [Amarilla - Time wasting] | Min 63' [Amarilla - Foul] | Min 9' [Amarilla - Foul]
133978,Angelos Evangelou,14152060,27/09/2025,2025-09-27,185,Super League Greece,Stoiximan Super League,Aris Thessaloniki,MGS Panserraikos,1,1,6,0,60,14,11,12,23,2,4,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 63' [Amarilla - Time wasting] | Min 48' [Amarilla - Foul] | Min 25' [Amarilla - Foul] | Min 14' [Amarilla - Foul]
133978,Angelos Evangelou,14151973,14/09/2025,2025-09-14,185,Super League Greece,Stoiximan Super League,OFI Crete,PAOK,1,2,3,1,50,31,10,16,26,2,1,1,0,2,0,1,1,0,0,2,2,0,Min 84' [Amarilla - Simulation] | Min 48' [Roja - Professional foul last man] | Min 42' [Amarilla - Foul] | Min 31' [Amarilla - Foul]
133978,Angelos Evangelou,13589197,26/04/2025,2025-04-26,185,Super League Greece,Stoiximan Super League,OFI Crete,Asteras Aktor,0,2,5,0,50,23,10,10,20,3,2,0,0,2,0,3,0,0,0,2,3,0,Min 80' [Amarilla - Argument] | Min 80' [Amarilla - Argument] | Min 52' [Amarilla - Foul] | Min 33' [Amarilla - Foul] | Min 23' [Amarilla - Sin motivo]
133978,Angelos Evangelou,13589449,23/04/2025,2025-04-23,185,Super League Greece,Stoiximan Super League,Athens Kallithea FC,APO Levadiakos,0,3,2,0,20,56,11,16,27,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 77' [Amarilla - Argument] | Min 56' [Amarilla - Foul]
133978,Angelos Evangelou,13589454,30/03/2025,2025-03-30,185,Super League Greece,Stoiximan Super League,MGS Panserraikos,PAS Lamia 1964,1,1,7,0,70,32,13,17,30,1,6,0,0,1,0,6,0,0,0,1,6,0,Min 90' [Amarilla - Sin motivo] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 83' [Amarilla - Foul] | Min 68' [Amarilla - Argument] | Min 32' [Amarilla - Foul]
133978,Angelos Evangelou,12568294,09/03/2025,2025-03-09,185,Super League Greece,Stoiximan Super League,Olympiacos FC,OFI Crete,1,0,3,1,50,16,10,10,20,0,3,0,1,2,1,1,0,0,0,3,1,0,Min 79' [Amarilla - Foul] | Min 43' [Doble Amarilla - Foul] | Min 16' [Amarilla - Foul]
133978,Angelos Evangelou,12568350,02/03/2025,2025-03-02,185,Super League Greece,Stoiximan Super League,APO Levadiakos,APS Atromitos Athinon,1,2,6,0,60,9,13,16,29,2,4,0,0,3,0,3,0,0,0,3,3,0,Min 90' [Amarilla - Leaving field] | Min 90' [Amarilla - Time wasting] | Min 57' [Amarilla - Foul] | Min 25' [Amarilla - Foul] | Min 17' [Amarilla - Foul] | Min 9' [Amarilla - Argument]
133978,Angelos Evangelou,12568347,23/02/2025,2025-02-23,185,Super League Greece,Stoiximan Super League,PAS Lamia 1964,Panathinaikos FC,3,1,6,0,60,29,11,14,25,2,4,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Sin motivo] | Min 72' [Amarilla - Argument] | Min 62' [Amarilla - Time wasting] | Min 31' [Amarilla - Foul] | Min 29' [Amarilla - Argument]
133978,Angelos Evangelou,12568343,09/02/2025,2025-02-09,185,Super League Greece,Stoiximan Super League,AEK Athens,MGS Panserraikos,5,0,5,0,50,50,13,9,22,2,3,0,0,0,0,5,0,0,0,0,5,0,Min 83' [Amarilla - Argument] | Min 79' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 75' [Amarilla - Foul] | Min 50' [Amarilla - Argument]
133978,Angelos Evangelou,12568322,26/01/2025,2025-01-26,185,Super League Greece,Stoiximan Super League,PAS Lamia 1964,Aris Thessaloniki,0,2,3,1,50,51,7,16,23,1,2,1,0,0,0,3,1,0,0,0,4,0,Min 89' [Roja - Violent conduct] | Min 58' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 51' [Amarilla - Foul]
133978,Angelos Evangelou,12568289,22/12/2024,2024-12-22,185,Super League Greece,Stoiximan Super League,Panathinaikos FC,Athens Kallithea FC,1,0,10,1,120,10,14,13,27,5,5,0,1,4,1,6,0,0,0,5,6,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Time wasting] | Min 85' [Amarilla - Argument] | Min 84' [Amarilla - Argument] | Min 70' [Amarilla - Time wasting] | Min 40' [Amarilla - Foul] | Min 33' [Doble Amarilla - Foul] | Min 19' [Amarilla - Foul] | Min 10' [Amarilla - Simulation]
133978,Angelos Evangelou,12568718,16/12/2024,2024-12-16,185,Super League Greece,Stoiximan Super League,Athens Kallithea FC,Olympiacos FC,1,1,5,0,50,59,10,13,23,2,3,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Sin motivo] | Min 86' [Amarilla - Foul] | Min 82' [Amarilla - Sin motivo] | Min 59' [Amarilla - Foul]
133978,Angelos Evangelou,12568732,07/12/2024,2024-12-07,185,Super League Greece,Stoiximan Super League,Aris Thessaloniki,APS Atromitos Athinon,2,1,6,0,60,28,20,11,31,3,3,0,0,3,0,3,0,0,0,3,3,0,Min 86' [Amarilla - Foul] | Min 69' [Amarilla - Argument] | Min 54' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 33' [Amarilla - Foul] | Min 28' [Amarilla - Foul]
133978,Angelos Evangelou,12568726,23/11/2024,2024-11-23,185,Super League Greece,Stoiximan Super League,PAS Lamia 1964,OFI Crete,1,1,3,0,30,2,21,14,35,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 68' [Amarilla - Argument] | Min 10' [Amarilla - Argument] | Min 2' [Amarilla - Foul]
133978,Angelos Evangelou,11451259,21/01/2024,2024-01-21,185,Super League Greece,Stoiximan Super League,APS Atromitos Athinon,AEK Athens,0,5,2,0,20,42,21,22,43,0,2,0,0,1,0,1,0,0,0,1,1,0,Min 81' [Amarilla - Sin motivo] | Min 42' [Amarilla - Foul]
133978,Angelos Evangelou,11451281,03/01/2024,2024-01-03,185,Super League Greece,Stoiximan Super League,Asteras Aktor,Aris Thessaloniki,3,2,4,0,40,55,19,13,32,1,3,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 55' [Amarilla - Foul]
133978,Angelos Evangelou,11451351,28/09/2023,2023-09-28,185,Super League Greece,Stoiximan Super League,Asteras Aktor,Panathinaikos FC,1,4,4,0,40,35,13,8,21,3,1,0,0,1,0,3,0,0,0,1,3,0,Min 79' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 35' [Amarilla - Argument]
133978,Angelos Evangelou,11451353,24/09/2023,2023-09-24,185,Super League Greece,Stoiximan Super League,PAS Giannina,PAOK,1,3,6,0,60,37,10,9,19,4,2,0,0,1,0,5,0,0,0,1,5,0,Min 78' [Amarilla - Argument] | Min 78' [Amarilla - Argument] | Min 76' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 70' [Amarilla - Argument] | Min 37' [Amarilla - Foul]
133978,Angelos Evangelou,11129915,14/05/2023,2023-05-14,185,Super League Greece,Stoiximan Super League,PAOK,Olympiacos FC,0,1,3,0,30,74,11,13,24,2,1,0,0,0,0,3,0,0,0,0,3,0,Min 89' [Amarilla - Argument] | Min 81' [Amarilla - Foul] | Min 74' [Amarilla - Foul]
133978,Angelos Evangelou,11129927,06/05/2023,2023-05-06,185,Super League Greece,Stoiximan Super League,PAS Lamia 1964,APO Levadiakos,1,1,7,0,70,33,14,16,30,4,3,0,0,1,0,6,0,0,0,1,6,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Time wasting] | Min 87' [Amarilla - Argument] | Min 86' [Amarilla - Argument] | Min 56' [Amarilla - Foul] | Min 55' [Amarilla - Foul] | Min 33' [Amarilla - Foul]
133978,Angelos Evangelou,11129896,23/04/2023,2023-04-23,185,Super League Greece,Stoiximan Super League,NPS Volos,Aris Thessaloniki,0,3,2,0,20,59,19,12,31,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 73' [Amarilla - Foul] | Min 59' [Amarilla - Argument]
133978,Angelos Evangelou,11129938,08/04/2023,2023-04-08,185,Super League Greece,Stoiximan Super League,OFI Crete,PAS Lamia 1964,4,1,8,0,80,39,18,18,36,5,3,0,0,3,0,5,0,0,0,3,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 86' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 44' [Amarilla - Sin motivo] | Min 43' [Amarilla - Foul] | Min 39' [Amarilla - Foul]
133978,Angelos Evangelou,10522150,12/03/2023,2023-03-12,185,Super League Greece,Stoiximan Super League,APS Atromitos Athinon,Panathinaikos FC,0,2,0,0,0,,13,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
133978,Angelos Evangelou,10522117,25/02/2023,2023-02-25,185,Super League Greece,Stoiximan Super League,PAS Giannina,PAOK,0,0,3,0,30,32,17,11,28,3,0,0,0,1,0,2,0,0,0,1,2,0,Min 84' [Amarilla - Foul] | Min 55' [Amarilla - Foul] | Min 32' [Amarilla - Time wasting]
133978,Angelos Evangelou,10522043,04/02/2023,2023-02-04,185,Super League Greece,Stoiximan Super League,OFI Crete,PAS Giannina,0,0,6,1,80,45,24,13,37,3,3,0,1,1,0,5,1,0,0,1,6,0,Min 90' [Amarilla - Argument] | Min 90' [Doble Amarilla - Time wasting] | Min 72' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 60' [Amarilla - Foul] | Min 45' [Amarilla - Argument]
133978,Angelos Evangelou,10522000,22/01/2023,2023-01-22,185,Super League Greece,Stoiximan Super League,APO Levadiakos,PAS Lamia 1964,0,0,4,0,40,35,15,25,40,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 82' [Amarilla - Foul] | Min 78' [Amarilla - Time wasting] | Min 45' [Amarilla - Foul] | Min 35' [Amarilla - Foul]
133978,Angelos Evangelou,10521946,03/01/2023,2023-01-03,185,Super League Greece,Stoiximan Super League,OFI Crete,NPS Volos,0,0,5,0,50,12,16,14,30,3,2,0,0,3,0,2,0,0,0,3,2,0,Min 90' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 34' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 12' [Amarilla - Foul]
133978,Angelos Evangelou,10522506,06/11/2022,2022-11-06,185,Super League Greece,Stoiximan Super League,GFS Panetolikos,APO Levadiakos,0,0,4,0,40,18,11,11,22,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 90' [Amarilla - Time wasting] | Min 86' [Amarilla - Foul] | Min 29' [Amarilla - Foul] | Min 18' [Amarilla - Foul]
133978,Angelos Evangelou,10522325,16/10/2022,2022-10-16,185,Super League Greece,Stoiximan Super League,PAS Giannina,OFI Crete,2,2,1,0,10,44,16,16,32,1,0,0,0,1,0,0,0,0,0,1,0,0,Min 44' [Amarilla - Argument]
133978,Angelos Evangelou,10521931,20/08/2022,2022-08-20,185,Super League Greece,Stoiximan Super League,PAOK,GFS Panetolikos,1,0,2,0,20,64,10,9,19,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 75' [Amarilla - Foul] | Min 64' [Amarilla - Foul]
133978,Angelos Evangelou,10185433,14/05/2022,2022-05-14,185,Super League Greece,Stoiximan Super League,Olympiacos FC,PAOK,1,1,3,0,30,14,10,19,29,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 50' [Amarilla - Sin motivo] | Min 31' [Amarilla - Sin motivo] | Min 14' [Amarilla - Sin motivo]
133978,Angelos Evangelou,10185460,17/04/2022,2022-04-17,185,Super League Greece,Stoiximan Super League,APS Atromitos Athinon,OFI Crete,1,1,1,0,10,85,15,15,30,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 85' [Amarilla - Sin motivo]
133978,Angelos Evangelou,10185458,02/04/2022,2022-04-02,185,Super League Greece,Stoiximan Super League,Asteras Aktor,APS Atromitos Athinon,0,0,1,1,30,85,24,16,40,1,0,0,1,0,0,1,1,0,0,0,2,0,Min 85' [Roja - Sin motivo] | Min 85' [Amarilla - Sin motivo]
133978,Angelos Evangelou,10129157,23/02/2022,2022-02-23,185,Super League Greece,Stoiximan Super League,Aris Thessaloniki,APS Atromitos Athinon,3,0,3,0,30,4,11,14,25,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 48' [Amarilla - Sin motivo] | Min 36' [Amarilla - Sin motivo] | Min 4' [Amarilla - Sin motivo]
133978,Angelos Evangelou,9712670,19/02/2022,2022-02-19,185,Super League Greece,Stoiximan Super League,AO Ionikos Nikeas,OFI Crete,0,0,5,0,50,36,15,18,33,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 89' [Amarilla - Sin motivo] | Min 86' [Amarilla - Sin motivo] | Min 78' [Amarilla - Sin motivo] | Min 56' [Amarilla - Sin motivo] | Min 36' [Amarilla - Sin motivo]
133978,Angelos Evangelou,10129151,16/02/2022,2022-02-16,185,Super League Greece,Stoiximan Super League,GS Apollon Smyrnis,Panathinaikos FC,0,3,4,0,40,12,15,16,31,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 82' [Amarilla - Sin motivo] | Min 77' [Amarilla - Sin motivo] | Min 54' [Amarilla - Sin motivo] | Min 12' [Amarilla - Sin motivo]
