referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
141037,Andre Filipe Domingues Narciso,16436397,22/08/2026,2026-08-22,239,Liga Portugal 2,Liga Portugal 2,Leixões SC,União de Leiria,2,4,6,1,80,18,21,17,38,4,2,1,0,2,0,4,1,0,0,2,5,0,Min 71' [Amarilla - Argument] | Min 70' [Amarilla - Argument] | Min 57' [Doble Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 28' [Amarilla - Foul] | Min 18' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,16450747,16/08/2026,2026-08-16,238,Liga Portugal,Liga Portugal Betclic,FC Arouca,Moreirense,4,0,7,0,70,13,10,9,19,3,4,0,0,4,0,3,0,0,0,4,3,0,Min 75' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 55' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 16' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14108975,09/05/2026,2026-05-09,239,Liga Portugal 2,Liga Portugal 2,Felgueiras,Portimonense SAD,1,1,4,0,40,45,19,10,29,4,0,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Argument] | Min 64' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14288885,03/05/2026,2026-05-03,238,Liga Portugal,Liga Portugal Betclic,Casa Pia,Tondela,0,1,11,2,150,49,22,19,41,8,3,2,0,0,0,11,2,0,0,0,13,0,Min 90' [Doble Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 75' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 55' [Roja - Violent conduct] | Min 51' [Amarilla - Foul] | Min 49' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14336442,25/04/2026,2026-04-25,239,Liga Portugal 2,Liga Portugal 2,Leixões SC,Portimonense SAD,2,0,4,0,40,43,,,,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 77' [Amarilla - Foul] | Min 67' [Amarilla - Handball] | Min 43' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14336433,18/04/2026,2026-04-18,239,Liga Portugal 2,Liga Portugal 2,União de Leiria,Penafiel,4,2,6,0,60,10,20,16,36,4,2,0,0,3,0,3,0,0,0,3,3,0,Min 90' [Amarilla - Foul] | Min 73' [Amarilla - Simulation] | Min 69' [Amarilla - Foul] | Min 33' [Amarilla - Sin motivo] | Min 20' [Amarilla - Foul] | Min 10' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14336422,11/04/2026,2026-04-11,239,Liga Portugal 2,Liga Portugal 2,SC Farense,Sporting CP B U21,2,1,3,0,30,36,13,17,30,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 87' [Amarilla - Foul] | Min 58' [Amarilla - Time wasting] | Min 36' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14288846,03/04/2026,2026-04-03,238,Liga Portugal,Liga Portugal Betclic,Sporting CP,Santa Clara,4,2,8,0,80,24,12,22,34,4,4,0,0,2,0,6,0,0,0,2,6,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Argument] | Min 76' [Amarilla - Foul] | Min 75' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 24' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14288835,22/03/2026,2026-03-22,238,Liga Portugal,Liga Portugal Betclic,Estoril Praia,Rio Ave,1,2,6,0,60,41,16,11,27,3,3,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Foul] | Min 85' [Amarilla - Argument] | Min 78' [Amarilla - Simulation] | Min 65' [Amarilla - Handball] | Min 41' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14336371,08/03/2026,2026-03-08,239,Liga Portugal 2,Liga Portugal 2,Leixões SC,União de Leiria,1,4,4,0,40,37,14,15,29,1,3,0,0,1,0,3,0,0,0,1,3,0,Min 72' [Amarilla - Time wasting] | Min 56' [Amarilla - Foul] | Min 53' [Amarilla - Argument] | Min 37' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14289002,23/02/2026,2026-02-23,238,Liga Portugal,Liga Portugal Betclic,Famalicão,Casa Pia,2,0,5,0,50,13,17,17,34,3,2,0,0,4,0,1,0,0,0,4,1,0,Min 65' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 29' [Amarilla - Argument] | Min 23' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14336297,15/01/2026,2026-01-15,239,Liga Portugal 2,Liga Portugal 2,Vizela,Paços de Ferreira,3,0,5,0,50,35,11,12,23,2,3,0,0,3,0,2,0,0,0,3,2,0,Min 74' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 41' [Amarilla - Time wasting] | Min 35' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14288923,02/01/2026,2026-01-02,238,Liga Portugal,Liga Portugal Betclic,Vitória SC,CD Nacional,2,1,4,0,40,25,20,18,38,1,3,0,0,2,0,2,0,0,0,2,2,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 36' [Amarilla - Foul] | Min 25' [Amarilla - Time wasting]
141037,Andre Filipe Domingues Narciso,14288840,22/12/2025,2025-12-22,238,Liga Portugal,Liga Portugal Betclic,Benfica,Famalicão,1,0,1,0,10,33,11,20,31,0,1,0,0,1,0,0,0,0,0,1,0,0,Min 33' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14132200,14/12/2025,2025-12-14,239,Liga Portugal 2,Liga Portugal 2,Paços de Ferreira,Lusitânia Lourosa,1,5,4,0,40,74,20,16,36,3,1,0,0,0,0,4,0,0,0,0,4,0,Min 85' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 74' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14132188,08/12/2025,2025-12-08,239,Liga Portugal 2,Liga Portugal 2,SC Farense,Vizela,2,0,9,0,90,12,21,11,32,4,5,0,0,3,0,6,0,0,0,3,6,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 45' [Amarilla - Simulation] | Min 16' [Amarilla - Foul] | Min 12' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14131963,30/11/2025,2025-11-30,238,Liga Portugal,Liga Portugal Betclic,FC Porto,Estoril Praia,1,0,4,0,40,12,14,11,25,1,3,0,0,3,0,1,0,0,0,3,1,0,Min 53' [Amarilla - Time wasting] | Min 42' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 12' [Amarilla - Foul]
141037,Andre Filipe Domingues Narciso,14131958,08/11/2025,2025-11-08,238,Liga Portugal,Liga Portugal Betclic,Tondela,Vitória SC,0,1,3,0,30,56,14,11,25,2,1,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 56' [Amarilla - Argument]
141037,Andre Filipe Domingues Narciso,13916319,24/05/2025,2025-05-24,239,Liga Portugal 2,Liga Portugal 2,C.F. Os Belenenses,Paços de Ferreira,2,1,9,0,90,3,,,,5,4,0,0,2,0,7,0,0,0,2,7,0,Min 90' [Amarilla - Sin motivo] | Min 90' [Amarilla - Sin motivo] | Min 78' [Amarilla - Sin motivo] | Min 77' [Amarilla - Sin motivo] | Min 77' [Amarilla - Sin motivo] | Min 72' [Amarilla - Sin motivo] | Min 70' [Amarilla - Sin motivo] | Min 44' [Amarilla - Sin motivo] | Min 3' [Amarilla - Sin motivo]
141037,Andre Filipe Domingues Narciso,12513668,17/05/2025,2025-05-17,238,Liga Portugal,Liga Portugal Betclic,FC Arouca,Boavista,4,1,3,0,30,33,16,16,32,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 69' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 33' [Amarilla - Foul]
