referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
148992,Lukas Fahndrich,16357154,29/08/2026,2026-08-29,215,Swiss Super League,Swiss Super League,FC Lausanne-Sport,FC Zürich,2,3,5,0,50,62,17,12,29,2,3,0,0,0,0,5,0,0,0,0,5,0,Min 80' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 65' [Amarilla - Argument] | Min 62' [Amarilla - Foul]
148992,Lukas Fahndrich,16357118,09/08/2026,2026-08-09,215,Swiss Super League,Swiss Super League,FC Lugano,FC Zürich,5,0,3,0,30,20,12,14,26,0,3,0,0,3,0,0,0,0,0,3,0,0,Min 45' [Amarilla - Foul] | Min 33' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
148992,Lukas Fahndrich,16357072,02/08/2026,2026-08-02,215,Swiss Super League,Swiss Super League,FC Sion,FC Luzern,3,0,1,1,30,3,7,13,20,1,0,0,1,0,1,1,0,0,0,1,1,0,Min 67' [Amarilla - Foul] | Min 3' [Roja - Foul]
148992,Lukas Fahndrich,16357185,26/07/2026,2026-07-26,215,Swiss Super League,Swiss Super League,BSC Young Boys,FC Sion,4,2,3,0,30,8,18,9,27,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 71' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 8' [Amarilla - Foul]
148992,Lukas Fahndrich,15916396,14/05/2026,2026-05-14,215,Swiss Super League,Swiss Super League,Basel,FC St. Gallen 1879,1,3,9,0,90,10,12,23,35,4,5,0,0,4,0,5,0,0,0,4,5,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 50' [Amarilla - Foul] | Min 47' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 13' [Amarilla - Foul] | Min 10' [Amarilla - Foul] | Min 10' [Amarilla - Foul]
148992,Lukas Fahndrich,15916403,09/05/2026,2026-05-09,215,Swiss Super League,Swiss Super League,FC Zürich,Grasshopper Club Zürich,2,1,3,1,50,23,12,13,25,2,1,0,1,1,1,2,0,0,0,2,2,0,Min 87' [Amarilla - Foul] | Min 79' [Amarilla - Time wasting] | Min 45' [Roja - Violent conduct] | Min 23' [Amarilla - Foul]
148992,Lukas Fahndrich,15916411,26/04/2026,2026-04-26,215,Swiss Super League,Swiss Super League,Basel,FC Sion,0,2,1,0,10,73,13,7,20,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 73' [Amarilla - Foul]
148992,Lukas Fahndrich,15362728,04/04/2026,2026-04-04,215,Swiss Super League,Swiss Super League,Basel,BSC Young Boys,3,3,4,0,40,22,6,16,22,1,3,0,0,2,0,2,0,0,0,2,2,0,Min 74' [Amarilla - Foul] | Min 62' [Amarilla - Argument] | Min 29' [Amarilla - Foul] | Min 22' [Amarilla - Foul]
148992,Lukas Fahndrich,15362711,21/03/2026,2026-03-21,215,Swiss Super League,Swiss Super League,FC Zürich,FC Thun,2,1,5,0,50,25,15,19,34,3,2,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Argument] | Min 84' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 25' [Amarilla - Foul]
148992,Lukas Fahndrich,15362696,04/03/2026,2026-03-04,215,Swiss Super League,Swiss Super League,FC Luzern,BSC Young Boys,1,2,4,1,60,25,10,6,16,2,2,1,0,2,1,2,0,0,0,3,2,0,Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Time wasting] | Min 42' [Doble Amarilla - Foul] | Min 25' [Amarilla - Foul]
