referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
225478,Horatiu Fesnic,16403870,28/08/2026,2026-08-28,152,Liga I,SuperLiga României,FC Voluntari,SC Oțelul Galați,2,2,1,0,10,70,8,16,24,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 70' [Amarilla - Foul]
225478,Horatiu Fesnic,16403860,24/08/2026,2026-08-24,152,Liga I,SuperLiga României,FC Botoșani,FK Csíkszereda Miercurea Ciuc,1,0,7,1,90,18,18,18,36,3,4,0,1,3,1,4,0,0,0,4,4,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 60' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 37' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 18' [Roja - Foul]
225478,Horatiu Fesnic,16403852,15/08/2026,2026-08-15,152,Liga I,SuperLiga României,FC Rapid București,FC Dinamo București,0,1,3,0,30,8,16,10,26,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 72' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 8' [Amarilla - Time wasting]
225478,Horatiu Fesnic,16403841,02/08/2026,2026-08-02,152,Liga I,SuperLiga României,FC Corvinul Hunedoara,Sepsi OSK Sfântu Gheorghe,1,1,3,0,30,30,13,10,23,0,3,0,0,2,0,1,0,0,0,2,1,0,Min 50' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 30' [Amarilla - Foul]
225478,Horatiu Fesnic,16403836,24/07/2026,2026-07-24,152,Liga I,SuperLiga României,FC Argeș Pitești,FC Petrolul Ploiești,1,0,10,1,120,10,21,14,35,4,6,1,0,3,1,7,0,0,0,4,7,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 69' [Amarilla - Argument] | Min 69' [Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 43' [Amarilla - Argument] | Min 43' [Roja - Violent conduct] | Min 28' [Amarilla - Foul] | Min 10' [Amarilla - Foul]
225478,Horatiu Fesnic,16205132,24/05/2026,2026-05-24,152,Liga I,SuperLiga României,FC Hermannstadt,FC Voluntari,3,2,7,0,70,34,12,6,18,3,4,0,0,3,0,4,0,0,0,3,4,0,Min 85' [Amarilla - Sin motivo] | Min 85' [Amarilla - Sin motivo] | Min 64' [Amarilla - Sin motivo] | Min 63' [Amarilla - Sin motivo] | Min 43' [Amarilla - Sin motivo] | Min 34' [Amarilla - Sin motivo] | Min 34' [Amarilla - Sin motivo]
225478,Horatiu Fesnic,15689822,18/05/2026,2026-05-18,152,Liga I,SuperLiga României,AFC Unirea 04 Slobozia,UTA Arad,0,1,7,0,70,35,10,13,23,3,4,0,0,4,0,3,0,0,0,4,3,0,Min 87' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 35' [Amarilla - Time wasting]
225478,Horatiu Fesnic,15689836,09/05/2026,2026-05-09,152,Liga I,SuperLiga României,SC Oțelul Galați,FCV Farul Constanța,3,2,8,0,80,14,17,15,32,4,4,0,0,1,0,7,0,0,0,1,7,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Time wasting] | Min 87' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 68' [Amarilla - Argument] | Min 14' [Amarilla - Foul]
225478,Horatiu Fesnic,15689854,12/04/2026,2026-04-12,152,Liga I,SuperLiga României,AFC Unirea 04 Slobozia,FC Petrolul Ploiești,1,2,8,1,100,13,9,18,27,4,4,1,0,2,1,6,0,0,0,3,6,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Simulation] | Min 89' [Amarilla - Time wasting] | Min 87' [Amarilla - Foul] | Min 76' [Amarilla - Argument] | Min 76' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 17' [Roja - Foul] | Min 13' [Amarilla - Foul]
225478,Horatiu Fesnic,15689852,05/04/2026,2026-04-05,152,Liga I,SuperLiga României,UTA Arad,FC Metaloglobus București,5,1,4,0,40,36,10,10,20,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 90' [Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
225478,Horatiu Fesnic,15698594,19/03/2026,2026-03-19,152,Liga I,SuperLiga României,FC Dinamo București,Universitatea Craiova,0,1,8,1,100,44,16,15,31,5,3,0,1,2,1,6,0,0,0,3,6,0,Min 83' [Amarilla - Argument] | Min 83' [Amarilla - Argument] | Min 83' [Amarilla - Foul] | Min 82' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 45' [Roja - Foul] | Min 45' [Amarilla - Argument] | Min 44' [Amarilla - Argument]
