referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
244037,Anderson Daronco,15235449,29/08/2026,2026-08-29,325,Brasileirão Série A,Brasileirão Betano,São Paulo,Red Bull Bragantino,2,1,5,0,50,45,11,14,25,1,4,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 84' [Amarilla - Time wasting] | Min 83' [Amarilla - Argument] | Min 45' [Amarilla - Foul]
244037,Anderson Daronco,15235437,23/08/2026,2026-08-23,325,Brasileirão Série A,Brasileirão Betano,Coritiba,Corinthians,2,1,4,0,40,42,8,9,17,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 67' [Amarilla - Argument] | Min 67' [Amarilla - Argument] | Min 42' [Amarilla - Argument] | Min 42' [Amarilla - Argument]
244037,Anderson Daronco,15235422,15/08/2026,2026-08-15,325,Brasileirão Série A,Brasileirão Betano,Fluminense,Palmeiras,3,2,7,0,70,34,16,17,33,4,3,0,0,1,0,6,0,0,0,1,6,0,Min 90' [Amarilla - Argument] | Min 86' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
244037,Anderson Daronco,15237985,26/07/2026,2026-07-26,325,Brasileirão Série A,Brasileirão Betano,Flamengo,São Paulo,1,1,4,0,40,63,15,19,34,1,3,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Argument] | Min 88' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 63' [Amarilla - Foul]
244037,Anderson Daronco,15237982,22/07/2026,2026-07-22,325,Brasileirão Série A,Brasileirão Betano,Coritiba,Palmeiras,1,3,4,0,40,15,10,16,26,1,3,0,0,3,0,1,0,0,0,3,1,0,Min 79' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 15' [Amarilla - Argument]
244037,Anderson Daronco,15526152,28/06/2026,2026-06-28,390,Brasileirão Série B,Brasileirão Série B,Fortaleza,Sport Recife,2,1,5,0,50,57,20,9,29,3,2,0,0,0,0,5,0,0,0,0,5,0,Min 73' [Amarilla - Foul] | Min 58' [Amarilla - Argument] | Min 58' [Amarilla - Argument] | Min 57' [Amarilla - Foul] | Min 57' [Amarilla - Foul]
244037,Anderson Daronco,15526147,20/06/2026,2026-06-20,390,Brasileirão Série B,Brasileirão Série B,Vila Nova FC,Náutico,4,3,4,0,40,16,14,12,26,2,2,0,0,3,0,1,0,0,0,3,1,0,Min 90' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 34' [Amarilla - Foul] | Min 16' [Amarilla - Foul]
244037,Anderson Daronco,15235590,31/05/2026,2026-05-31,325,Brasileirão Série A,Brasileirão Betano,Vasco da Gama,Atlético Mineiro,0,1,2,0,20,34,20,17,37,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 88' [Amarilla - Time wasting] | Min 34' [Amarilla - Foul]
244037,Anderson Daronco,15235578,25/05/2026,2026-05-25,325,Brasileirão Série A,Brasileirão Betano,Coritiba,Bahia,3,2,3,0,30,30,11,17,28,0,3,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Foul] | Min 76' [Amarilla - Simulation] | Min 30' [Amarilla - Handball]
244037,Anderson Daronco,15235554,10/05/2026,2026-05-10,325,Brasileirão Série A,Brasileirão Betano,Corinthians,São Paulo,3,2,8,0,80,45,12,13,25,4,4,0,0,4,0,4,0,0,0,4,4,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 73' [Amarilla - Argument] | Min 45' [Amarilla - Argument] | Min 45' [Amarilla - Argument] | Min 45' [Amarilla - Argument] | Min 45' [Amarilla - Argument]
