referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
262437,Fernando Echenique,16667392,17/08/2026,2026-08-17,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Estudiantes de Río Cuarto,Atlético Tucumán,0,1,5,1,70,23,12,15,27,1,4,0,1,2,0,3,1,0,0,2,4,0,Min 89' [Doble Amarilla - Foul] | Min 77' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
262437,Fernando Echenique,16431115,05/08/2026,2026-08-05,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Tigre,Club Atlético Belgrano,0,0,5,1,70,35,6,19,25,1,4,0,1,1,0,4,1,0,0,1,5,0,Min 90' [Amarilla - Argument] | Min 87' [Doble Amarilla - Argument] | Min 87' [Amarilla - Argument] | Min 75' [Amarilla - Foul] | Min 35' [Amarilla - Foul]
262437,Fernando Echenique,16431107,28/07/2026,2026-07-28,155,Liga Profesional Argentina,Liga Profesional de Fútbol,San Lorenzo,Gimnasia y Esgrima Mendoza,1,0,4,0,40,52,11,14,25,0,4,0,0,0,0,4,0,0,0,0,4,0,Min 84' [Amarilla - Foul] | Min 75' [Amarilla - Time wasting] | Min 69' [Amarilla - Foul] | Min 52' [Amarilla - Foul]
262437,Fernando Echenique,16161472,12/05/2026,2026-05-12,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Argentinos Juniors,Huracán,1,0,8,0,80,27,14,29,43,2,6,0,0,2,0,3,0,3,0,2,3,3,Min 112' [Amarilla - Foul] | Min 108' [Amarilla - Argument] | Min 107' [Amarilla - Argument] | Min 76' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 50' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 27' [Amarilla - Foul]
262437,Fernando Echenique,15269955,19/04/2026,2026-04-19,155,Liga Profesional Argentina,Liga Profesional de Fútbol,CA Talleres,Deportivo Riestra,2,0,4,0,40,23,10,13,23,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 62' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 30' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
262437,Fernando Echenique,15269941,12/04/2026,2026-04-12,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Huracán,Rosario Central,3,1,3,0,30,45,15,8,23,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 75' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
262437,Fernando Echenique,15270031,22/03/2026,2026-03-22,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Argentinos Juniors,Club Atlético Platense,1,0,7,0,70,11,13,14,27,2,5,0,0,4,0,3,0,0,0,4,3,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 64' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 41' [Amarilla - Handball] | Min 36' [Amarilla - Time wasting] | Min 11' [Amarilla - Foul]
262437,Fernando Echenique,15269956,03/03/2026,2026-03-03,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Atlético Tucumán,Racing Club,0,3,5,0,50,16,9,15,24,1,4,0,0,2,0,3,0,0,0,2,3,0,Min 71' [Amarilla - Foul] | Min 65' [Amarilla - Time wasting] | Min 47' [Amarilla - Foul] | Min 22' [Amarilla - Foul] | Min 16' [Amarilla - Foul]
262437,Fernando Echenique,15269931,25/02/2026,2026-02-25,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Gimnasia y Esgrima,Rosario Central,1,2,7,1,90,45,14,20,34,4,3,1,0,1,0,6,1,0,0,1,7,0,Min 89' [Amarilla - Foul] | Min 82' [Amarilla - Foul] | Min 73' [Doble Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
262437,Fernando Echenique,15270131,21/02/2026,2026-02-21,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Deportivo Riestra,Huracán,0,0,8,1,100,7,21,10,31,5,3,0,1,2,0,6,1,0,0,2,7,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 48' [Doble Amarilla - Foul] | Min 30' [Amarilla - Foul] | Min 7' [Amarilla - Argument]
