referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
272661,Richard Martens,16316766,22/08/2026,2026-08-22,37,Eredivisie,VriendenLoterij Eredivisie,SC Heerenveen,PEC Zwolle,0,2,3,0,30,40,6,13,19,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 79' [Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 40' [Amarilla - Simulation]
272661,Richard Martens,16317355,14/08/2026,2026-08-14,131,Eerste Divisie,Eerste Divisie,RKC Waalwijk,FC Dordrecht,2,2,5,0,50,34,12,11,23,1,4,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Argument] | Min 61' [Amarilla - Foul] | Min 60' [Amarilla - Foul] | Min 56' [Amarilla - Handball] | Min 34' [Amarilla - Foul]
272661,Richard Martens,16317341,07/08/2026,2026-08-07,131,Eerste Divisie,Eerste Divisie,Vitesse,RKC Waalwijk,1,1,5,1,70,27,9,13,22,2,3,1,0,2,0,3,1,0,0,2,4,0,Min 84' [Amarilla - Argument] | Min 83' [Roja - Violent conduct] | Min 75' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 42' [Amarilla - Foul] | Min 27' [Amarilla - Foul]
272661,Richard Martens,14028559,17/05/2026,2026-05-17,37,Eredivisie,VriendenLoterij Eredivisie,Heracles Almelo,FC Groningen,1,2,2,0,20,87,8,5,13,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 90' [Amarilla - Time wasting] | Min 87' [Amarilla - Foul]
272661,Richard Martens,14028533,10/05/2026,2026-05-10,37,Eredivisie,VriendenLoterij Eredivisie,Fortuna Sittard,PEC Zwolle,3,2,1,0,10,89,7,11,18,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 89' [Amarilla - Foul]
272661,Richard Martens,14039034,24/04/2026,2026-04-24,131,Eerste Divisie,Eerste Divisie,RKC Waalwijk,Jong PSV Eindhoven,4,1,2,1,40,47,10,6,16,2,0,1,0,0,0,2,1,0,0,0,3,0,Min 77' [Amarilla - Foul] | Min 70' [Roja - Foul] | Min 47' [Amarilla - Foul]
272661,Richard Martens,14056578,10/04/2026,2026-04-10,131,Eerste Divisie,Eerste Divisie,FC Den Bosch,SC Cambuur,1,1,3,0,30,60,12,11,23,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Argument] | Min 88' [Amarilla - Foul] | Min 60' [Amarilla - Foul]
272661,Richard Martens,14053758,04/04/2026,2026-04-04,37,Eredivisie,VriendenLoterij Eredivisie,AZ Alkmaar,Fortuna Sittard,2,0,3,0,30,45,11,14,25,0,3,0,0,1,0,2,0,0,0,1,2,0,Min 69' [Amarilla - Foul] | Min 54' [Amarilla - Persistent fouling] | Min 45' [Amarilla - Foul]
272661,Richard Martens,14056332,13/03/2026,2026-03-13,131,Eerste Divisie,Eerste Divisie,FC Emmen,ADO Den Haag,0,1,5,0,50,36,15,18,33,4,1,0,0,1,0,4,0,0,0,1,4,0,Min 80' [Amarilla - Argument] | Min 67' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 55' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
272661,Richard Martens,14056686,06/03/2026,2026-03-06,131,Eerste Divisie,Eerste Divisie,VVV-Venlo,RKC Waalwijk,0,3,1,0,10,90,12,7,19,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 90' [Amarilla - Foul]
