referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
273389,Livio Marinelli,16607556,30/08/2026,2026-08-30,53,Serie B,Serie B,Arezzo,Palermo,2,3,3,0,30,44,13,13,26,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 85' [Amarilla - Argument] | Min 69' [Amarilla - Foul] | Min 44' [Amarilla - Foul]
273389,Livio Marinelli,16283050,22/08/2026,2026-08-22,23,Serie A,Serie A,Inter,Monza,4,1,4,0,40,34,5,14,19,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 84' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
273389,Livio Marinelli,16153569,12/05/2026,2026-05-12,53,Serie B,Serie B,Catanzaro,US Avellino 1912,3,0,1,0,10,15,20,12,32,0,1,0,0,1,0,0,0,0,0,1,0,0,Min 15' [Amarilla - Foul]
273389,Livio Marinelli,14317648,08/05/2026,2026-05-08,53,Serie B,Serie B,Südtirol,Juve Stabia,1,1,1,0,10,90,11,7,18,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 90' [Amarilla - Foul]
273389,Livio Marinelli,13980110,26/04/2026,2026-04-26,23,Serie A,Serie A,Fiorentina,Sassuolo,0,0,3,0,30,30,13,12,25,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 81' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 30' [Amarilla - Foul]
273389,Livio Marinelli,14317574,19/04/2026,2026-04-19,53,Serie B,Serie B,Empoli,Virtus Entella,1,1,4,0,40,20,11,13,24,1,3,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 64' [Amarilla - Time wasting] | Min 55' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
273389,Livio Marinelli,14317552,06/04/2026,2026-04-06,53,Serie B,Serie B,Reggiana,Pescara,1,3,3,1,50,63,15,21,36,0,3,1,0,0,0,3,1,0,0,0,4,0,Min 90' [Roja - Argument] | Min 90' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 63' [Amarilla - Sin motivo]
273389,Livio Marinelli,14317618,21/03/2026,2026-03-21,53,Serie B,Serie B,Padova,Palermo,0,1,4,2,80,25,10,12,22,3,1,1,1,0,1,4,1,0,0,1,5,0,Min 90' [Doble Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 59' [Amarilla - Argument] | Min 48' [Amarilla - Foul] | Min 25' [Roja - Foul]
273389,Livio Marinelli,13981693,07/03/2026,2026-03-07,23,Serie A,Serie A,Cagliari,Como,1,2,4,0,40,65,17,18,35,3,1,0,0,0,0,4,0,0,0,0,4,0,Min 89' [Amarilla - Foul] | Min 83' [Amarilla - Foul] | Min 71' [Amarilla - Simulation] | Min 65' [Amarilla - Simulation]
273389,Livio Marinelli,13981681,20/02/2026,2026-02-20,23,Serie A,Serie A,Sassuolo,Hellas Verona,3,0,5,1,70,17,12,14,26,2,3,0,1,2,0,3,1,0,0,2,4,0,Min 85' [Doble Amarilla - Foul] | Min 78' [Amarilla - Argument] | Min 51' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 17' [Amarilla - Foul]
