referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
327871,Andres Merlos,16671572,22/08/2026,2026-08-22,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Atlético Tucumán,Instituto De Córdoba,0,0,5,0,50,10,8,3,11,3,2,0,0,2,0,3,0,0,0,2,3,0,Min 85' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 49' [Amarilla - Argument] | Min 13' [Amarilla - Argument] | Min 10' [Amarilla - Foul]
327871,Andres Merlos,16667393,14/08/2026,2026-08-14,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Racing Club,Banfield,0,1,4,0,40,4,9,11,20,2,2,0,0,3,0,1,0,0,0,3,1,0,Min 55' [Amarilla - Foul] | Min 33' [Amarilla - Argument] | Min 13' [Amarilla - Foul] | Min 4' [Amarilla - Foul]
327871,Andres Merlos,16667379,08/08/2026,2026-08-08,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Deportivo Riestra,Estudiantes de La Plata,2,0,7,0,70,7,15,13,28,3,4,0,0,3,0,4,0,0,0,3,4,0,Min 90' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 53' [Amarilla - Argument] | Min 53' [Amarilla - Argument] | Min 45' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 7' [Amarilla - Handball]
327871,Andres Merlos,16431129,02/08/2026,2026-08-02,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Newell's Old Boys,Boca Juniors,2,2,5,0,50,43,12,11,23,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 80' [Amarilla - Foul] | Min 68' [Amarilla - Argument] | Min 53' [Amarilla - Foul] | Min 45' [Amarilla - Handball] | Min 43' [Amarilla - Foul]
327871,Andres Merlos,16431117,30/07/2026,2026-07-30,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Central Córdoba,Atlético Tucumán,0,2,2,0,20,52,10,13,23,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 89' [Amarilla - Foul] | Min 52' [Amarilla - Foul]
327871,Andres Merlos,16431096,24/07/2026,2026-07-24,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Vélez Sarsfield,Instituto De Córdoba,1,0,4,0,40,18,7,9,16,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 79' [Amarilla - Handball] | Min 75' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 18' [Amarilla - Foul]
327871,Andres Merlos,16161469,12/05/2026,2026-05-12,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Club Atlético Belgrano,Club Atlético Unión de Santa Fe,2,0,3,0,30,76,4,8,12,0,3,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 76' [Amarilla - Foul]
327871,Andres Merlos,15718663,04/05/2026,2026-05-04,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Estudiantes de Río Cuarto,Instituto De Córdoba,0,2,2,1,40,23,6,15,21,1,1,1,0,1,1,1,0,0,0,2,1,0,Min 90' [Amarilla - Foul] | Min 36' [Amarilla - Persistent fouling] | Min 23' [Roja - Violent conduct]
327871,Andres Merlos,15269973,19/04/2026,2026-04-19,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Rosario Central,Sarmiento,2,1,1,0,10,76,10,11,21,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 76' [Amarilla - Time wasting]
327871,Andres Merlos,15269935,11/04/2026,2026-04-11,155,Liga Profesional Argentina,Liga Profesional de Fútbol,Boca Juniors,CA Independiente,1,1,3,0,30,35,7,17,24,0,3,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 35' [Amarilla - Sin motivo]
