referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
67880,Markus Hameter,16194352,19/05/2026,2026-05-19,45,Austrian Bundesliga,Austrian Bundesliga,SV Ried,Wolfsberger AC,2,1,4,0,40,37,5,13,18,1,3,0,0,1,0,3,0,0,0,1,3,0,Min 72' [Amarilla - Argument] | Min 61' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 37' [Amarilla - Foul]
67880,Markus Hameter,15690637,10/05/2026,2026-05-10,45,Austrian Bundesliga,Austrian Bundesliga,LASK,Red Bull Salzburg,2,1,2,0,20,88,9,10,19,2,0,0,0,0,0,2,0,0,0,0,2,0,Min 90' [Amarilla - Time wasting] | Min 88' [Amarilla - Foul]
67880,Markus Hameter,15690628,26/04/2026,2026-04-26,45,Austrian Bundesliga,Austrian Bundesliga,TSV Hartberg,LASK,1,5,4,0,40,52,11,11,22,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 89' [Amarilla - Foul] | Min 59' [Amarilla - Off the ball foul] | Min 57' [Amarilla - Argument] | Min 52' [Amarilla - Foul]
67880,Markus Hameter,15690636,19/04/2026,2026-04-19,45,Austrian Bundesliga,Austrian Bundesliga,FK Austria Wien,Red Bull Salzburg,1,3,6,0,60,14,15,17,32,2,4,0,0,3,0,3,0,0,0,3,3,0,Min 86' [Amarilla - Foul] | Min 62' [Amarilla - Off the ball foul] | Min 50' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 35' [Amarilla - Foul] | Min 14' [Amarilla - Foul]
67880,Markus Hameter,15690647,04/04/2026,2026-04-04,45,Austrian Bundesliga,Austrian Bundesliga,Grazer AK 1902,FC Blau Weiss Linz,2,1,4,0,40,45,9,13,22,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 79' [Amarilla - Sin motivo] | Min 62' [Amarilla - Argument] | Min 45' [Amarilla - Foul]
67880,Markus Hameter,15689968,15/03/2026,2026-03-15,45,Austrian Bundesliga,Austrian Bundesliga,Red Bull Salzburg,SK Rapid Wien,0,1,5,1,70,19,16,12,28,1,4,1,0,2,0,3,1,0,0,2,4,0,Min 79' [Amarilla - Foul] | Min 76' [Amarilla - Argument] | Min 76' [Amarilla - Time wasting] | Min 67' [Roja - Professional foul last man] | Min 22' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
67880,Markus Hameter,14065688,01/03/2026,2026-03-01,45,Austrian Bundesliga,Austrian Bundesliga,Grazer AK 1902,SV Ried,2,1,8,1,100,33,13,13,26,5,3,1,0,2,0,6,1,0,0,2,7,0,Min 90' [Roja - Foul] | Min 89' [Amarilla - Time wasting] | Min 88' [Amarilla - Foul] | Min 86' [Amarilla - Unallowed field entering] | Min 85' [Amarilla - Argument] | Min 82' [Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 33' [Amarilla - Foul]
67880,Markus Hameter,14065673,15/02/2026,2026-02-15,45,Austrian Bundesliga,Austrian Bundesliga,FK Austria Wien,SK Rapid Wien,2,0,4,0,40,55,20,10,30,1,3,0,0,0,0,4,0,0,0,0,4,0,Min 83' [Amarilla - Foul] | Min 74' [Amarilla - Argument] | Min 73' [Amarilla - Foul] | Min 55' [Amarilla - Foul]
67880,Markus Hameter,14065651,29/11/2025,2025-11-29,45,Austrian Bundesliga,Austrian Bundesliga,Grazer AK 1902,FC Blau Weiss Linz,3,1,6,0,60,11,18,15,33,3,3,0,0,4,0,2,0,0,0,4,2,0,Min 90' [Amarilla - Foul] | Min 60' [Amarilla - Time wasting] | Min 45' [Amarilla - Foul] | Min 44' [Amarilla - Handball] | Min 31' [Amarilla - Foul] | Min 11' [Amarilla - Foul]
67880,Markus Hameter,14065628,02/11/2025,2025-11-02,45,Austrian Bundesliga,Austrian Bundesliga,SK Rapid Wien,SK Sturm Graz,2,1,5,0,50,65,9,15,24,4,1,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Time wasting] | Min 86' [Amarilla - Foul] | Min 77' [Amarilla - Foul] | Min 65' [Amarilla - Foul]
