referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
785119,Aurelien Petit,16310920,22/08/2026,2026-08-22,34,Ligue 1,Ligue 1,Le Mans,Stade Brestois,2,2,2,0,20,43,14,12,26,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 51' [Amarilla - Foul] | Min 43' [Amarilla - Foul]
785119,Aurelien Petit,16386174,08/08/2026,2026-08-08,182,Ligue 2,Ligue 2,Metz,Guingamp,2,1,3,0,30,19,16,10,26,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
785119,Aurelien Petit,16189996,24/05/2026,2026-05-24,182,Ligue 2,Ligue 2,Stade Lavallois,FC Rouen,1,0,6,1,80,12,18,14,32,3,3,0,1,3,1,3,0,0,0,4,3,0,Min 78' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 37' [Amarilla - Foul] | Min 35' [Amarilla - Foul] | Min 35' [Amarilla - Argument] | Min 12' [Roja - Foul]
785119,Aurelien Petit,14061915,09/05/2026,2026-05-09,182,Ligue 2,Ligue 2,Red Star FC,Montpellier,1,1,2,0,20,37,7,14,21,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 61' [Amarilla - Foul] | Min 37' [Amarilla - Argument]
785119,Aurelien Petit,15665335,27/04/2026,2026-04-27,182,Ligue 2,Ligue 2,US Boulogne Côte-d'Opale,USL Dunkerque,2,6,2,1,40,17,9,14,23,1,1,1,0,1,0,1,1,0,0,1,2,0,Min 67' [Roja - Foul] | Min 50' [Amarilla - Simulation] | Min 17' [Amarilla - Foul]
785119,Aurelien Petit,14064746,03/04/2026,2026-04-03,182,Ligue 2,Ligue 2,Red Star FC,Stade Lavallois,0,0,5,0,50,17,11,12,23,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 89' [Amarilla - Foul] | Min 89' [Amarilla - Argument] | Min 80' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 17' [Amarilla - Foul]
785119,Aurelien Petit,14064742,21/03/2026,2026-03-21,182,Ligue 2,Ligue 2,Saint-Étienne,Annecy FC,4,0,2,0,20,8,19,13,32,1,1,0,0,2,0,0,0,0,0,2,0,0,Min 45' [Amarilla - Foul] | Min 8' [Amarilla - Foul]
785119,Aurelien Petit,14064726,07/03/2026,2026-03-07,182,Ligue 2,Ligue 2,Troyes,Clermont Foot,2,1,3,0,30,43,19,15,34,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 73' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 43' [Amarilla - Foul]
785119,Aurelien Petit,14064836,20/02/2026,2026-02-20,182,Ligue 2,Ligue 2,USL Dunkerque,Bastia,1,1,3,0,30,57,11,13,24,2,1,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 57' [Amarilla - Foul]
785119,Aurelien Petit,14383012,06/02/2026,2026-02-06,182,Ligue 2,Ligue 2,US Boulogne Côte-d'Opale,Rodez AF,1,2,6,0,60,4,16,23,39,4,2,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 80' [Amarilla - Argument] | Min 80' [Amarilla - Foul] | Min 52' [Amarilla - Argument] | Min 35' [Amarilla - Foul] | Min 4' [Amarilla - Foul]
