referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
785240,Halil Umut Meler,16483634,16/08/2026,2026-08-16,52,Süper Lig,Trendyol Süper Lig,Amed Sportif Faaliyetler,Erzurumspor FK,3,0,1,0,10,90,10,12,22,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 90' [Amarilla - Foul]
785240,Halil Umut Meler,14109926,17/05/2026,2026-05-17,52,Süper Lig,Trendyol Süper Lig,Antalyaspor,Kocaelispor,1,0,12,0,120,38,21,21,42,6,6,0,0,2,0,10,0,0,0,2,10,0,Min 90' [Amarilla - Foul] | Min 79' [Amarilla - Sin motivo] | Min 77' [Amarilla - Argument] | Min 74' [Amarilla - Time wasting] | Min 73' [Amarilla - Argument] | Min 73' [Amarilla - Argument] | Min 71' [Amarilla - Time wasting] | Min 63' [Amarilla - Argument] | Min 61' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
785240,Halil Umut Meler,14109909,09/05/2026,2026-05-09,52,Süper Lig,Trendyol Süper Lig,Eyüpspor,Çaykur Rizespor,4,0,0,0,0,,8,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
785240,Halil Umut Meler,15866459,03/05/2026,2026-05-03,185,Super League Greece,Stoiximan Super League,Panathinaikos FC,AEK Athens,0,0,5,1,70,17,13,19,32,1,4,1,0,3,1,2,0,0,0,4,2,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 42' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 17' [Roja - Professional foul last man]
785240,Halil Umut Meler,14109893,27/04/2026,2026-04-27,52,Süper Lig,Trendyol Süper Lig,Konyaspor,Trabzonspor,2,1,4,0,40,17,12,4,16,4,0,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Time wasting] | Min 87' [Amarilla - Argument] | Min 17' [Amarilla - Foul]
785240,Halil Umut Meler,15866467,19/04/2026,2026-04-19,185,Super League Greece,Stoiximan Super League,Panathinaikos FC,Olympiacos FC,0,2,7,0,70,9,9,19,28,4,3,0,0,2,0,5,0,0,0,2,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 69' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 67' [Amarilla - Argument] | Min 13' [Amarilla - Foul] | Min 9' [Amarilla - Foul]
785240,Halil Umut Meler,14109861,05/04/2026,2026-04-05,52,Süper Lig,Trendyol Süper Lig,Samsunspor,Konyaspor,2,2,5,1,70,10,12,14,26,1,4,0,1,2,0,3,1,0,0,2,4,0,Min 90' [Doble Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 63' [Amarilla - Argument] | Min 29' [Amarilla - Foul] | Min 10' [Amarilla - Foul]
785240,Halil Umut Meler,14109855,19/03/2026,2026-03-19,52,Süper Lig,Trendyol Süper Lig,Kayserispor,Fatih Karagümrük,1,0,2,1,40,37,21,8,29,2,0,0,1,0,1,2,0,0,0,1,2,0,Min 90' [Amarilla - Time wasting] | Min 89' [Amarilla - Time wasting] | Min 37' [Roja - Violent conduct]
785240,Halil Umut Meler,14109812,22/02/2026,2026-02-22,52,Süper Lig,Trendyol Süper Lig,Kayserispor,Antalyaspor,1,0,4,0,40,24,12,10,22,3,1,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Sin motivo] | Min 57' [Amarilla - Foul] | Min 47' [Amarilla - Foul] | Min 24' [Amarilla - Foul]
785240,Halil Umut Meler,14109807,14/02/2026,2026-02-14,52,Süper Lig,Trendyol Süper Lig,Trabzonspor,Fenerbahçe,2,3,9,0,90,36,16,14,30,4,5,0,0,5,0,4,0,0,0,5,4,0,Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Time wasting] | Min 66' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 45' [Amarilla - Time wasting] | Min 44' [Amarilla - Argument] | Min 44' [Amarilla - Argument] | Min 39' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
785240,Halil Umut Meler,14109790,08/02/2026,2026-02-08,52,Süper Lig,Trendyol Süper Lig,Eyüpspor,Başakşehir FK,1,2,2,0,20,37,9,15,24,1,1,0,0,2,0,0,0,0,0,2,0,0,Min 42' [Amarilla - Foul] | Min 37' [Amarilla - Persistent fouling]
785240,Halil Umut Meler,14109774,25/01/2026,2026-01-25,52,Süper Lig,Trendyol Süper Lig,Çaykur Rizespor,Alanyaspor,1,1,7,2,110,6,14,8,22,2,5,1,1,3,2,4,0,0,0,5,4,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Argument] | Min 87' [Amarilla - Argument] | Min 72' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 43' [Doble Amarilla - Foul] | Min 21' [Amarilla - Foul] | Min 6' [Roja - Foul]
785240,Halil Umut Meler,14109762,18/01/2026,2026-01-18,52,Süper Lig,Trendyol Süper Lig,Kasımpaşa,Antalyaspor,0,0,4,0,40,3,18,11,29,3,1,0,0,2,0,2,0,0,0,2,2,0,Min 90' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 38' [Amarilla - Argument] | Min 3' [Amarilla - Foul]
785240,Halil Umut Meler,14109759,22/12/2025,2025-12-22,52,Süper Lig,Trendyol Süper Lig,Gençlerbirliği,Trabzonspor,4,3,3,0,30,7,6,15,21,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 71' [Amarilla - Foul] | Min 45' [Amarilla - Simulation] | Min 7' [Amarilla - Foul]
785240,Halil Umut Meler,14109728,30/11/2025,2025-11-30,52,Süper Lig,Trendyol Süper Lig,Fatih Karagümrük,Beşiktaş JK,0,2,3,0,30,13,11,11,22,3,0,0,0,2,0,1,0,0,0,2,1,0,Min 83' [Amarilla - Foul] | Min 18' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
785240,Halil Umut Meler,14109718,24/11/2025,2025-11-24,52,Süper Lig,Trendyol Süper Lig,Başakşehir FK,Trabzonspor,3,4,4,1,60,10,15,11,26,2,2,1,0,3,1,1,0,0,0,4,1,0,Min 90' [Amarilla - Sin motivo] | Min 33' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 16' [Amarilla - Foul] | Min 10' [Roja - Foul]
785240,Halil Umut Meler,14109692,26/10/2025,2025-10-26,52,Süper Lig,Trendyol Süper Lig,Gençlerbirliği,Konyaspor,1,2,7,1,90,17,11,17,28,4,3,1,0,1,0,6,1,0,0,1,7,0,Min 90' [Doble Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 86' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 17' [Amarilla - Foul]
785240,Halil Umut Meler,14109682,18/10/2025,2025-10-18,52,Süper Lig,Trendyol Süper Lig,Çaykur Rizespor,Trabzonspor,1,2,3,0,30,42,18,8,26,3,0,0,0,1,0,2,0,0,0,1,2,0,Min 65' [Amarilla - Foul] | Min 47' [Amarilla - Foul] | Min 42' [Amarilla - Foul]
785240,Halil Umut Meler,14109668,05/10/2025,2025-10-05,52,Süper Lig,Trendyol Süper Lig,Samsunspor,Fenerbahçe,0,0,3,0,30,50,13,15,28,0,3,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 50' [Amarilla - Foul]
785240,Halil Umut Meler,14109638,13/09/2025,2025-09-13,52,Süper Lig,Trendyol Süper Lig,Konyaspor,Alanyaspor,1,2,8,0,80,44,17,11,28,5,3,0,0,2,0,6,0,0,0,2,6,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Argument] | Min 71' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 45' [Amarilla - Time wasting] | Min 44' [Amarilla - Foul]
785240,Halil Umut Meler,14109611,17/08/2025,2025-08-17,52,Süper Lig,Trendyol Süper Lig,Beşiktaş JK,Eyüpspor,2,1,4,0,40,19,14,10,24,2,2,0,0,3,0,1,0,0,0,3,1,0,Min 76' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 19' [Amarilla - Argument]
785240,Halil Umut Meler,12528089,25/05/2025,2025-05-25,52,Süper Lig,Trendyol Süper Lig,Beşiktaş JK,Çaykur Rizespor,1,2,5,0,50,23,9,15,24,2,3,0,0,4,0,1,0,0,0,4,1,0,Min 89' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 37' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
785240,Halil Umut Meler,12528120,18/05/2025,2025-05-18,52,Süper Lig,Trendyol Süper Lig,Samsunspor,Sivasspor,1,0,5,1,70,40,15,14,29,1,4,0,1,3,0,2,1,0,0,3,3,0,Min 90' [Roja - Foul] | Min 86' [Amarilla - Foul] | Min 75' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 44' [Amarilla - Argument] | Min 40' [Amarilla - Foul]
785240,Halil Umut Meler,12596346,10/05/2025,2025-05-10,98,1. Lig,Trendyol 1.Lig,Fatih Karagümrük,Iğdır FK,2,1,4,0,40,65,23,18,41,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 65' [Amarilla - Foul]
785240,Halil Umut Meler,12530668,05/05/2025,2025-05-05,52,Süper Lig,Trendyol Süper Lig,Kasımpaşa,Trabzonspor,1,1,6,0,60,18,19,14,33,4,2,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Argument] | Min 88' [Amarilla - Off the ball foul] | Min 80' [Amarilla - Argument] | Min 63' [Amarilla - Argument] | Min 42' [Amarilla - Foul] | Min 18' [Amarilla - Foul]
785240,Halil Umut Meler,13589144,27/04/2025,2025-04-27,185,Super League Greece,Stoiximan Super League,AEK Athens,Olympiacos FC,0,2,6,0,60,41,20,21,41,4,2,0,0,1,0,5,0,0,0,1,5,0,Min 87' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 41' [Amarilla - Argument]
785240,Halil Umut Meler,12530679,18/04/2025,2025-04-18,52,Süper Lig,Trendyol Süper Lig,Hatayspor,Konyaspor,2,3,2,0,20,45,8,13,21,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 70' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
785240,Halil Umut Meler,12530714,15/03/2025,2025-03-15,52,Süper Lig,Trendyol Süper Lig,Kasımpaşa,Alanyaspor,2,1,2,0,20,49,13,12,25,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 72' [Amarilla - Foul] | Min 49' [Amarilla - Foul]
785240,Halil Umut Meler,12530736,01/03/2025,2025-03-01,52,Süper Lig,Trendyol Süper Lig,Beşiktaş JK,Kayserispor,2,0,2,0,20,20,8,15,23,0,2,0,0,2,0,0,0,0,0,2,0,0,Min 27' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
785240,Halil Umut Meler,12530788,22/02/2025,2025-02-22,52,Süper Lig,Trendyol Süper Lig,Samsunspor,Çaykur Rizespor,2,3,3,0,30,90,12,13,25,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Sin motivo]
785240,Halil Umut Meler,12530747,15/02/2025,2025-02-15,52,Süper Lig,Trendyol Süper Lig,Başakşehir FK,Bodrum FK,0,1,5,1,70,34,10,11,21,4,1,1,0,2,0,3,1,0,0,2,4,0,Min 86' [Amarilla - Foul] | Min 80' [Doble Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
