referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
785312,Stefan Ebner,16392110,30/08/2026,2026-08-30,45,Austrian Bundesliga,Austrian Bundesliga,SK Rapid Wien,SK Sturm Graz,3,1,5,1,70,3,5,11,16,2,3,0,1,1,0,4,1,0,0,1,5,0,Min 90' [Roja - Professional foul last man] | Min 89' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 3' [Amarilla - Foul]
785312,Stefan Ebner,16392093,01/08/2026,2026-08-01,45,Austrian Bundesliga,Austrian Bundesliga,WSG Tirol,SK Sturm Graz,1,1,5,0,50,14,11,14,25,1,4,0,0,4,0,1,0,0,0,4,1,0,Min 84' [Amarilla - Foul] | Min 25' [Amarilla - Foul] | Min 19' [Amarilla - Foul] | Min 18' [Amarilla - Foul] | Min 14' [Amarilla - Foul]
785312,Stefan Ebner,15690648,17/05/2026,2026-05-17,45,Austrian Bundesliga,Austrian Bundesliga,Red Bull Salzburg,TSV Hartberg,1,3,2,0,20,36,11,7,18,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 78' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
785312,Stefan Ebner,15697647,26/04/2026,2026-04-26,45,Austrian Bundesliga,Austrian Bundesliga,SK Sturm Graz,FK Austria Wien,1,1,4,0,40,70,12,17,29,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 70' [Amarilla - Foul]
785312,Stefan Ebner,15690633,22/04/2026,2026-04-22,45,Austrian Bundesliga,Austrian Bundesliga,SK Rapid Wien,TSV Hartberg,0,2,4,0,40,60,11,20,31,4,0,0,0,0,0,4,0,0,0,0,4,0,Min 86' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 60' [Amarilla - Foul]
785312,Stefan Ebner,15690681,22/03/2026,2026-03-22,45,Austrian Bundesliga,Austrian Bundesliga,TSV Hartberg,FK Austria Wien,0,1,5,1,70,1,13,11,24,0,5,1,0,1,1,4,0,0,0,2,4,0,Min 71' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 38' [Roja - Foul] | Min 1' [Amarilla - Foul]
785312,Stefan Ebner,14065690,08/03/2026,2026-03-08,45,Austrian Bundesliga,Austrian Bundesliga,SK Sturm Graz,SCR Altach,2,0,4,1,60,2,12,13,25,1,3,0,1,2,0,2,1,0,0,2,3,0,Min 86' [Amarilla - Foul] | Min 77' [Doble Amarilla - Foul] | Min 29' [Amarilla - Foul] | Min 2' [Amarilla - Foul]
785312,Stefan Ebner,14065678,21/02/2026,2026-02-21,45,Austrian Bundesliga,Austrian Bundesliga,SK Rapid Wien,Wolfsberger AC,2,0,7,0,70,25,13,14,27,5,2,0,0,3,0,4,0,0,0,3,4,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Time wasting] | Min 88' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 36' [Amarilla - Foul] | Min 26' [Amarilla - Foul] | Min 25' [Amarilla - Foul]
785312,Stefan Ebner,14065658,13/12/2025,2025-12-13,45,Austrian Bundesliga,Austrian Bundesliga,TSV Hartberg,WSG Tirol,2,1,4,1,60,45,14,11,25,2,2,0,1,2,1,2,0,0,0,3,2,0,Min 71' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 45' [Roja - Argument] | Min 45' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
785312,Stefan Ebner,14065644,23/11/2025,2025-11-23,45,Austrian Bundesliga,Austrian Bundesliga,SK Rapid Wien,Grazer AK 1902,1,2,5,0,50,18,14,14,28,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 24' [Amarilla - Foul] | Min 18' [Amarilla - Foul]
