referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
785317,Florian Jager,16392096,15/08/2026,2026-08-15,45,Austrian Bundesliga,Austrian Bundesliga,SK Sturm Graz,SCR Altach,1,0,2,0,20,36,6,8,14,0,2,0,0,2,0,0,0,0,0,2,0,0,Min 40' [Amarilla - Foul] | Min 36' [Amarilla - Argument]
785317,Florian Jager,15690644,17/04/2026,2026-04-17,45,Austrian Bundesliga,Austrian Bundesliga,Grazer AK 1902,SV Ried,1,1,4,0,40,38,10,14,24,2,2,0,0,3,0,1,0,0,0,3,1,0,Min 65' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 38' [Amarilla - Foul]
785317,Florian Jager,14065695,08/03/2026,2026-03-08,45,Austrian Bundesliga,Austrian Bundesliga,WSG Tirol,Grazer AK 1902,2,0,4,1,60,21,10,11,21,3,1,0,1,2,1,2,0,0,0,3,2,0,Min 61' [Amarilla - Foul] | Min 55' [Amarilla - Foul] | Min 42' [Roja - Violent conduct] | Min 38' [Amarilla - Foul] | Min 21' [Amarilla - Argument]
785317,Florian Jager,14065669,08/02/2026,2026-02-08,45,Austrian Bundesliga,Austrian Bundesliga,SCR Altach,FC Blau Weiss Linz,1,0,6,1,80,34,9,11,20,3,3,1,0,2,0,4,1,0,0,2,5,0,Min 90' [Amarilla - Argument] | Min 75' [Doble Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
785317,Florian Jager,14065664,14/12/2025,2025-12-14,45,Austrian Bundesliga,Austrian Bundesliga,FC Blau Weiss Linz,SK Rapid Wien,1,1,6,0,60,25,16,15,31,0,6,0,0,1,0,5,0,0,0,1,5,0,Min 81' [Amarilla - Argument] | Min 81' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 70' [Amarilla - Argument] | Min 25' [Amarilla - Foul]
785317,Florian Jager,14065642,09/11/2025,2025-11-09,45,Austrian Bundesliga,Austrian Bundesliga,WSG Tirol,SK Rapid Wien,1,1,4,0,40,16,9,5,14,3,1,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 68' [Amarilla - Argument] | Min 16' [Amarilla - Simulation]
785317,Florian Jager,14065594,14/09/2025,2025-09-14,45,Austrian Bundesliga,Austrian Bundesliga,SK Rapid Wien,WSG Tirol,4,1,3,0,30,26,8,5,13,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 70' [Amarilla - Foul] | Min 27' [Amarilla - Foul] | Min 26' [Amarilla - Foul]
785317,Florian Jager,13629504,26/04/2025,2025-04-26,45,Austrian Bundesliga,Austrian Bundesliga,SCR Altach,WSG Tirol,3,0,5,0,50,13,11,7,18,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 67' [Amarilla - Argument] | Min 54' [Amarilla - Argument] | Min 47' [Amarilla - Foul] | Min 23' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
785317,Florian Jager,12481046,02/03/2025,2025-03-02,45,Austrian Bundesliga,Austrian Bundesliga,Austria Klagenfurt,LASK,1,2,6,0,60,35,10,10,20,2,4,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 48' [Amarilla - Argument] | Min 35' [Amarilla - Foul]
785317,Florian Jager,12481110,05/10/2024,2024-10-05,45,Austrian Bundesliga,Austrian Bundesliga,FK Austria Wien,Grazer AK 1902,2,1,10,1,120,23,7,17,24,3,7,0,1,4,0,6,1,0,0,4,7,0,Min 90' [Doble Amarilla - Foul] | Min 90' [Amarilla - Off the ball foul] | Min 73' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 36' [Amarilla - Foul] | Min 28' [Amarilla - Foul] | Min 26' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
