referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
785348,Jeremy Stinat,16310934,30/08/2026,2026-08-30,34,Ligue 1,Ligue 1,Paris FC,Nice,3,0,1,0,10,18,7,7,14,0,1,0,0,1,0,0,0,0,0,1,0,0,Min 18' [Amarilla - Foul]
785348,Jeremy Stinat,16310918,23/08/2026,2026-08-23,34,Ligue 1,Ligue 1,Angers,Lille,0,2,4,0,40,22,11,13,24,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Argument] | Min 74' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 22' [Amarilla - Foul]
785348,Jeremy Stinat,14064517,10/05/2026,2026-05-10,34,Ligue 1,Ligue 1,Metz,Lorient,0,4,4,0,40,9,8,8,16,2,2,0,0,4,0,0,0,0,0,4,0,0,Min 42' [Amarilla - Foul] | Min 23' [Amarilla - Foul] | Min 15' [Amarilla - Foul] | Min 9' [Amarilla - Foul]
785348,Jeremy Stinat,14167976,25/04/2026,2026-04-25,34,Ligue 1,Ligue 1,Angers,Paris Saint-Germain,0,3,2,1,40,10,9,3,12,0,2,0,1,1,0,1,1,0,0,1,2,0,Min 74' [Doble Amarilla - Foul] | Min 10' [Amarilla - Foul]
785348,Jeremy Stinat,14167968,19/04/2026,2026-04-19,34,Ligue 1,Ligue 1,Metz,Paris FC,1,3,4,0,40,13,9,8,17,2,2,0,0,3,0,1,0,0,0,3,1,0,Min 62' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
785348,Jeremy Stinat,14064765,11/04/2026,2026-04-11,182,Ligue 2,Ligue 2,Red Star FC,Bastia,4,3,3,1,50,20,5,13,18,2,1,1,0,1,0,2,1,0,0,1,3,0,Min 90' [Roja - Violent conduct] | Min 89' [Amarilla - Foul] | Min 66' [Amarilla - Time wasting] | Min 20' [Amarilla - Foul]
785348,Jeremy Stinat,14167918,15/03/2026,2026-03-15,34,Ligue 1,Ligue 1,Le Havre,Olympique Lyonnais,0,0,4,1,60,42,7,16,23,1,3,1,0,2,0,2,1,0,0,2,3,0,Min 88' [Amarilla - Time wasting] | Min 83' [Amarilla - Foul] | Min 55' [Roja - Professional foul last man] | Min 42' [Amarilla - Foul] | Min 42' [Amarilla - Argument]
785348,Jeremy Stinat,14167885,01/03/2026,2026-03-01,34,Ligue 1,Ligue 1,Metz,Stade Brestois,0,1,3,1,50,22,14,11,25,2,1,0,1,0,1,3,0,0,0,1,3,0,Min 67' [Amarilla - Handball] | Min 52' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 22' [Roja - Foul]
785348,Jeremy Stinat,14167867,22/02/2026,2026-02-22,34,Ligue 1,Ligue 1,Nice,Lorient,3,3,5,0,50,29,15,4,19,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 84' [Amarilla - Foul] | Min 29' [Amarilla - Foul]
785348,Jeremy Stinat,14064480,30/01/2026,2026-01-30,34,Ligue 1,Ligue 1,RC Lens,Le Havre,1,0,3,0,30,49,20,10,30,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 49' [Amarilla - Foul]
785348,Jeremy Stinat,14064450,04/01/2026,2026-01-04,34,Ligue 1,Ligue 1,Stade Brestois,Auxerre,2,0,5,0,50,13,16,9,25,3,2,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Foul] | Min 83' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
785348,Jeremy Stinat,14064806,13/12/2025,2025-12-13,182,Ligue 2,Ligue 2,Saint-Étienne,Bastia,2,2,7,0,70,32,13,13,26,2,5,0,0,1,0,6,0,0,0,1,6,0,Min 90' [Amarilla - Time wasting] | Min 83' [Amarilla - Foul] | Min 76' [Amarilla - Persistent fouling] | Min 56' [Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 32' [Amarilla - Foul]
785348,Jeremy Stinat,14064426,28/11/2025,2025-11-28,34,Ligue 1,Ligue 1,Metz,Stade Rennais,0,1,0,0,0,,9,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
785348,Jeremy Stinat,14167933,02/11/2025,2025-11-02,34,Ligue 1,Ligue 1,Toulouse,Le Havre,0,0,3,0,30,58,12,14,26,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Foul] | Min 84' [Amarilla - Foul] | Min 58' [Amarilla - Foul]
785348,Jeremy Stinat,14064512,29/10/2025,2025-10-29,34,Ligue 1,Ligue 1,Paris FC,Olympique Lyonnais,3,3,8,2,120,25,18,16,34,6,2,1,1,4,0,4,2,0,0,4,6,0,Min 90' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 67' [Doble Amarilla - Foul] | Min 61' [Roja - Foul] | Min 55' [Amarilla - Argument] | Min 45' [Amarilla - Foul] | Min 35' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 25' [Amarilla - Foul]
785348,Jeremy Stinat,14167905,18/10/2025,2025-10-18,34,Ligue 1,Ligue 1,Angers,AS Monaco,1,1,4,0,40,1,15,14,29,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 60' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 1' [Amarilla - Foul]
785348,Jeremy Stinat,14064635,04/10/2025,2025-10-04,182,Ligue 2,Ligue 2,Red Star FC,Rodez AF,1,1,6,0,60,24,14,19,33,2,4,0,0,2,0,4,0,0,0,2,4,0,Min 85' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 76' [Amarilla - Persistent fouling] | Min 47' [Amarilla - Argument] | Min 30' [Amarilla - Foul] | Min 24' [Amarilla - Foul]
785348,Jeremy Stinat,14065728,14/09/2025,2025-09-14,34,Ligue 1,Ligue 1,Lille,Toulouse,2,1,6,1,80,23,12,10,22,2,4,0,1,1,0,5,1,0,0,1,6,0,Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Argument] | Min 87' [Amarilla - Handball] | Min 83' [Amarilla - Argument] | Min 80' [Roja - Foul] | Min 56' [Amarilla - Time wasting] | Min 23' [Amarilla - Foul]
785348,Jeremy Stinat,14065698,23/08/2025,2025-08-23,34,Ligue 1,Ligue 1,Nice,Auxerre,3,1,4,1,60,34,10,15,25,2,2,0,1,2,1,2,0,0,0,3,2,0,Min 60' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 45' [Roja - Professional foul last man] | Min 41' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
785348,Jeremy Stinat,12450269,10/05/2025,2025-05-10,34,Ligue 1,Ligue 1,Stade Rennais,Nice,2,0,2,0,20,45,5,13,18,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 90' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
785348,Jeremy Stinat,12450230,04/05/2025,2025-05-04,34,Ligue 1,Ligue 1,Olympique Lyonnais,RC Lens,1,2,5,0,50,13,8,12,20,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 89' [Amarilla - Time wasting] | Min 64' [Amarilla - Foul] | Min 54' [Amarilla - Time wasting] | Min 45' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
785348,Jeremy Stinat,12450208,20/04/2025,2025-04-20,34,Ligue 1,Ligue 1,Nice,Angers,2,1,2,0,20,56,10,8,18,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 80' [Amarilla - Foul] | Min 56' [Amarilla - Foul]
785348,Jeremy Stinat,12450895,29/03/2025,2025-03-29,34,Ligue 1,Ligue 1,Saint-Étienne,Paris Saint-Germain,1,6,2,0,20,26,9,12,21,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 68' [Amarilla - Foul] | Min 26' [Amarilla - Foul]
785348,Jeremy Stinat,12451137,08/03/2025,2025-03-08,182,Ligue 2,Ligue 2,Metz,Annecy FC,5,1,4,0,40,7,9,9,18,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 67' [Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 7' [Amarilla - Foul]
785348,Jeremy Stinat,12450242,02/03/2025,2025-03-02,34,Ligue 1,Ligue 1,Angers,Toulouse,0,4,6,0,60,45,13,9,22,3,3,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 84' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
785348,Jeremy Stinat,12450891,22/02/2025,2025-02-22,34,Ligue 1,Ligue 1,Auxerre,Olympique de Marseille,3,0,4,1,60,38,9,13,22,1,3,0,1,1,0,3,1,0,0,1,4,0,Min 75' [Amarilla - Foul] | Min 63' [Doble Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
785348,Jeremy Stinat,12451011,09/02/2025,2025-02-09,34,Ligue 1,Ligue 1,RC Strasbourg,Montpellier,2,0,5,0,50,19,12,12,24,1,4,0,0,1,0,4,0,0,0,1,4,0,Min 87' [Amarilla - Argument] | Min 80' [Amarilla - Foul] | Min 77' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
785348,Jeremy Stinat,12450927,14/12/2024,2024-12-14,34,Ligue 1,Ligue 1,Auxerre,RC Lens,2,2,4,0,40,21,10,10,20,3,1,0,0,1,0,3,0,0,0,1,3,0,Min 64' [Amarilla - Simulation] | Min 52' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 21' [Amarilla - Foul]
785348,Jeremy Stinat,12451191,07/12/2024,2024-12-07,182,Ligue 2,Ligue 2,Ajaccio,Paris FC,0,2,3,0,30,81,15,11,26,2,1,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Argument] | Min 86' [Amarilla - Persistent fouling] | Min 81' [Amarilla - Foul]
785348,Jeremy Stinat,12450911,30/11/2024,2024-11-30,34,Ligue 1,Ligue 1,Paris Saint-Germain,Nantes,1,1,0,0,0,,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
785348,Jeremy Stinat,12451078,10/11/2024,2024-11-10,34,Ligue 1,Ligue 1,Nice,Lille,2,2,4,0,40,37,12,9,21,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 37' [Amarilla - Foul]
785348,Jeremy Stinat,12451054,27/10/2024,2024-10-27,34,Ligue 1,Ligue 1,Olympique Lyonnais,Auxerre,2,2,4,0,40,44,7,15,22,0,4,0,0,2,0,2,0,0,0,2,2,0,Min 90' [Amarilla - Foul] | Min 80' [Amarilla - Argument] | Min 45' [Amarilla - Foul] | Min 44' [Amarilla - Argument]
785348,Jeremy Stinat,12451049,19/10/2024,2024-10-19,34,Ligue 1,Ligue 1,Paris Saint-Germain,RC Strasbourg,4,2,4,0,40,10,10,12,22,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 60' [Amarilla - Foul] | Min 10' [Amarilla - Foul]
785348,Jeremy Stinat,12451004,27/09/2024,2024-09-27,34,Ligue 1,Ligue 1,Auxerre,Stade Brestois,3,0,2,0,20,16,13,16,29,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 53' [Amarilla - Foul] | Min 16' [Amarilla - Foul]
785348,Jeremy Stinat,12450997,21/09/2024,2024-09-21,34,Ligue 1,Ligue 1,Stade Rennais,RC Lens,1,1,6,0,60,34,16,20,36,2,4,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 77' [Amarilla - Foul] | Min 73' [Amarilla - Argument] | Min 45' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
785348,Jeremy Stinat,12450958,01/09/2024,2024-09-01,34,Ligue 1,Ligue 1,Angers,Nice,1,4,10,1,120,11,14,13,27,6,4,0,1,6,0,4,1,0,0,6,5,0,Min 81' [Amarilla - Argument] | Min 81' [Amarilla - Argument] | Min 65' [Doble Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 33' [Amarilla - Argument] | Min 30' [Amarilla - Foul] | Min 16' [Amarilla - Foul] | Min 11' [Amarilla - Foul]
785348,Jeremy Stinat,12450868,18/08/2024,2024-08-18,34,Ligue 1,Ligue 1,Toulouse,Nantes,0,0,4,0,40,24,14,11,25,1,3,0,0,2,0,2,0,0,0,2,2,0,Min 71' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 24' [Amarilla - Foul]
785348,Jeremy Stinat,11391265,19/05/2024,2024-05-19,34,Ligue 1,Ligue 1,Le Havre,Olympique de Marseille,1,2,1,0,10,82,11,11,22,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 82' [Amarilla - Foul]
785348,Jeremy Stinat,11505250,03/05/2024,2024-05-03,182,Ligue 2,Ligue 2,Rodez AF,Annecy FC,1,3,1,0,10,65,2,16,18,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 65' [Amarilla - Foul]
785348,Jeremy Stinat,11391278,26/04/2024,2024-04-26,34,Ligue 1,Ligue 1,Montpellier,Nantes,1,1,3,2,70,24,11,14,25,2,1,2,0,3,0,0,2,0,0,3,2,0,Min 90' [Roja - Foul] | Min 90' [Roja - Professional foul last man] | Min 45' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 24' [Amarilla - Foul]
785348,Jeremy Stinat,11391296,19/04/2024,2024-04-19,34,Ligue 1,Ligue 1,Nice,Lorient,3,0,2,0,20,7,11,7,18,0,2,0,0,1,0,1,0,0,0,1,1,0,Min 57' [Amarilla - Simulation] | Min 7' [Amarilla - Foul]
785348,Jeremy Stinat,11391335,15/03/2024,2024-03-15,34,Ligue 1,Ligue 1,Toulouse,Olympique Lyonnais,2,3,4,0,40,37,18,12,30,2,2,0,0,4,0,0,0,0,0,4,0,0,Min 45' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 37' [Amarilla - Persistent fouling]
785348,Jeremy Stinat,11391346,02/03/2024,2024-03-02,34,Ligue 1,Ligue 1,Stade de Reims,Lille,0,1,6,0,60,6,12,14,26,4,2,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Time wasting] | Min 87' [Amarilla - Argument] | Min 59' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 36' [Amarilla - Foul] | Min 6' [Amarilla - Foul]
785348,Jeremy Stinat,11391677,24/02/2024,2024-02-24,182,Ligue 2,Ligue 2,Auxerre,Bastia,1,1,2,0,20,37,7,12,19,0,2,0,0,1,0,1,0,0,0,1,1,0,Min 77' [Amarilla - Foul] | Min 37' [Amarilla - Foul]
785348,Jeremy Stinat,11391360,18/02/2024,2024-02-18,34,Ligue 1,Ligue 1,Montpellier,Metz,3,0,6,0,60,13,17,13,30,3,3,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 83' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 30' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
785348,Jeremy Stinat,11391385,28/01/2024,2024-01-28,34,Ligue 1,Ligue 1,Lorient,Le Havre,3,3,8,0,80,17,15,21,36,4,4,0,0,6,0,2,0,0,0,6,2,0,Min 73' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 43' [Amarilla - Simulation] | Min 42' [Amarilla - Argument] | Min 36' [Amarilla - Foul] | Min 26' [Amarilla - Foul] | Min 17' [Amarilla - Foul]
785348,Jeremy Stinat,11391431,17/12/2023,2023-12-17,34,Ligue 1,Ligue 1,Toulouse,Stade Rennais,0,0,5,0,50,6,17,14,31,3,2,0,0,3,0,2,0,0,0,3,2,0,Min 90' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 10' [Amarilla - Foul] | Min 6' [Amarilla - Foul]
785348,Jeremy Stinat,11391438,03/12/2023,2023-12-03,34,Ligue 1,Ligue 1,AS Monaco,Montpellier,2,0,5,1,70,20,15,13,28,2,3,0,1,2,0,3,1,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 84' [Amarilla - Argument] | Min 75' [Amarilla - Sin motivo] | Min 69' [Roja - Foul] | Min 45' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
785348,Jeremy Stinat,11392814,05/11/2023,2023-11-05,34,Ligue 1,Ligue 1,RC Strasbourg,Clermont Foot,0,0,2,1,40,51,11,5,16,2,0,1,0,0,0,2,1,0,0,0,3,0,Min 76' [Doble Amarilla - Foul] | Min 51' [Amarilla - Foul]
785348,Jeremy Stinat,11392832,22/10/2023,2023-10-22,34,Ligue 1,Ligue 1,Toulouse,Stade de Reims,1,1,2,0,20,59,18,15,33,2,0,0,0,0,0,2,0,0,0,0,2,0,Min 62' [Amarilla - Foul] | Min 59' [Amarilla - Foul]
