referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
785418,Jose Antonio Sanchez Villalobos,16418214,24/08/2026,2026-08-24,54,LaLiga Hypermotion,LaLiga 2,Celta Fortuna,FC Andorra,4,2,7,0,70,7,13,18,31,4,3,0,0,3,0,4,0,0,0,3,4,0,Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 15' [Amarilla - Foul] | Min 7' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14081781,24/05/2026,2026-05-24,54,LaLiga Hypermotion,LaLiga 2,Cultural Leonesa,Burgos Club de Fútbol,0,2,7,0,70,5,13,16,29,4,3,0,0,1,0,6,0,0,0,1,6,0,Min 84' [Amarilla - Argument] | Min 82' [Amarilla - Argument] | Min 69' [Amarilla - Time wasting] | Min 65' [Amarilla - Argument] | Min 65' [Amarilla - Argument] | Min 48' [Amarilla - Foul] | Min 5' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14081769,16/05/2026,2026-05-16,54,LaLiga Hypermotion,LaLiga 2,Real Sociedad B,Mirandés,2,2,3,0,30,1,13,15,28,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 54' [Amarilla - Foul] | Min 11' [Amarilla - Foul] | Min 1' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14081721,03/05/2026,2026-05-03,54,LaLiga Hypermotion,LaLiga 2,Sporting Gijón,AD Ceuta,1,2,7,0,70,32,16,11,27,4,3,0,0,4,0,3,0,0,0,4,3,0,Min 75' [Amarilla - Off the ball foul] | Min 72' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 34' [Amarilla - Argument] | Min 32' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14081739,26/04/2026,2026-04-26,54,LaLiga Hypermotion,LaLiga 2,Leganés,FC Andorra,0,4,6,0,60,10,12,13,25,5,1,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 35' [Amarilla - Foul] | Min 10' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14083548,12/04/2026,2026-04-12,54,LaLiga Hypermotion,LaLiga 2,Mirandés,CD Castellón,2,2,1,1,30,66,14,14,28,0,1,0,1,0,0,1,1,0,0,0,2,0,Min 83' [Amarilla - Foul] | Min 66' [Roja - Professional foul last man]
785418,Jose Antonio Sanchez Villalobos,14083449,21/03/2026,2026-03-21,54,LaLiga Hypermotion,LaLiga 2,Real Racing Club,Albacete Balompié,0,4,9,1,110,20,12,12,24,4,5,1,0,4,1,5,0,0,0,5,5,0,Min 90' [Amarilla - Argument] | Min 79' [Amarilla - Argument] | Min 79' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 59' [Amarilla - Rescinded Card] | Min 44' [Amarilla - Foul] | Min 38' [Amarilla - Argument] | Min 34' [Roja - Foul] | Min 26' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14083361,07/03/2026,2026-03-07,54,LaLiga Hypermotion,LaLiga 2,Burgos Club de Fútbol,Mirandés,2,0,6,1,80,20,9,18,27,2,4,0,1,2,0,4,1,0,0,2,5,0,Min 90' [Doble Amarilla - Foul] | Min 88' [Amarilla - Argument] | Min 88' [Amarilla - Simulation] | Min 72' [Amarilla - Time wasting] | Min 39' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14083811,21/02/2026,2026-02-21,54,LaLiga Hypermotion,LaLiga 2,UD Las Palmas,CD Castellón,1,1,5,1,70,22,20,11,31,2,3,0,1,3,0,2,1,0,0,3,3,0,Min 85' [Doble Amarilla - Foul] | Min 65' [Amarilla - Argument] | Min 38' [Amarilla - Foul] | Min 28' [Amarilla - Foul] | Min 22' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14083761,07/02/2026,2026-02-07,54,LaLiga Hypermotion,LaLiga 2,FC Andorra,Real Sociedad B,1,2,9,0,90,2,11,18,29,4,5,0,0,2,0,7,0,0,0,2,7,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 2' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14083730,31/01/2026,2026-01-31,54,LaLiga Hypermotion,LaLiga 2,Albacete Balompié,Real Zaragoza,2,0,5,0,50,30,11,8,19,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 85' [Amarilla - Foul] | Min 63' [Amarilla - Argument] | Min 63' [Amarilla - Argument] | Min 34' [Amarilla - Foul] | Min 30' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14083651,17/01/2026,2026-01-17,54,LaLiga Hypermotion,LaLiga 2,Cultural Leonesa,Sporting Gijón,2,4,3,0,30,58,8,10,18,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 65' [Amarilla - Foul] | Min 58' [Amarilla - Argument] | Min 58' [Amarilla - Argument]
785418,Jose Antonio Sanchez Villalobos,14083554,03/01/2026,2026-01-03,54,LaLiga Hypermotion,LaLiga 2,Real Valladolid,Real Racing Club,1,1,10,1,120,13,19,14,33,8,2,1,0,4,0,6,1,0,0,4,7,0,Min 87' [Amarilla - Foul] | Min 84' [Doble Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 77' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 23' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14083487,15/12/2025,2025-12-15,54,LaLiga Hypermotion,LaLiga 2,CD Castellón,Mirandés,3,1,8,0,80,34,16,15,31,5,3,0,0,2,0,6,0,0,0,2,6,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 79' [Amarilla - Foul] | Min 59' [Amarilla - Argument] | Min 59' [Amarilla - Argument] | Min 53' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
785418,Jose Antonio Sanchez Villalobos,14083441,30/11/2025,2025-11-30,54,LaLiga Hypermotion,LaLiga 2,Real Zaragoza,Leganés,3,2,6,2,100,28,15,18,33,2,4,0,2,1,1,5,1,0,0,2,6,0,Min 90' [Roja - Foul] | Min 81' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 60' [Amarilla - Argument] | Min 59' [Amarilla - Argument] | Min 58' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 28' [Roja - Violent conduct]
785418,Jose Antonio Sanchez Villalobos,14083371,16/11/2025,2025-11-16,54,LaLiga Hypermotion,LaLiga 2,Sporting Gijón,Eibar,1,1,8,0,80,18,13,12,25,3,5,0,0,3,0,5,0,0,0,3,5,0,Min 76' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 55' [Amarilla - Foul] | Min 46' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 20' [Amarilla - Foul] | Min 18' [Amarilla - Foul]
