referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
785812,Oliver Yates,16395380,15/08/2026,2026-08-15,24,League One,League One,Oxford United,Milton Keynes Dons,2,2,5,0,50,51,14,14,28,2,3,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 62' [Amarilla - Argument] | Min 51' [Amarilla - Foul]
785812,Oliver Yates,14061492,02/05/2026,2026-05-02,24,League One,League One,Exeter City,Bradford City,1,2,4,0,40,15,19,13,32,3,1,0,0,2,0,2,0,0,0,2,2,0,Min 86' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 15' [Amarilla - Foul]
785812,Oliver Yates,14060283,25/04/2026,2026-04-25,25,League Two,League Two,Barnet,Gillingham,6,2,4,0,40,37,10,13,23,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 83' [Amarilla - Argument] | Min 74' [Amarilla - Foul] | Min 43' [Amarilla - Argument] | Min 37' [Amarilla - Foul]
785812,Oliver Yates,14061154,11/04/2026,2026-04-11,24,League One,League One,Wigan Athletic,Mansfield Town,2,1,3,0,30,43,12,14,26,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 74' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 43' [Amarilla - Argument]
785812,Oliver Yates,14061138,03/04/2026,2026-04-03,25,League Two,League Two,Shrewsbury Town,Tranmere Rovers,1,0,1,0,10,86,4,8,12,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 86' [Amarilla - Off the ball foul]
785812,Oliver Yates,14060970,21/03/2026,2026-03-21,25,League Two,League Two,Bromley,Colchester United,1,0,5,0,50,55,9,6,15,2,3,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 84' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 55' [Amarilla - Foul]
785812,Oliver Yates,14060923,17/03/2026,2026-03-17,25,League Two,League Two,Accrington Stanley,Notts County,0,4,2,0,20,23,10,12,22,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 88' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
785812,Oliver Yates,14061365,07/03/2026,2026-03-07,24,League One,League One,Bradford City,Leyton Orient,2,1,9,1,110,26,17,16,33,6,3,1,0,2,0,7,1,0,0,2,8,0,Min 87' [Amarilla - Time wasting] | Min 86' [Amarilla - Simulation] | Min 75' [Roja - Foul] | Min 67' [Amarilla - Argument] | Min 61' [Amarilla - Foul] | Min 61' [Amarilla - Argument] | Min 59' [Amarilla - Foul] | Min 54' [Amarilla - Time wasting] | Min 44' [Amarilla - Argument] | Min 26' [Amarilla - Foul]
785812,Oliver Yates,15285161,03/03/2026,2026-03-03,24,League One,League One,Barnsley,Wycombe Wanderers,0,1,6,0,60,61,12,11,23,3,3,0,0,0,0,6,0,0,0,0,6,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 82' [Amarilla - Time wasting] | Min 72' [Amarilla - Foul] | Min 61' [Amarilla - Foul]
785812,Oliver Yates,14060790,27/02/2026,2026-02-27,25,League Two,League Two,Harrogate Town,Cheltenham Town,1,1,2,0,20,74,8,12,20,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 90' [Amarilla - Time wasting] | Min 74' [Amarilla - Time wasting]
