referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
785885,Victor Wolf,15271354,23/08/2026,2026-08-23,40,Allsvenskan,Allsvenskan,Hammarby IF,GAIS,2,0,2,0,20,43,12,18,30,0,2,0,0,1,0,1,0,0,0,1,1,0,Min 76' [Amarilla - Foul] | Min 43' [Amarilla - Foul]
785885,Victor Wolf,15272488,10/08/2026,2026-08-10,40,Allsvenskan,Allsvenskan,IK Sirius,IF Brommapojkarna,2,2,4,0,40,40,18,14,32,1,3,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 40' [Amarilla - Argument]
785885,Victor Wolf,15272475,03/08/2026,2026-08-03,40,Allsvenskan,Allsvenskan,Djurgårdens IF,Västerås SK,6,0,3,0,30,34,8,15,23,0,3,0,0,2,0,1,0,0,0,2,1,0,Min 47' [Amarilla - Foul] | Min 36' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
785885,Victor Wolf,15272453,11/07/2026,2026-07-11,40,Allsvenskan,Allsvenskan,Örgryte IS,BK Häcken,4,3,4,0,40,20,13,13,26,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 71' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
785885,Victor Wolf,15272441,06/07/2026,2026-07-06,40,Allsvenskan,Allsvenskan,IF Brommapojkarna,GAIS,1,1,2,0,20,74,5,8,13,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 90' [Amarilla - Handball] | Min 74' [Amarilla - Foul]
785885,Victor Wolf,15272435,30/05/2026,2026-05-30,40,Allsvenskan,Allsvenskan,Malmö FF,Halmstads BK,5,2,1,0,10,76,13,11,24,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 76' [Amarilla - Off the ball foul]
785885,Victor Wolf,15272418,18/05/2026,2026-05-18,40,Allsvenskan,Allsvenskan,Djurgårdens IF,IK Sirius,2,3,5,0,50,35,14,15,29,1,4,0,0,1,0,4,0,0,0,1,4,0,Min 89' [Amarilla - Time wasting] | Min 86' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 58' [Amarilla - Sin motivo] | Min 35' [Amarilla - Foul]
785885,Victor Wolf,15272407,09/05/2026,2026-05-09,40,Allsvenskan,Allsvenskan,IFK Göteborg,Hammarby IF,0,1,2,0,20,60,20,9,29,2,0,0,0,0,0,2,0,0,0,0,2,0,Min 90' [Amarilla - Foul] | Min 60' [Amarilla - Foul]
785885,Victor Wolf,15272400,26/04/2026,2026-04-26,40,Allsvenskan,Allsvenskan,IF Brommapojkarna,Västerås SK,1,2,1,0,10,87,9,14,23,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 87' [Amarilla - Foul]
785885,Victor Wolf,15272394,23/04/2026,2026-04-23,40,Allsvenskan,Allsvenskan,Degerfors IF,AIK,2,1,7,0,70,21,17,13,30,3,4,0,0,2,0,5,0,0,0,2,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 85' [Amarilla - Argument] | Min 67' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 21' [Amarilla - Foul]
785885,Victor Wolf,15406404,12/04/2026,2026-04-12,40,Allsvenskan,Allsvenskan,Malmö FF,GAIS,3,1,4,0,40,10,13,16,29,1,3,0,0,3,0,1,0,0,0,3,1,0,Min 66' [Amarilla - Argument] | Min 45' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 10' [Amarilla - Argument]
785885,Victor Wolf,15385891,06/04/2026,2026-04-06,40,Allsvenskan,Allsvenskan,IF Elfsborg,IFK Göteborg,2,0,5,0,50,39,12,7,19,1,4,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 42' [Amarilla - Foul] | Min 39' [Amarilla - Foul]
785885,Victor Wolf,13241345,02/11/2025,2025-11-02,40,Allsvenskan,Allsvenskan,GAIS,Östers IF,1,1,3,1,50,57,11,16,27,2,1,0,1,0,0,3,1,0,0,0,4,0,Min 90' [Roja - Professional foul last man] | Min 70' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 57' [Amarilla - Foul]
785885,Victor Wolf,13241336,26/10/2025,2025-10-26,40,Allsvenskan,Allsvenskan,IK Sirius,IF Elfsborg,4,0,3,0,30,39,10,14,24,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 69' [Amarilla - Foul] | Min 60' [Amarilla - Foul] | Min 39' [Amarilla - Foul]
785885,Victor Wolf,13241333,20/10/2025,2025-10-20,40,Allsvenskan,Allsvenskan,Degerfors IF,Halmstads BK,0,1,4,0,40,80,11,18,29,1,3,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Time wasting] | Min 80' [Amarilla - Foul]
785885,Victor Wolf,13295628,27/09/2025,2025-09-27,40,Allsvenskan,Allsvenskan,BK Häcken,IFK Norrköping,2,0,7,0,70,7,19,9,28,5,2,0,0,5,0,2,0,0,0,5,2,0,Min 90' [Amarilla - Foul] | Min 57' [Amarilla - Handball] | Min 29' [Amarilla - Foul] | Min 25' [Amarilla - Foul] | Min 12' [Amarilla - Foul] | Min 11' [Amarilla - Foul] | Min 7' [Amarilla - Foul]
785885,Victor Wolf,13295623,22/09/2025,2025-09-22,40,Allsvenskan,Allsvenskan,IFK Värnamo,Halmstads BK,1,2,2,0,20,11,7,11,18,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 73' [Amarilla - Argument] | Min 11' [Amarilla - Foul]
785885,Victor Wolf,13295603,31/08/2025,2025-08-31,40,Allsvenskan,Allsvenskan,GAIS,BK Häcken,2,1,4,0,40,10,20,11,31,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 60' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 24' [Amarilla - Foul] | Min 10' [Amarilla - Foul]
785885,Victor Wolf,13295567,24/08/2025,2025-08-24,40,Allsvenskan,Allsvenskan,IF Elfsborg,Halmstads BK,1,2,5,0,50,39,9,13,22,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 81' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 54' [Amarilla - Time wasting] | Min 45' [Amarilla - Foul] | Min 39' [Amarilla - Foul]
785885,Victor Wolf,13295562,17/08/2025,2025-08-17,40,Allsvenskan,Allsvenskan,Mjällby AIF,Djurgårdens IF,1,1,8,0,80,30,18,11,29,2,6,0,0,1,0,7,0,0,0,1,7,0,Min 90' [Amarilla - Time wasting] | Min 89' [Amarilla - Argument] | Min 89' [Amarilla - Argument] | Min 68' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 53' [Amarilla - Argument] | Min 46' [Amarilla - Foul] | Min 30' [Amarilla - Foul]
785885,Victor Wolf,13295544,02/08/2025,2025-08-02,40,Allsvenskan,Allsvenskan,IF Brommapojkarna,IFK Norrköping,6,4,4,0,40,73,15,13,28,3,1,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 73' [Amarilla - Foul]
785885,Victor Wolf,13295534,27/07/2025,2025-07-27,40,Allsvenskan,Allsvenskan,AIK,Östers IF,0,0,1,0,10,66,17,9,26,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 66' [Amarilla - Time wasting]
785885,Victor Wolf,13295524,14/07/2025,2025-07-14,40,Allsvenskan,Allsvenskan,IK Sirius,Mjällby AIF,1,2,1,0,10,56,9,12,21,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 56' [Amarilla - Foul]
