referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
786059,Ali Sansalan,16483648,23/08/2026,2026-08-23,52,Süper Lig,Trendyol Süper Lig,Trabzonspor,Başakşehir FK,2,1,7,0,70,22,13,18,31,3,4,0,0,2,0,5,0,0,0,2,5,0,Min 89' [Amarilla - Argument] | Min 89' [Amarilla - Argument] | Min 83' [Amarilla - Argument] | Min 79' [Amarilla - Simulation] | Min 61' [Amarilla - Persistent fouling] | Min 39' [Amarilla - Sin motivo] | Min 22' [Amarilla - Foul]
786059,Ali Sansalan,16490438,16/08/2026,2026-08-16,98,1. Lig,Trendyol 1.Lig,Kayserispor,Sivasspor,2,0,7,1,90,31,11,14,25,5,2,0,1,2,0,5,1,0,0,2,6,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 83' [Roja - Foul] | Min 72' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 46' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 31' [Amarilla - Argument]
786059,Ali Sansalan,14109877,11/04/2026,2026-04-11,52,Süper Lig,Trendyol Süper Lig,Başakşehir FK,Gençlerbirliği,3,0,3,0,30,23,19,14,33,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 65' [Amarilla - Foul] | Min 27' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
786059,Ali Sansalan,14138597,05/04/2026,2026-04-05,98,1. Lig,Trendyol 1.Lig,Sivasspor,Esenler Erokspor,1,3,4,0,40,25,9,7,16,1,3,0,0,3,0,1,0,0,0,3,1,0,Min 85' [Amarilla - Argument] | Min 31' [Amarilla - Foul] | Min 26' [Amarilla - Foul] | Min 25' [Amarilla - Sin motivo]
786059,Ali Sansalan,14109823,28/02/2026,2026-02-28,52,Süper Lig,Trendyol Süper Lig,Galatasaray,Alanyaspor,3,1,5,0,50,26,18,4,22,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 72' [Amarilla - Argument] | Min 55' [Amarilla - Foul] | Min 26' [Amarilla - Off the ball foul]
786059,Ali Sansalan,14109797,09/02/2026,2026-02-09,52,Süper Lig,Trendyol Süper Lig,Fenerbahçe,Gençlerbirliği,3,1,4,0,40,44,9,12,21,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 79' [Amarilla - Argument] | Min 79' [Amarilla - Foul] | Min 67' [Amarilla - Foul] | Min 44' [Amarilla - Argument]
786059,Ali Sansalan,14109769,19/01/2026,2026-01-19,52,Süper Lig,Trendyol Süper Lig,Göztepe,Çaykur Rizespor,3,1,4,0,40,43,15,8,23,3,1,0,0,2,0,2,0,0,0,2,2,0,Min 67' [Amarilla - Argument] | Min 61' [Amarilla - Argument] | Min 45' [Amarilla - Handball] | Min 43' [Amarilla - Foul]
786059,Ali Sansalan,14109756,22/12/2025,2025-12-22,52,Süper Lig,Trendyol Süper Lig,Başakşehir FK,Gaziantep FK,5,1,7,1,90,31,19,14,33,3,4,0,1,4,0,3,1,0,0,4,4,0,Min 90' [Amarilla - Foul] | Min 76' [Roja - Argument] | Min 74' [Amarilla - Foul] | Min 50' [Amarilla - Argument] | Min 45' [Amarilla - Argument] | Min 41' [Amarilla - Foul] | Min 35' [Amarilla - Foul] | Min 31' [Amarilla - Foul]
786059,Ali Sansalan,14109735,14/12/2025,2025-12-14,52,Süper Lig,Trendyol Süper Lig,Trabzonspor,Beşiktaş JK,3,3,7,1,90,2,7,8,15,2,5,0,1,3,1,4,0,0,0,4,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 89' [Amarilla - Argument] | Min 79' [Amarilla - Time wasting] | Min 38' [Roja - Foul] | Min 33' [Amarilla - Foul] | Min 5' [Amarilla - Foul] | Min 2' [Amarilla - Foul]
786059,Ali Sansalan,14109751,07/12/2025,2025-12-07,52,Süper Lig,Trendyol Süper Lig,Kocaelispor,Kasımpaşa,0,0,3,0,30,37,10,19,29,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 68' [Amarilla - Argument] | Min 45' [Amarilla - Foul] | Min 37' [Amarilla - Foul]
