referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
786073,Stavros Tsimenteridis,16559901,29/08/2026,2026-08-29,185,Super League Greece,Stoiximan Super League,NPS Volos,POT Iraklis,1,1,6,1,80,23,18,23,41,3,3,0,1,1,0,5,1,0,0,1,6,0,Min 71' [Amarilla - Time wasting] | Min 65' [Amarilla - Foul] | Min 63' [Amarilla - Argument] | Min 54' [Roja - Foul] | Min 51' [Amarilla - Time wasting] | Min 49' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
786073,Stavros Tsimenteridis,15866553,26/04/2026,2026-04-26,185,Super League Greece,Stoiximan Super League,AE Kifisia,GFS Panetolikos,0,0,7,0,70,17,18,20,38,3,4,0,0,3,0,4,0,0,0,3,4,0,Min 89' [Amarilla - Argument] | Min 89' [Amarilla - Argument] | Min 81' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 17' [Amarilla - Foul]
786073,Stavros Tsimenteridis,14159174,15/03/2026,2026-03-15,185,Super League Greece,Stoiximan Super League,Panathinaikos FC,GFS Panetolikos,0,0,1,0,10,85,10,14,24,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 85' [Amarilla - Foul]
786073,Stavros Tsimenteridis,14159159,01/03/2026,2026-03-01,185,Super League Greece,Stoiximan Super League,NPS Volos,AEK Athens,2,2,9,0,90,19,18,20,38,6,3,0,0,2,0,7,0,0,0,2,7,0,Min 90' [Amarilla - Time wasting] | Min 89' [Amarilla - Time wasting] | Min 82' [Amarilla - Argument] | Min 81' [Amarilla - Foul] | Min 79' [Amarilla - Argument] | Min 66' [Amarilla - Argument] | Min 65' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 19' [Amarilla - Foul]
786073,Stavros Tsimenteridis,14159150,22/02/2026,2026-02-22,185,Super League Greece,Stoiximan Super League,AEL Novibet,PAOK,1,1,4,0,40,34,13,12,25,4,0,0,0,1,0,3,0,0,0,1,3,0,Min 75' [Amarilla - Time wasting] | Min 74' [Amarilla - Time wasting] | Min 63' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
786073,Stavros Tsimenteridis,14159142,08/02/2026,2026-02-08,185,Super League Greece,Stoiximan Super League,OFI Crete,APO Levadiakos,3,2,3,0,30,13,17,14,31,1,2,0,0,3,0,0,0,0,0,3,0,0,Min 34' [Amarilla - Foul] | Min 27' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
786073,Stavros Tsimenteridis,14152055,10/01/2026,2026-01-10,185,Super League Greece,Stoiximan Super League,APS Atromitos Athinon,Olympiacos FC,0,2,5,0,50,34,16,15,31,3,2,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
786073,Stavros Tsimenteridis,14152029,29/11/2025,2025-11-29,185,Super League Greece,Stoiximan Super League,AE Kifisia,MGS Panserraikos,3,0,6,2,100,33,11,13,24,2,4,1,1,3,1,3,1,0,0,4,4,0,Min 90' [Roja - Foul] | Min 65' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 45' [Roja - Foul] | Min 44' [Amarilla - Foul] | Min 33' [Amarilla - Argument] | Min 33' [Amarilla - Argument]
786073,Stavros Tsimenteridis,14152016,09/11/2025,2025-11-09,185,Super League Greece,Stoiximan Super League,APS Atromitos Athinon,NPS Volos,0,1,6,0,60,34,16,16,32,2,4,0,0,3,0,3,0,0,0,3,3,0,Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 60' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
786073,Stavros Tsimenteridis,14151979,28/09/2025,2025-09-28,185,Super League Greece,Stoiximan Super League,Asteras Aktor,PAOK,3,3,11,1,130,19,9,12,21,7,4,1,0,4,0,7,1,0,0,4,8,0,Min 90' [Amarilla - Time wasting] | Min 90' [Doble Amarilla - Time wasting] | Min 84' [Amarilla - Argument] | Min 67' [Amarilla - Argument] | Min 65' [Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 47' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 34' [Amarilla - Foul] | Min 28' [Amarilla - Foul] | Min 19' [Amarilla - Argument]
