referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
786435,Yasin Kol,16483636,30/08/2026,2026-08-30,52,Süper Lig,Trendyol Süper Lig,Samsunspor,Fenerbahçe,0,2,1,0,10,70,13,18,31,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 70' [Amarilla - Foul]
786435,Yasin Kol,16483633,15/08/2026,2026-08-15,52,Süper Lig,Trendyol Süper Lig,Gaziantep FK,Alanyaspor,1,1,6,0,60,53,14,21,35,3,3,0,0,0,0,6,0,0,0,0,6,0,Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 84' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 53' [Amarilla - Foul]
786435,Yasin Kol,14109917,09/05/2026,2026-05-09,52,Süper Lig,Trendyol Süper Lig,Alanyaspor,Kayserispor,3,1,4,0,40,51,13,15,28,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 85' [Amarilla - Foul] | Min 77' [Amarilla - Argument] | Min 63' [Amarilla - Foul] | Min 51' [Amarilla - Foul]
786435,Yasin Kol,14109908,03/05/2026,2026-05-03,52,Süper Lig,Trendyol Süper Lig,Kasımpaşa,Kocaelispor,1,1,1,0,10,58,14,17,31,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 58' [Amarilla - Argument]
786435,Yasin Kol,14109897,26/04/2026,2026-04-26,52,Süper Lig,Trendyol Süper Lig,Galatasaray,Fenerbahçe,3,0,11,1,130,5,16,13,29,5,6,0,1,5,0,6,1,0,0,5,7,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 68' [Amarilla - Sin motivo] | Min 62' [Doble Amarilla - Argument] | Min 41' [Amarilla - Sin motivo] | Min 23' [Amarilla - Argument] | Min 23' [Amarilla - Sin motivo] | Min 6' [Amarilla - Argument] | Min 5' [Amarilla - Argument]
786435,Yasin Kol,14109870,13/04/2026,2026-04-13,52,Süper Lig,Trendyol Süper Lig,Eyüpspor,Samsunspor,1,2,8,1,100,8,11,14,25,5,3,1,0,2,0,6,1,0,0,2,7,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Sin motivo] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 66' [Amarilla - Foul] | Min 60' [Doble Amarilla - Foul] | Min 9' [Amarilla - Foul] | Min 8' [Amarilla - Foul]
786435,Yasin Kol,14109862,05/04/2026,2026-04-05,52,Süper Lig,Trendyol Süper Lig,Fenerbahçe,Beşiktaş JK,1,0,8,0,80,45,13,19,32,3,5,0,0,1,0,7,0,0,0,1,7,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 78' [Amarilla - Time wasting] | Min 68' [Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 45' [Amarilla - Argument]
786435,Yasin Kol,14109842,15/03/2026,2026-03-15,52,Süper Lig,Trendyol Süper Lig,Gençlerbirliği,Beşiktaş JK,0,2,3,1,50,18,6,10,16,2,1,1,0,1,1,2,0,0,0,2,2,0,Min 90' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 33' [Amarilla - Foul] | Min 18' [Roja - Violent conduct]
786435,Yasin Kol,14109837,07/03/2026,2026-03-07,52,Süper Lig,Trendyol Süper Lig,Başakşehir FK,Göztepe,2,1,3,0,30,42,8,14,22,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Time wasting] | Min 76' [Amarilla - Foul] | Min 42' [Amarilla - Foul]
786435,Yasin Kol,14109811,23/02/2026,2026-02-23,52,Süper Lig,Trendyol Süper Lig,Fenerbahçe,Kasımpaşa,1,1,10,1,120,38,9,16,25,3,7,0,1,3,0,7,1,0,0,3,8,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Sin motivo] | Min 90' [Doble Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 82' [Amarilla - Argument] | Min 80' [Amarilla - Foul] | Min 70' [Amarilla - Argument] | Min 42' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
786435,Yasin Kol,14109795,08/02/2026,2026-02-08,52,Süper Lig,Trendyol Süper Lig,Konyaspor,Göztepe,0,0,6,0,60,22,9,15,24,2,4,0,0,1,0,5,0,0,0,1,5,0,Min 82' [Amarilla - Foul] | Min 79' [Amarilla - Argument] | Min 79' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 22' [Amarilla - Foul]
786435,Yasin Kol,14109771,26/01/2026,2026-01-26,52,Süper Lig,Trendyol Süper Lig,Eyüpspor,Beşiktaş JK,2,2,3,0,30,87,10,14,24,2,1,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Argument] | Min 87' [Amarilla - Foul]
786435,Yasin Kol,14109766,17/01/2026,2026-01-17,52,Süper Lig,Trendyol Süper Lig,Başakşehir FK,Fatih Karagümrük,2,1,4,0,40,29,17,8,25,2,2,0,0,3,0,1,0,0,0,3,1,0,Min 88' [Amarilla - Argument] | Min 45' [Amarilla - Foul] | Min 42' [Amarilla - Argument] | Min 29' [Amarilla - Foul]
786435,Yasin Kol,14109757,21/12/2025,2025-12-21,52,Süper Lig,Trendyol Süper Lig,Göztepe,Samsunspor,2,0,3,0,30,59,18,7,25,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 76' [Amarilla - Argument] | Min 73' [Amarilla - Time wasting] | Min 59' [Amarilla - Foul]
786435,Yasin Kol,14109742,06/12/2025,2025-12-06,52,Süper Lig,Trendyol Süper Lig,Eyüpspor,Kayserispor,1,1,8,1,100,12,11,15,26,3,5,0,1,3,0,5,1,0,0,3,6,0,Min 90' [Doble Amarilla - Argument] | Min 89' [Amarilla - Foul] | Min 83' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 45' [Amarilla - Argument] | Min 12' [Amarilla - Foul]
786435,Yasin Kol,14109730,01/12/2025,2025-12-01,52,Süper Lig,Trendyol Süper Lig,Fenerbahçe,Galatasaray,1,1,7,0,70,36,12,22,34,3,4,0,0,2,0,5,0,0,0,2,5,0,Min 78' [Amarilla - Time wasting] | Min 71' [Amarilla - Argument] | Min 66' [Amarilla - Argument] | Min 63' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
786435,Yasin Kol,14109706,09/11/2025,2025-11-09,52,Süper Lig,Trendyol Süper Lig,Samsunspor,Eyüpspor,1,0,5,0,50,26,19,13,32,2,3,0,0,3,0,2,0,0,0,3,2,0,Min 83' [Amarilla - Time wasting] | Min 81' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 29' [Amarilla - Foul] | Min 26' [Amarilla - Argument]
786435,Yasin Kol,14109699,01/11/2025,2025-11-01,52,Süper Lig,Trendyol Süper Lig,Göztepe,Gençlerbirliği,1,0,1,0,10,81,14,10,24,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 81' [Amarilla - Foul]
786435,Yasin Kol,14109688,24/10/2025,2025-10-24,52,Süper Lig,Trendyol Süper Lig,Fatih Karagümrük,Kayserispor,2,2,5,1,70,12,16,21,37,2,3,0,1,3,0,2,1,0,0,3,3,0,Min 90' [Roja - Foul] | Min 67' [Amarilla - Argument] | Min 66' [Amarilla - Argument] | Min 45' [Amarilla - Handball] | Min 14' [Amarilla - Foul] | Min 12' [Amarilla - Foul]
786435,Yasin Kol,14109671,04/10/2025,2025-10-04,52,Süper Lig,Trendyol Süper Lig,Galatasaray,Beşiktaş JK,1,1,7,1,90,34,7,16,23,1,6,1,0,3,1,4,0,0,0,4,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Off the ball foul] | Min 79' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 40' [Amarilla - Argument] | Min 40' [Amarilla - Argument] | Min 40' [Amarilla - Argument] | Min 34' [Roja - Professional foul last man]
786435,Yasin Kol,14109653,22/09/2025,2025-09-22,52,Süper Lig,Trendyol Süper Lig,Galatasaray,Konyaspor,3,1,1,0,10,4,19,7,26,1,0,0,0,1,0,0,0,0,0,1,0,0,Min 4' [Amarilla - Foul]
786435,Yasin Kol,14109636,30/08/2025,2025-08-30,52,Süper Lig,Trendyol Süper Lig,Kocaelispor,Kayserispor,1,1,5,0,50,41,12,13,25,3,2,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Argument] | Min 84' [Amarilla - Foul] | Min 71' [Amarilla - Argument] | Min 70' [Amarilla - Foul] | Min 41' [Amarilla - Argument]
