referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
786439,Cihan Aydin,16483653,30/08/2026,2026-08-30,52,Süper Lig,Trendyol Süper Lig,Eyüpspor,Alanyaspor,2,1,4,0,40,49,16,22,38,3,1,0,0,0,0,4,0,0,0,0,4,0,Min 77' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 62' [Amarilla - Argument] | Min 49' [Amarilla - Foul]
786439,Cihan Aydin,16483708,15/08/2026,2026-08-15,52,Süper Lig,Trendyol Süper Lig,Konyaspor,Çaykur Rizespor,0,1,5,0,50,11,12,11,23,1,4,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 79' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 11' [Amarilla - Foul]
786439,Cihan Aydin,14109910,09/05/2026,2026-05-09,52,Süper Lig,Trendyol Süper Lig,Gençlerbirliği,Kasımpaşa,3,2,13,0,130,8,11,24,35,3,10,0,0,6,0,7,0,0,0,6,7,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 74' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 45' [Amarilla - Argument] | Min 40' [Amarilla - Foul] | Min 25' [Amarilla - Time wasting] | Min 10' [Amarilla - Foul] | Min 8' [Amarilla - Foul]
786439,Cihan Aydin,14109880,18/04/2026,2026-04-18,52,Süper Lig,Trendyol Süper Lig,Fatih Karagümrük,Eyüpspor,1,2,3,1,50,45,14,12,26,0,3,0,1,1,0,2,1,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Time wasting] | Min 78' [Roja - Professional foul last man] | Min 45' [Amarilla - Foul]
786439,Cihan Aydin,14109867,04/04/2026,2026-04-04,52,Süper Lig,Trendyol Süper Lig,Trabzonspor,Galatasaray,2,1,7,1,90,20,12,15,27,3,4,0,1,1,0,6,1,0,0,1,7,0,Min 90' [Doble Amarilla - Argument] | Min 79' [Amarilla - Argument] | Min 77' [Amarilla - Foul] | Min 76' [Amarilla - Time wasting] | Min 63' [Amarilla - Argument] | Min 51' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
786439,Cihan Aydin,14109841,14/03/2026,2026-03-14,52,Süper Lig,Trendyol Süper Lig,Kocaelispor,Konyaspor,1,2,5,0,50,45,21,4,25,3,2,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 51' [Amarilla - Foul] | Min 46' [Amarilla - Sin motivo] | Min 45' [Amarilla - Foul]
786439,Cihan Aydin,14109833,09/03/2026,2026-03-09,52,Süper Lig,Trendyol Süper Lig,Kayserispor,Trabzonspor,1,3,3,1,50,8,8,9,17,3,0,1,0,1,1,2,0,0,0,2,2,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 19' [Amarilla - Argument] | Min 8' [Roja - Foul]
786439,Cihan Aydin,14109822,28/02/2026,2026-02-28,52,Süper Lig,Trendyol Süper Lig,Kocaelispor,Beşiktaş JK,0,1,3,0,30,81,15,13,28,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 83' [Amarilla - Foul] | Min 81' [Amarilla - Argument] | Min 81' [Amarilla - Argument]
786439,Cihan Aydin,14138525,17/02/2026,2026-02-17,98,1. Lig,Trendyol 1.Lig,İstanbulspor,Esenler Erokspor,1,4,3,1,50,48,12,11,23,3,0,1,0,0,0,3,1,0,0,0,4,0,Min 90' [Doble Amarilla - Handball] | Min 52' [Amarilla - Foul] | Min 48' [Amarilla - Foul]
786439,Cihan Aydin,14109792,07/02/2026,2026-02-07,52,Süper Lig,Trendyol Süper Lig,Fatih Karagümrük,Antalyaspor,1,0,7,0,70,15,22,13,35,2,5,0,0,1,0,6,0,0,0,1,6,0,Min 90' [Amarilla - Argument] | Min 80' [Amarilla - Argument] | Min 69' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 15' [Amarilla - Foul]
786439,Cihan Aydin,14109776,25/01/2026,2026-01-25,52,Süper Lig,Trendyol Süper Lig,Fenerbahçe,Göztepe,1,1,7,0,70,3,8,22,30,3,4,0,0,2,0,5,0,0,0,2,5,0,Min 84' [Amarilla - Time wasting] | Min 80' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 72' [Amarilla - Argument] | Min 64' [Amarilla - Foul] | Min 5' [Amarilla - Foul] | Min 3' [Amarilla - Foul]
786439,Cihan Aydin,14109754,20/12/2025,2025-12-20,52,Süper Lig,Trendyol Süper Lig,Beşiktaş JK,Çaykur Rizespor,1,0,6,0,60,9,13,14,27,3,3,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Argument] | Min 87' [Amarilla - Foul] | Min 82' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 9' [Amarilla - Foul]
786439,Cihan Aydin,14109738,14/12/2025,2025-12-14,52,Süper Lig,Trendyol Süper Lig,Gaziantep FK,Göztepe,0,1,5,0,50,7,12,14,26,3,2,0,0,3,0,2,0,0,0,3,2,0,Min 88' [Amarilla - Time wasting] | Min 58' [Amarilla - Foul] | Min 37' [Amarilla - Foul] | Min 21' [Amarilla - Foul] | Min 7' [Amarilla - Foul]
786439,Cihan Aydin,14109731,29/11/2025,2025-11-29,52,Süper Lig,Trendyol Süper Lig,Çaykur Rizespor,Kayserispor,0,1,5,0,50,50,16,15,31,2,3,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Time wasting] | Min 66' [Amarilla - Argument] | Min 52' [Amarilla - Foul] | Min 50' [Amarilla - Foul]
786439,Cihan Aydin,14109714,22/11/2025,2025-11-22,52,Süper Lig,Trendyol Süper Lig,Eyüpspor,Fatih Karagümrük,1,1,3,0,30,70,16,18,34,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Sin motivo] | Min 70' [Amarilla - Foul]
786439,Cihan Aydin,14109704,08/11/2025,2025-11-08,52,Süper Lig,Trendyol Süper Lig,Antalyaspor,Beşiktaş JK,1,3,4,0,40,44,13,18,31,3,1,0,0,1,0,3,0,0,0,1,3,0,Min 78' [Amarilla - Argument] | Min 69' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 44' [Amarilla - Foul]
